BV号：BV1eW411h7ew
标题：BV1eW411h7ew
链接：https://www.bilibili.com/video/BV1eW411h7ew
识别语言：zh
语言置信度：1
分段数：148
生成时间：2026-04-04 12:09:16

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:03 - 00:00:22] 大家好
[00:00:22 - 00:00:25] 我就是学习变得更快乐的张雪峰老师
[00:00:25 - 00:00:26] 在中国呢
[00:00:26 - 00:00:29] 有句古话叫做少年强则中国强
[00:00:29 - 00:00:31] 其实我个人觉得这句话应该改一改
[00:00:31 - 00:00:33] 少年他懂什么呢
[00:00:33 - 00:00:35] 他什么都不懂
[00:00:35 - 00:00:37] 如果少年想变成一个强者的话
[00:00:37 - 00:00:38] 需要谁来执意
[00:00:38 - 00:00:39] 需要老师来执意
[00:00:39 - 00:00:41] 所以说我觉得这句话应该改为叫
[00:00:41 - 00:00:43] 老师强则中国强
[00:00:43 - 00:00:46] 一个好的老师对于一个学生的影响
[00:00:46 - 00:00:48] 真的是太大太大了
[00:00:48 - 00:00:51] 我们总说高考他会决定你一生的命运
[00:00:52 - 00:00:55] 很多人在高中复习的时候会遇到各种各样的问题
[00:00:55 - 00:00:59] 比如说最近在我的微博私信就有一个同学给我发了一条
[00:00:59 - 00:01:00] 怎么说呢
[00:01:00 - 00:01:03] 就是很让他自己很难受的一个私信吧
[00:01:03 - 00:01:05] 他跟我说张老师我现在是一个高二的学生
[00:01:05 - 00:01:07] 学文科的
[00:01:07 - 00:01:09] 在黑中江某县
[00:01:09 - 00:01:10] 咱也不说是哪个县了
[00:01:10 - 00:01:12] 这个考生就跟我说说张老师
[00:01:12 - 00:01:15] 我从上高中开始一直也挺努力的
[00:01:15 - 00:01:16] 但是呢
[00:01:16 - 00:01:17] 这成绩也一直提不上去
[00:01:17 - 00:01:19] 总是在那个中下游之间来徘徊
[00:01:19 - 00:01:21] 如果按照这个情况下去的话呢
[00:01:21 - 00:01:23] 他可能也就上一个普通的二本
[00:01:23 - 00:01:24] 甚至是一个三本
[00:01:24 - 00:01:25] 然后的话
[00:01:25 - 00:01:27] 这个同学呢就问他的老师说
[00:01:27 - 00:01:28] 老师你看像我这个成绩
[00:01:28 - 00:01:30] 这个这个样子怎么办
[00:01:30 - 00:01:33] 他的老师的回答说句话让我是很震惊的
[00:01:33 - 00:01:34] 他说
[00:01:34 - 00:01:37] 像你这样的学生考二本三本其实没啥用
[00:01:37 - 00:01:39] 你还不如尽早进入社会
[00:01:39 - 00:01:40] 去体验一下社会
[00:01:40 - 00:01:42] 吸取一下社会经验
[00:01:42 - 00:01:44] 你啊高中干脆就别念了
[00:01:45 - 00:01:47] 这个同学问我,张老师我该怎么办?
[00:01:47 - 00:01:48] 让学生放弃高考
[00:01:48 - 00:01:51] 我想问一下这位老师你良心何在?
[00:01:51 - 00:01:53] 你自己有没有上过大学?
[00:01:53 - 00:01:56] 大学对你来讲有没有先进的改变?
[00:01:56 - 00:01:59] 你作为一个老师你怎么会让孩子就放弃学习?
[00:01:59 - 00:02:02] 这是我作为一个老师我绝对绝对想不通的
[00:02:02 - 00:02:04] 我就回答这位同学
[00:02:04 - 00:02:07] 我通知你想,你现在一个高二的一个女孩子
[00:02:07 - 00:02:08] 你没有任何社会经验
[00:02:08 - 00:02:10] 你当社会同学混
[00:02:10 - 00:02:12] 你能干嘛你告诉我
[00:02:12 - 00:02:14] 你能干嘛
[00:02:14 - 00:02:16] 现在在北京上海上的大城市
[00:02:16 - 00:02:18] 连作为一个帮助生的前台
[00:02:18 - 00:02:20] 最低学历都有一个本大生
[00:02:20 - 00:02:22] 你要在一个大型企业
[00:02:22 - 00:02:25] 都前台最低学历都得有研究生
[00:02:25 - 00:02:27] 你一个高中学历没拿到的人
[00:02:27 - 00:02:29] 你高二都没念完
[00:02:29 - 00:02:31] 你到生活上你能干嘛
[00:02:31 - 00:02:32] 去当到服务员吗
[00:02:32 - 00:02:34] 男生去当个保安吗
[00:02:34 - 00:02:37] 难道要去那些所谓的加工工厂
[00:02:37 - 00:02:39] 去当一个流血县的工人吗
[00:02:39 - 00:02:41] 你真的干心你一辈子就这样吗
[00:02:41 - 00:02:43] 我希望告诉各位同学
[00:02:43 - 00:02:44] 你要知道
[00:02:44 - 00:02:48] 人年輕的時候,在20歲左右的時候,一定要學讀大學
[00:02:48 - 00:02:52] 你不讀這個大學,你的人生會缺失很大一塊
[00:02:52 - 00:02:54] 大學能帶給你什麼?
[00:02:54 - 00:02:57] 你上大學,一方面學知識,一方面是什麼?
[00:02:57 - 00:02:59] 最重要的是長見識,認識人
[00:02:59 - 00:03:06] 包括你的同學,你同學當中可能有各種各樣的人
[00:03:06 - 00:03:10] 你會認識各種各樣的人,有各種各樣的人脈關係
[00:03:10 - 00:03:14] 其次你可能在大学当中认识一个像我这样比较好的老师
[00:03:14 - 00:03:15] 能够激励你
[00:03:15 - 00:03:17] 你知道我为什么一直在当老师吗
[00:03:17 - 00:03:20] 你们知道为什么我现在有机会进入娱乐圈
[00:03:20 - 00:03:21] 但我一直在当老师吗
[00:03:21 - 00:03:23] 因为当老师是一个非常神圣的职业
[00:03:23 - 00:03:25] 他可以改变一个人的命运
[00:03:25 - 00:03:27] 我给大家讲一个小故事
[00:03:27 - 00:03:29] 在八年前我曾经到一个学校
[00:03:29 - 00:03:31] 叫做内蒙古师分大学去做讲座
[00:03:31 - 00:03:33] 内蒙古师分大学这个学校说实话
[00:03:33 - 00:03:35] 他不是221也不是985
[00:03:35 - 00:03:36] 学校还不错
[00:03:36 - 00:03:38] 但是在全国比起来
[00:03:38 - 00:03:41] 肯定还要稍微差那么一点点
[00:03:41 - 00:03:43] 这个同学当时是没有任何考研想法的
[00:03:43 - 00:03:45] 他听了我的课以后决定说
[00:03:45 - 00:03:46] 庄老师我决定要考研
[00:03:46 - 00:03:47] 我要改变我的命运
