BV号：BV1ewZGYVEYi
标题：BV1ewZGYVEYi
链接：https://www.bilibili.com/video/BV1ewZGYVEYi
识别语言：zh
语言置信度：1
分段数：102
生成时间：2026-04-03 05:28:26

[00:00:00 - 00:00:02] 我就是想跟你聊一聊
[00:00:02 - 00:00:05] 就是小孩的就是他支持越考
[00:00:05 - 00:00:06] 他考这个数学
[00:00:06 - 00:00:08] 他说他先去工难题
[00:00:08 - 00:00:10] 然后结果就是把那个基础题
[00:00:10 - 00:00:12] 就给没时间去做了
[00:00:12 - 00:00:14] 我就想问一下张老师
[00:00:14 - 00:00:15] 他这种做法
[00:00:15 - 00:00:16] 他这种做法对吗
[00:00:16 - 00:00:18] 家长中国有句话
[00:00:18 - 00:00:20] 实践是检验真理的唯一标准
[00:00:20 - 00:00:22] 家长给你推荐个东西
[00:00:22 - 00:00:22] 真题
[00:00:22 - 00:00:24] 实践是检验真理的唯一标准
[00:00:24 - 00:00:25] 那你就问我说
[00:00:25 - 00:00:27] 张老师他这种所谓的工难题
[00:00:27 - 00:00:29] 然后的话导致检难题怎么样
[00:00:29 - 00:00:31] 各位家长 你要知道我们很多孩子叫什么
[00:00:31 - 00:00:33] 叫做会学习
[00:00:33 - 00:00:34] 但是它不一定会考试
[00:00:34 - 00:00:35] 就比如说你这个孩子
[00:00:35 - 00:00:37] 如果说它最后功难题的时候
[00:00:37 - 00:00:38] 它每一道难题都能做出来
[00:00:38 - 00:00:40] 但是简单题可能就是正学率不高
[00:00:40 - 00:00:42] 那它最后的总分就不会很高
[00:00:42 - 00:00:43] 所以说的话
[00:00:43 - 00:00:45] 你要知道我们其实学习这一课的目的
[00:00:45 - 00:00:47] 不是为了证明我们多努力
[00:00:47 - 00:00:48] 能把学习荒唐大大体的一个做出
[00:00:48 - 00:00:50] 我们现在学习这个东西是什么呢
[00:00:50 - 00:00:53] 与其说叫你数学学的好与不好
[00:00:53 - 00:00:54] 物理学的好与不好
[00:00:54 - 00:00:55] 它叫什么
[00:00:55 - 00:00:56] 它叫单位时间之内
[00:00:56 - 00:00:59] 这张卷子得分效率的高低
[00:00:59 - 00:01:00] 大家说对吗
[00:01:00 - 00:01:01] 我不觉得一个孩子说
[00:01:01 - 00:01:03] 老师他数学100分
[00:01:03 - 00:01:05] 就比数学95分的同学说
[00:01:05 - 00:01:06] 数学要好
[00:01:06 - 00:01:07] 或者说数学110分
[00:01:07 - 00:01:10] 就比数学100分的孩子数学要好
[00:01:10 - 00:01:12] 这个是我个人觉得不成立的
[00:01:12 - 00:01:14] 他叫做单位时间之内
