BV号：BV1fp411Z7LJ
标题：BV1fp411Z7LJ
链接：https://www.bilibili.com/video/BV1fp411Z7LJ
识别语言：zh
语言置信度：1
分段数：209
生成时间：2026-04-04 10:28:29

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:20 - 00:00:20] 大家好
[00:00:20 - 00:00:23] 我上学习变得更快乐的张雪峰老师
[00:00:23 - 00:00:26] 欢迎大家来到本期的张老师课堂
[00:00:26 - 00:00:27] 那么马上就要高考了
[00:00:27 - 00:00:29] 咱们经营几期的张老师课堂
[00:00:29 - 00:00:31] 都可能会跟高考有关系
[00:00:31 - 00:00:33] 那么首先解答一个大家平时在高考
[00:00:33 - 00:00:34] 万一考完以后
[00:00:34 - 00:00:36] 可能会遇到的一种比较恶心的情况
[00:00:36 - 00:00:39] 结果我觉得高考最恶心的情况也就是这样了
[00:00:39 - 00:00:41] 就是张老师我现在考了一个分
[00:00:41 - 00:00:44] 这个分可能也过了这个1本分出现
[00:00:44 - 00:00:45] 但是没过太多
[00:00:45 - 00:00:47] 对吧 老老师现在问题来了
[00:00:47 - 00:00:52] 我是该考一个所谓差一点莫端的一本好呢
[00:00:52 - 00:00:55] 还是考一个所谓的好一点的二本好呢
[00:00:55 - 00:00:56] 哎 这个问题呢
[00:00:56 - 00:00:58] 咱们今天来给大家做一个解答
[00:00:58 - 00:00:59] 因为很凑巧当年张老师
[00:00:59 - 00:01:02] 我也是遇到了这样的情况
[00:01:02 - 00:01:03] 当年高考的时候
[00:01:03 - 00:01:04] 就是我在高考的时候
[00:01:04 - 00:01:08] 我的分数最后是过了我们黑龙江省高考绿水分中线
[00:01:08 - 00:01:10] 就是一本分中线的12分
[00:01:10 - 00:01:13] 你说你要么就多过点 对吧
[00:01:13 - 00:01:14] 你要么就干脆就别过一本线
[00:01:14 - 00:01:16] 我这就很尴尬对吧
[00:01:16 - 00:01:18] 你报的话只能报一本的末端
[00:01:18 - 00:01:19] 或者是二本的前端
[00:01:19 - 00:01:21] 那到底该怎么选择
[00:01:21 - 00:01:23] 这里边谈一下我个人的看法
[00:01:23 - 00:01:24] 其实大家也知道
[00:01:24 - 00:01:25] 其实一本二本这个东西
[00:01:25 - 00:01:28] 只是我们高考各个省份录取
[00:01:28 - 00:01:30] 批词的一个说法吧
[00:01:30 - 00:01:33] 它其实最后没有实际太大的意义
[00:01:33 - 00:01:34] 为什么这么说
[00:01:34 - 00:01:36] 就拿我来举例子
[00:01:36 - 00:01:37] 当年我在高考的时候
[00:01:37 - 00:01:38] 也面临这样一个问题
[00:01:38 - 00:01:39] 那我是怎么选择的
[00:01:39 - 00:01:40] 我选择的是一个上一个
[00:01:40 - 00:01:43] 所谓的好一点的二本
[00:01:43 - 00:01:45] 因为当年我们报支援的时候跟现在不一样
[00:01:45 - 00:01:47] 就是我们当年报支援那个叫什么
[00:01:47 - 00:01:48] 那叫GAT支援
[00:01:48 - 00:01:50] 现在那个叫平行支援
[00:01:50 - 00:01:52] 我们当年报支援大概什么情况呢
[00:01:52 - 00:01:53] 就是如果就是一本呢
[00:01:53 - 00:01:53] 你可以报三个支援
[00:01:53 - 00:01:55] 一本一 一本二 一本三
[00:01:55 - 00:01:58] 那基本上一本二 一本三你就不用想了
[00:01:58 - 00:02:00] 因为如果说别人把你的一本二 一本三
[00:02:00 - 00:02:02] 作为了一本一支援
[00:02:02 - 00:02:03] 那不好意思
[00:02:03 - 00:02:05] 人家招码了就不予录取你了
[00:02:05 - 00:02:06] 现在平行支援不是这样的
[00:02:06 - 00:02:08] 所以说当年我们最壮观的支援
[00:02:08 - 00:02:11] 其实就是俩就是一本一支援和二本一支援
