BV号：BV1gJ411U74k
标题：BV1gJ411U74k
链接：https://www.bilibili.com/video/BV1gJ411U74k
识别语言：zh
语言置信度：1
分段数：391
生成时间：2026-04-04 05:30:20

[00:00:02 - 00:00:04] 你觉得我在当主持人有没有希望
[00:00:04 - 00:00:06] 我正亏张老师没当主持人
[00:00:06 - 00:00:07] 要不然我们的警政压力太大了
[00:00:07 - 00:00:09] 我是全中
[00:00:09 - 00:00:10] 你在说好长时间
[00:00:10 - 00:00:11] 我当时拿的是那个
[00:00:11 - 00:00:13] 关注最喜欢主持人家
[00:00:13 - 00:00:15] 对这个行业其实是很感兴趣的
[00:00:15 - 00:00:17] 你是对这个行业的同学感兴趣
[00:00:17 - 00:00:18] 女同学感兴趣
[00:00:18 - 00:00:19] 对这个行业
[00:00:19 - 00:00:20] 这事暴露年龄啊
[00:00:20 - 00:00:21] 这事先逼逼啊
[00:00:21 - 00:00:23] 我干嘛要去参加那个比赛
[00:00:23 - 00:00:24] 哈哈哈哈
[00:00:24 - 00:00:32] 大家好
[00:00:32 - 00:00:34] 欢迎收看小型杜逼托口秀大开眼界
[00:00:34 - 00:00:37] 我是让学习变得更快乐的张雪锋老师
[00:00:37 - 00:00:38] 关注大开眼界
[00:00:38 - 00:00:40] 了解不同職業的背後故事
[00:00:40 - 00:00:43] 為你的專業選擇提供更多的幫助
[00:00:43 - 00:00:44] 那我們本期請到的嘉賓
[00:00:44 - 00:00:45] 是我們莊奧電視台著名的
[00:00:45 - 00:00:47] 天下足球節目的主持人
[00:00:47 - 00:00:49] 我們的邵正義老師
[00:00:49 - 00:00:50] 哎呀 別叫老師
[00:00:50 - 00:00:51] 我是張曉鴻老師的同學
[00:00:51 - 00:00:52] 對 沒錯
[00:00:52 - 00:00:52] 好朋友
[00:00:52 - 00:00:53] 謝謝張老師
[00:00:53 - 00:00:54] 這張老師貴寶帝
[00:00:54 - 00:00:55] 我第一次來做這次
[00:00:55 - 00:00:56] 邵老師
[00:00:56 - 00:00:59] 你覺得我在當主持人有沒有希望
[00:00:59 - 00:01:00] 我剛正想說
[00:01:00 - 00:01:02] 你知道主持人最難的是什麼
[00:01:02 - 00:01:04] 就開頭這種固定詞
[00:01:04 - 00:01:04] 我也頭疼
[00:01:04 - 00:01:05] 是吧
[00:01:05 - 00:01:06] 張老師念得非常好
[00:01:06 - 00:01:08] 所以我說幸虧張老師沒當主持人
[00:01:08 - 00:01:09] 要不然我们这警政压力太大了
[00:01:09 - 00:01:11] 哎你怎么知道我不想当主持人呢
[00:01:11 - 00:01:12] 真是的
[00:01:12 - 00:01:15] 我上大学的时候曾经参加过我们学校的主持人比赛
[00:01:15 - 00:01:16] 然后的话就是
[00:01:16 - 00:01:18] 在六万多学生当中脱预而出
[00:01:18 - 00:01:19] 也不能说六万多啊
[00:01:19 - 00:01:21] 因为当时郑大学人也不少
[00:01:21 - 00:01:22] 我们一届一万多人
[00:01:22 - 00:01:24] 我们当时是四万人左右
[00:01:24 - 00:01:25] 然后的话呢
[00:01:25 - 00:01:26] 我拿的那个奖项不是什么
[00:01:26 - 00:01:29] 什么什么什么金奖啊什么蓝几百道奖
[00:01:29 - 00:01:30] 什么最佳男主持人
[00:01:30 - 00:01:31] 习近平奖我都没拿
[00:01:31 - 00:01:32] 我当时拿的是那个
[00:01:32 - 00:01:34] 关注最喜欢主持人奖
[00:01:34 - 00:01:36] 对就是可能大家在投票的时候
[00:01:36 - 00:01:38] 可能我这种风格是相对比早时候
[00:01:38 - 00:01:40] 大家喜欢的这种
[00:01:40 - 00:01:41] 所以你现在是另辟习近平
[00:01:41 - 00:01:43] 幸亏你没走主持人这条道路
[00:01:43 - 00:01:44] 要不然让我们无路可走也
[00:01:44 - 00:01:46] 但是当时对于我来讲
[00:01:46 - 00:01:49] 我不是一个学不应光为主持的
[00:01:49 - 00:01:51] 但是我对这个行业其实是很感兴趣的
[00:01:51 - 00:01:54] 你是对这个行业的女同学感兴趣
[00:01:54 - 00:01:56] 而对这个行业感兴趣
[00:01:56 - 00:01:57] 我对这女同学感兴趣
[00:01:57 - 00:01:58] 我看那个比赛就行了
[00:01:58 - 00:01:59] 我干嘛要去参加那个比赛
[00:01:59 - 00:02:01] 不然那可以更接近她吗
[00:02:01 - 00:02:02] 不是的
[00:02:02 - 00:02:03] 就那个时候我上大学的时候
[00:02:03 - 00:02:05] 其实我是很想做主持人的
[00:02:05 - 00:02:07] 然后的话其实当时在我们学校
[00:02:07 - 00:02:09] 因为郑罗大学也算是河南省最好的学校
[00:02:09 - 00:02:10] 当然
[00:02:10 - 00:02:13] 然后的话就是当时如果说在我们郑罗大学主持人比赛
[00:02:13 - 00:02:16] 如果说你能获得一些比较好的名次和奖项的话
[00:02:16 - 00:02:18] 其实是有机会进到我们学校的广播站
[00:02:18 - 00:02:21] 然后的话郑大毕竟是河南省最好的学校
[00:02:21 - 00:02:23] 然后他就有机会去进入像郑罗电视台
[00:02:23 - 00:02:24] 然后河南电视台
[00:02:24 - 00:02:26] 包括像郑广
[00:02:26 - 00:02:27] 这个河南广播电视台等等
[00:02:27 - 00:02:28] 这多有可能的
[00:02:28 - 00:02:31] 其实当时我是参加这个比赛是这个目的
[00:02:31 - 00:02:33] 但是因为各种干绕的原因
[00:02:33 - 00:02:34] 我就没有当上主持人
[00:02:34 - 00:02:38] 其实我特别想替这个看我们这个节目的朋友问一下
[00:02:38 - 00:02:41] 你说这个学主持人的他不一定干主持人
[00:02:41 - 00:02:42] 对不对
[00:02:42 - 00:02:43] 那不学主持人的呢
[00:02:43 - 00:02:45] 他又可能很想干主持人
[00:02:45 - 00:02:45] 是的
[00:02:45 - 00:02:46] 那我就想问一下
[00:02:46 - 00:02:48] 您是怎么进入这个行业了
[00:02:48 - 00:02:51] 您看张老师刚才说的这个其实特别对
[00:02:51 - 00:02:53] 就你会发现主持这个行业
[00:02:53 - 00:02:55] 他的真正的职业
[00:02:55 - 00:02:57] 这个教育背景是各种各样的
[00:02:57 - 00:02:57] 对
[00:02:57 - 00:02:59] 有很多优秀的主持人
[00:02:59 - 00:03:00] 包括我们的同事
[00:03:00 - 00:03:02] 其实他完全不是真正的
[00:03:02 - 00:03:03] 波音主持刻板出身的
[00:03:03 - 00:03:04] 对吧
[00:03:04 - 00:03:07] 比如说像白颜松老师学新闻的
