BV号：BV1hJ411n7rk
标题：BV1hJ411n7rk
链接：https://www.bilibili.com/video/BV1hJ411n7rk
识别语言：zh
语言置信度：1
分段数：290
生成时间：2026-04-04 03:30:40

[00:00:00 - 00:00:02] 大家好,我是让学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 欢迎大家收看本期的法律其实很好玩
[00:00:05 - 00:00:09] 那么在去年的5月份,那么有这么一个高校出现了这样的一个事情
[00:00:09 - 00:00:14] 什么呢?就是有一堆流浪狗追着一个女生疯狂的私药
[00:00:14 - 00:00:17] 结果没想到这个事发生第二天呢
[00:00:17 - 00:00:18] 又出现了同样的事情
[00:00:18 - 00:00:21] 另外一名女生几乎是在同一个地点
[00:00:21 - 00:00:24] 又被一群流浪狗给攻击了
[00:00:24 - 00:00:27] 这些流浪狗很多都是学校的很多学生啊
[00:00:27 - 00:00:29] 他养的一些宠物他毕业以后的话
[00:00:29 - 00:00:32] 直接就把他奉归到大自然里边去了
[00:00:32 - 00:00:34] 那像在学校里边发生这种
[00:00:34 - 00:00:37] 零落狗去咬学生的这样的案件
[00:00:37 - 00:00:38] 这样的事情
[00:00:38 - 00:00:41] 那学校到底要不要承担相应的责任
[00:00:41 - 00:00:44] 这就是我们本期要跟大家讨论的话题
[00:00:44 - 00:00:56] 大家好
[00:00:56 - 00:00:58] 欢迎收看本期的法律其实很好玩
[00:00:58 - 00:01:01] 我是让学习变得更快乐的张雪峰老师
[00:01:01 - 00:01:02] 我们本期请到的嘉宾
[00:01:02 - 00:01:04] 依然是我们研途教育的千月老师
[00:01:04 - 00:01:05] 我们的延安乡老师
[00:01:05 - 00:01:06] 杨老师跟大家打个招呼
[00:01:06 - 00:01:07] 嗨 大家好
[00:01:07 - 00:01:11] 楊老師,像這個學校裡邊的流浪狗
[00:01:11 - 00:01:14] 然後的話追要學校的學生
[00:01:14 - 00:01:17] 這樣的事情其實我覺得現在在中國的高校裡邊
[00:01:17 - 00:01:21] 好像發生的不只是我們說的這麼一件
[00:01:21 - 00:01:25] 我不知道在您的學校裡邊有見過這種流浪狗嗎?
[00:01:25 - 00:01:26] 好像沒見過
[00:01:26 - 00:01:27] 在你學校裡邊沒有是吧?
[00:01:27 - 00:01:28] 但是你還記不記得
[00:01:28 - 00:01:30] 但是我不在學生區,學生區可能有
[00:01:30 - 00:01:31] 學生區可能
[00:01:31 - 00:01:35] 就是你看最近我不知道你有沒有這樣的一個感受
[00:01:35 - 00:01:37] 就是网上经常会出现一些
[00:01:37 - 00:01:39] 比如说那种网红的那种
[00:01:39 - 00:01:41] 比如说这不听客的猫啊
[00:01:41 - 00:01:43] 听客的狗啊
[00:01:43 - 00:01:44] 学习的猫啊
[00:01:44 - 00:01:44] 学习的狗啊
[00:01:44 - 00:01:47] 甚至我们前一季我们有一个学头老师
[00:01:47 - 00:01:49] 我们有一个老师在讲课的时候
[00:01:49 - 00:01:50] 甚至有这样过
[00:01:50 - 00:01:52] 包括说有的时候我在讲课的时候
[00:01:52 - 00:01:53] 教室也经常出现这样的
[00:01:53 - 00:01:54] 车上的动物啊
[00:01:54 - 00:01:54] 车上的动物啊
[00:01:54 - 00:01:55] 狗啊猫啊
[00:01:55 - 00:01:56] 呃
[00:01:56 - 00:01:57] 出现个饼
[00:01:57 - 00:02:00] 哈哈哈哈
[00:02:00 - 00:02:00] 对啊
[00:02:00 - 00:02:01] 还有叫老鼠
[00:02:01 - 00:02:02] 你知道吗
[00:02:02 - 00:02:03] 有一次在我讲座的时候
[00:02:03 - 00:02:04] 就到我脚点四桌下就过去了
[00:02:04 - 00:02:06] 你知道吗?还有这样的老鼠
[00:02:06 - 00:02:08] 但是你像狗这种东西
[00:02:08 - 00:02:09] 它在校园里边出现
[00:02:09 - 00:02:11] 然后咬着这样的学生
[00:02:11 - 00:02:14] 学校要不要负担相应的责任呢?
[00:02:14 - 00:02:14] 要
[00:02:14 - 00:02:16] 要负担相应的责任是吧?
[00:02:16 - 00:02:16] 是这样的
[00:02:16 - 00:02:19] 就是我们的民法队这个也有规定
[00:02:19 - 00:02:19] 就是说
[00:02:19 - 00:02:21] 它说动物咬人的
[00:02:21 - 00:02:23] 首先是动物的
[00:02:23 - 00:02:25] 这个鸡养人
[00:02:25 - 00:02:26] 动物的管理人
[00:02:26 - 00:02:29] 要承担相应的赔偿责任
[00:02:29 - 00:02:30] 那么这种流浪狗
[00:02:30 - 00:02:32] 学校不是动物的鸡养人
[00:02:32 - 00:02:33] 不是动物的管理人
[00:02:33 - 00:02:39] 但是学校是他校园的管理人
[00:02:39 - 00:02:41] 学校作为校园来讲
[00:02:41 - 00:02:43] 那么你收了学生的学费
[00:02:43 - 00:02:45] 然后让学生在这个地方学习
[00:02:45 - 00:02:47] 那么你有义务
[00:02:47 - 00:02:50] 给学生提供一个安全的场所
[00:02:51 - 00:02:53] 所以这种流浪狗咬人事件的
[00:02:53 - 00:02:55] 看起来说流浪狗跟我学校有什么关系
[00:02:55 - 00:02:57] 又不是我养的流浪狗
[00:02:57 - 00:02:59] 但是是你的地盘
[00:02:59 - 00:03:01] 你的地盘你就有义务
[00:03:01 - 00:03:05] 向人家提供安全的这种
[00:03:05 - 00:03:07] 相应的保护
[00:03:07 - 00:03:08] 你比如说一个咖啡厅
[00:03:08 - 00:03:10] 就一个咖啡厅过来
[00:03:10 - 00:03:12] 突然窜进来一个流浪狗
[00:03:12 - 00:03:14] 把在咖啡店和咖啡的客人咬了
[00:03:14 - 00:03:16] 那这个时候
[00:03:16 - 00:03:17] 咖啡店就有赔偿了
[00:03:17 - 00:03:20] 因为你咖啡店人家到你这来
[00:03:20 - 00:03:21] 不是来被狗咬的
[00:03:21 - 00:03:23] 所以狗来了
[00:03:23 - 00:03:25] 你作为这个场所的管理人
[00:03:25 - 00:03:28] 你是有保障在你场所里面的
[00:03:28 - 00:03:29] 客人的安全的义务
[00:03:29 - 00:03:31] 后来我看了相关的一个报道
[00:03:31 - 00:03:34] 然后的话就是这个学校里边有某位领导
[00:03:34 - 00:03:35] 他说什么呢
[00:03:35 - 00:03:37] 他说你看这个事情当中
[00:03:37 - 00:03:38] 你不能光说我学校有责任
[00:03:38 - 00:03:39] 学生也有责任
[00:03:39 - 00:03:41] 他说学生的责任是什么呢
[00:03:41 - 00:03:45] 他说你看你这个地方又不是我学校的主要教学区和管理区
[00:03:45 - 00:03:47] 然后你是在一个相对比较偏僻
[00:03:47 - 00:03:49] 因为现在有的学校是建在郊区
[00:03:49 - 00:03:50] 或者山上什么的对吧
[00:03:50 - 00:03:53] 所以你这个学生你跑的太偏了
[00:03:53 - 00:03:54] 然后的话
[00:03:54 - 00:03:55] 虽然说那个地
[00:03:55 - 00:03:56] 它是我学校的地
[00:03:56 - 00:03:58] 但是你跑的太偏了
[00:03:58 - 00:04:00] 我觉得这个是不是有点推卸责任啊
[00:04:00 - 00:04:01] 这个不对
[00:04:01 - 00:04:05] 你既然能把那么偏的地方作为你的校园
[00:04:05 - 00:04:07] 那你就要对那个偏的地方
[00:04:07 - 00:04:08] 有一个相应的保护措施
[00:04:09 - 00:04:11] 那个地方流浪够容易出没
[00:04:11 - 00:04:13] 甚至有时候可能有那个坏人容易出没
[00:04:13 - 00:04:15] 那你有什么措施
[00:04:15 - 00:04:17] 在这个偏僻的地方保障学生的安全
[00:04:17 - 00:04:19] 这是你的责任
[00:04:19 - 00:04:20] 你不能说人家跑太偏
[00:04:21 - 00:04:21] 那除非是在校外
[00:04:22 - 00:04:23] 校外我不找你的麻烦
[00:04:23 - 00:04:24] 既然是在你校内
[00:04:25 - 00:04:26] 那么偏的地方
[00:04:26 - 00:04:28] 你要有特别的安保力量才对
[00:04:28 - 00:04:30] 所以说有些时候我们看到就是
[00:04:30 - 00:04:36] 如果说学生在你学校里边出了一些各种各样的事情
[00:04:36 - 00:04:40] 你学校作为管理方你很难去说
[00:04:40 - 00:04:41] 完全不负责
[00:04:41 - 00:04:42] 完全不负责
[00:04:42 - 00:04:44] 这个事就跟我就完全没有关系
[00:04:44 - 00:04:47] 你比如说最近我发现很多学校
[00:04:47 - 00:04:48] 我可能在浙江上没有
[00:04:48 - 00:04:51] 但是我知道在天津和西安的一些高校
[00:04:51 - 00:04:53] 出现了一种病毒叫诺炉病毒
[00:04:53 - 00:04:56] 好像是一种可能是
[00:04:56 - 00:04:57] 传染性很厉害
[00:04:57 - 00:05:01] 突然間很厲害的一種就是你容易引起嘔吐、腐瀉這種
[00:05:01 - 00:05:04] 但是你說如果說學生真的說在你那個學校裡邊你出現了這種東西
[00:05:04 - 00:05:06] 你可能不一定只是
[00:05:06 - 00:05:09] 所謂的說我去給你免費就職
[00:05:09 - 00:05:12] 像這個案子後來我看到說就是給了一個免費就職
[00:05:12 - 00:05:13] 沒有給任何所謂的
[00:05:14 - 00:05:14] 賠償
[00:05:15 - 00:05:16] 那如果說
[00:05:16 - 00:05:19] 如果說學生他要求做賠償的話
[00:05:20 - 00:05:23] 那學校其實理論還是那應該是要
[00:05:23 - 00:05:25] 負起一定的賠償責任
[00:05:25 - 00:05:26] 那要看情況
[00:05:26 - 00:05:28] 如果这个诺如病毒的传播
[00:05:28 - 00:05:32] 是因为学校的这个卫生措施不达标
[00:05:32 - 00:05:34] 或者说你食堂有一些地方
[00:05:34 - 00:05:37] 或者你的宿舍区有些地方的管理不达标
[00:05:37 - 00:05:40] 导致这个病毒传播的可能性增大
[00:05:40 - 00:05:41] 或者导这种情况下
[00:05:41 - 00:05:42] 学校成难者
[00:05:42 - 00:05:44] 你就你如果不能证明
[00:05:44 - 00:05:46] 他有有有相应的过错
[00:05:46 - 00:05:47] 那还是不成难
[00:05:47 - 00:05:48] 但是就是现在包括
[00:05:48 - 00:05:50] 包括像学生在学校里边出
[00:05:50 - 00:05:51] 这样的事情啊
[00:05:51 - 00:05:53] 就是我们当然不希望发生啊
[00:05:53 - 00:05:54] 呃
[00:05:54 - 00:05:56] 当然可能还有一种更严重的情况
[00:05:56 - 00:05:57] 就是有一些
[00:05:57 - 00:06:00] 因为一个学校的学生确实比较多
[00:06:00 - 00:06:02] 他管理起来确实也都比较麻烦
[00:06:02 - 00:06:03] 经常出现什么样的
[00:06:03 - 00:06:05] 就是一些亲生的学生
[00:06:05 - 00:06:07] 他在学校里边
[00:06:07 - 00:06:08] 甚至是在学校外边
[00:06:08 - 00:06:10] 他选择了这样亲生的一个行为
[00:06:10 - 00:06:12] 比如说我们经常会看到
[00:06:12 - 00:06:14] 一个学校的学生
[00:06:14 - 00:06:16] 他可能一直有亲生的念头
[00:06:16 - 00:06:18] 可能学校也没有什么
[00:06:18 - 00:06:19] 也没怎么及时发现
[00:06:19 - 00:06:20] 因为毕竟可能学生比较多
[00:06:20 - 00:06:21] 然后这个学生他自己
[00:06:21 - 00:06:23] 还不是说在学校里边去
[00:06:23 - 00:06:25] 所谓的商调或者其他方式
[00:06:25 - 00:06:27] 他可能是走到了消败
[00:06:27 - 00:06:28] 在消败的一个湖里面
[00:06:28 - 00:06:30] 他可能怎么怎么样的
[00:06:30 - 00:06:31] 这个时候有的时候
[00:06:31 - 00:06:32] 我们就看到往上经常有这样的
[00:06:32 - 00:06:36] 就是一些家长去在学校周围去
[00:06:36 - 00:06:38] 拉起横幅或者是怎样的
[00:06:38 - 00:06:39] 像这样的话
[00:06:39 - 00:06:42] 学校也要承担先人的责任吗
[00:06:42 - 00:06:43] 这个学校通常是不承担
[00:06:43 - 00:06:45] 咱们来这个
[00:06:45 - 00:06:46] 那这个为什么不承担呢
[00:06:46 - 00:06:49] 就说这个和我校园没管好
[00:06:49 - 00:06:51] 狗来咬你是不一样的
[00:06:51 - 00:06:53] 你是一個18歲的成年人了
[00:06:54 - 00:06:55] 你做一個成年人
[00:06:55 - 00:06:59] 你應該自己承擔相應的這種責任
[00:06:59 - 00:07:01] 你應該自己承擔相應的責任
[00:07:01 - 00:07:03] 就是你決定要去自殺
[00:07:03 - 00:07:06] 那麼學校對此是沒有責任的
[00:07:06 - 00:07:07] 但是有些情況可能是什麼
[00:07:07 - 00:07:09] 有的學校完全沒有責任
[00:07:09 - 00:07:11] 學校會有一點什麼人道主義補償
[00:07:11 - 00:07:12] 比如說有一個案例是這樣
[00:07:12 - 00:07:15] 有一個人他的畢業論文一直不好好寫
[00:07:15 - 00:07:18] 到最後最後改變那一天
[00:07:18 - 00:07:19] 老師們都看不過眼
[00:07:19 - 00:07:21] 說你這個本科論文你不行
[00:07:21 - 00:07:24] 你必须修改后再答辩
[00:07:24 - 00:07:26] 结果这个男孩子就因为这么个话
[00:07:26 - 00:07:29] 他自己跑出去在外面待了两天
[00:07:29 - 00:07:31] 最后在一个国道的旁边自杀了
[00:07:31 - 00:07:34] 那你说这种情况需要不要赔钱
[00:07:34 - 00:07:37] 学校说你的论文实在太烂了
[00:07:37 - 00:07:38] 修改后答辩
[00:07:38 - 00:07:40] 你因为这句话就自杀了
[00:07:40 - 00:07:42] 这个你要学校赔钱
[00:07:42 - 00:07:43] 一点点理由都没有
[00:07:43 - 00:07:46] 但是另外一种情况可能是什么呢
[00:07:46 - 00:07:48] 比如说现在不是有一些
[00:07:48 - 00:07:50] 最近刚刚出的一起有那个老师
[00:07:50 - 00:07:52] 姓骚扰孩子女生的事情吗
[00:07:52 - 00:07:53] 那么假如有一个女生
[00:07:53 - 00:07:56] 是因为被学校的老师姓骚扰了
[00:07:56 - 00:07:58] 然后特别难过
[00:07:58 - 00:07:59] 然后自杀了
[00:07:59 - 00:08:01] 这种情况
[00:08:01 - 00:08:04] 学校就可能要有一定的民事赔偿义务
[00:08:04 - 00:08:05] 就说你的老师
[00:08:05 - 00:08:07] 虽然这个老师也是一个成年人
[00:08:07 - 00:08:08] 但他是你的老师
[00:08:08 - 00:08:10] 你提供给学生的老师
[00:08:10 - 00:08:11] 然后学生和师
[00:08:11 - 00:08:13] 老师的关系的天人有种弱势
[00:08:13 - 00:08:16] 那么你提供给学生的老师
[00:08:16 - 00:08:17] 有姓骚扰行为
[00:08:17 - 00:08:19] 导致学生自杀
[00:08:19 - 00:08:21] 但是不是说所有的民事责任都要学校来赔偿
[00:08:21 - 00:08:23] 学校就有一定的责任
[00:08:24 - 00:08:26] 但如果像刚才那个人家让你改论文
[00:08:26 - 00:08:27] 你就自杀了
[00:08:27 - 00:08:28] 那你不能赖到学校身上
[00:08:29 - 00:08:31] 所以说不管是什么样的情况
[00:08:31 - 00:08:32] 我们真的希望就是
[00:08:32 - 00:08:34] 因为毕竟杨老师也是大学老师
[00:08:34 - 00:08:35] 我也经常大学生
[00:08:35 - 00:08:37] 也经常接触大学生
[00:08:37 - 00:08:40] 我们真的希望就是每一个在学校里面的同学
[00:08:40 - 00:08:42] 都能够平平安
[00:08:42 - 00:08:42] 对吧
[00:08:42 - 00:08:46] 安安全全的把这个大学给他上完
[00:08:46 - 00:08:46] 对吧
[00:08:46 - 00:08:48] 就是有些时候大家如果说你真的
[00:08:48 - 00:08:50] 真的就是心情不是很好
[00:08:50 - 00:08:51] 有这种抑郁的情况的话
[00:08:51 - 00:08:55] 大家可以去想去找人倾诉一下
[00:08:55 - 00:08:56] 包括说像我一样
[00:08:56 - 00:08:58] 如果是抑郁的话要吃药
[00:08:58 - 00:08:59] 对
[00:08:59 - 00:08:59] 吃药也很
[00:08:59 - 00:08:59] 对
[00:08:59 - 00:09:00] 然后的话
[00:09:00 - 00:09:02] 大家包括平时你在学校里边
