BV号：BV1jC411j72S
标题：BV1jC411j72S
链接：https://www.bilibili.com/video/BV1jC411j72S
识别语言：zh
语言置信度：1
分段数：78
生成时间：2026-04-03 11:33:55

[00:00:00 - 00:00:01] enjoy
[00:00:01 - 00:00:03] enjoy这个过程
[00:00:03 - 00:00:05] 这个过程是一个什么样的过程
[00:00:05 - 00:00:07] 找到自己的弱点
[00:00:07 - 00:00:10] 并且把它变成得分点的过程
[00:00:10 - 00:00:10] 我说同学
[00:00:10 - 00:00:12] 你不要想
[00:00:12 - 00:00:13] 老师我这次考好了
[00:00:13 - 00:00:14] 我下次没考好
[00:00:14 - 00:00:15] 这次考好了
[00:00:15 - 00:00:16] 下次没考好
[00:00:16 - 00:00:17] 模拟考试的作用
[00:00:17 - 00:00:19] 刚才我也给大家说过
[00:00:19 - 00:00:20] 模拟考试的作用
[00:00:20 - 00:00:21] 第一是为了让你知道
[00:00:21 - 00:00:24] 你哪的弱点是有问题的
[00:00:24 - 00:00:26] 模拟考试的第二个作用
[00:00:26 - 00:00:27] 是让你合理分配
[00:00:27 - 00:00:28] 你考试时间
[00:00:28 - 00:00:30] 找到考试节奏的
[00:00:30 - 00:00:34] 他的目的不是为了让你觉得你很牛逼
[00:00:34 - 00:00:36] 他的目的也不是为了让你觉得
[00:00:36 - 00:00:37] 你看你也就这水平了
[00:00:37 - 00:00:38] 你不行
[00:00:39 - 00:00:40] 你考好了
[00:00:40 - 00:00:41] 不要骄傲
[00:00:41 - 00:00:43] 因为你还有十分点
[00:00:43 - 00:00:44] 你考的不好
[00:00:44 - 00:00:45] 也不要伤心
[00:00:45 - 00:00:47] 因为幸亏这次考试
[00:00:47 - 00:00:48] 不是最后一次考试
[00:00:50 - 00:00:51] 而你要关注什么
[00:00:51 - 00:00:54] 你要关注的是你丢分的那个点
[00:00:54 - 00:00:56] 是哪些章节
[00:00:56 - 00:00:58] 就代表着这个章节是不行的
[00:00:58 - 00:01:00] 你看这玩意就跟玩游戏一样
[00:01:02 - 00:01:04] 你发现这操作有问题
[00:01:05 - 00:01:06] 搞不搞不搞不搞不
[00:01:06 - 00:01:07] 下次发现没问题
[00:01:07 - 00:01:08] 哎呀真好
[00:01:10 - 00:01:10] 这是玩
[00:01:12 - 00:01:15] 这不是在所谓的学习
[00:01:15 - 00:01:17] 当你把它当成一个玩的时候
[00:01:17 - 00:01:19] 你找到问题
[00:01:19 - 00:01:19] 你看
[00:01:20 - 00:01:21] 我知道这儿有问题
[00:01:23 - 00:01:24] 整明白了
[00:01:25 - 00:01:26] 你看我就说这儿有问题吧
[00:01:26 - 00:01:27] 我把搞定了吧
[00:01:27 - 00:01:29] 你要玩
[00:01:29 - 00:01:31] 你要你抓这个过程
[00:01:31 - 00:01:32] 而分数是什么
[00:01:32 - 00:01:34] 分数是结果
[00:01:34 - 00:01:36] 它不是目标
[00:01:36 - 00:01:39] 你把这个结果当成目标的话
[00:01:39 - 00:01:41] 你的压力就会非常大
[00:01:41 - 00:01:44] 但你把这个结果当成一个过程
[00:01:44 - 00:01:47] 最后得出来的一个结果
[00:01:47 - 00:01:47] 你就会玩
[00:01:47 - 00:01:48] 你就会引招
[00:01:48 - 00:01:50] 这玩意就跟你玩游戏一样
[00:01:50 - 00:01:50] 你比如说
[00:01:50 - 00:01:51] 我举个例子
[00:01:51 - 00:01:52] 我也玩游戏
[00:01:52 - 00:01:53] 我玩牛魔
[00:01:53 - 00:01:54] 对吧
[00:01:54 - 00:01:54] 哎
[00:01:54 - 00:01:56] 这一次大闪放走了
[00:01:56 - 00:02:00] 下一次你晚上点不就完了吗
[00:02:00 - 00:02:00] 对吧
[00:02:00 - 00:02:01] 下一次晚上的一下
[00:02:01 - 00:02:02] 呀
[00:02:02 - 00:02:04] 真的就把几个人给控制了
[00:02:04 - 00:02:04] 你看
[00:02:05 - 00:02:06] 他就是跟玩游戏一样
[00:02:07 - 00:02:08] 你知道吧
[00:02:08 - 00:02:09] 他就是跟玩游戏一样
[00:02:10 - 00:02:10] 好吧
