BV号：BV1jD4y117J1
标题：BV1jD4y117J1
链接：https://www.bilibili.com/video/BV1jD4y117J1
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-03 17:29:14

[00:00:00 - 00:00:02] 就告诉大家通信是个好专业
[00:00:02 - 00:00:04] 通信的进步空间还有很大
[00:00:04 - 00:00:05] 哎你好
[00:00:08 - 00:00:09] 嗯我怎么
[00:00:09 - 00:00:10] 哎就是你
[00:00:10 - 00:00:11] 啊张老师吗
[00:00:11 - 00:00:12] 啊你好你好
[00:00:13 - 00:00:13] 喂
[00:00:13 - 00:00:14] 哎你哪个手
[00:00:14 - 00:00:15] 没
[00:00:15 - 00:00:16] 能听得见吗
[00:00:16 - 00:00:17] 能听得见你哪个手
[00:00:18 - 00:00:18] 啊
[00:00:19 - 00:00:20] 你好张老师
[00:00:20 - 00:00:21] 哎你好
[00:00:22 - 00:00:24] 我是河南省
[00:00:24 - 00:00:24] 河南的
[00:00:24 - 00:00:25] 你又是河南老乡
[00:00:25 - 00:00:26] 我是河南省
[00:00:26 - 00:00:27] 啊高级
[00:00:28 - 00:00:30] 河南省听得见吗
[00:00:30 - 00:00:31] 听得见您高级
[00:00:32 - 00:00:36] 高三
[00:00:36 - 00:00:38] 高三老高考
[00:00:38 - 00:00:39] 然后文科理科
[00:00:39 - 00:00:45] 高三
[00:00:45 - 00:00:46] 延迟
[00:00:46 - 00:00:47] 高三哪
[00:00:47 - 00:00:50] 延迟很长
[00:00:50 - 00:00:51] 立科
[00:00:51 - 00:00:57] 现在大家能考多少分
[00:00:57 - 00:01:00] 是不是信号不好吗
[00:01:00 - 00:01:02] 是
[00:01:02 - 00:01:05] 什么时候我们不要说两个人通话之前
[00:01:05 - 00:01:07] 先说喂喂喂能听见吗
[00:01:07 - 00:01:09] 哎哎哎我再找个信号
[00:01:09 - 00:01:11] 今天这个联卖啊
[00:01:11 - 00:01:13] 通信是个好专业
[00:01:13 - 00:01:15] 通信的进步空间还有很大
