BV号：BV1jJ411m7H5
标题：BV1jJ411m7H5
链接：https://www.bilibili.com/video/BV1jJ411m7H5
识别语言：zh
语言置信度：1
分段数：424
生成时间：2026-04-04 05:23:02

[00:00:02 - 00:00:04] 我不知道你从来已经你最尴尬的
[00:00:04 - 00:00:07] 你认为觉得特别尴尬的一支
[00:00:07 - 00:00:09] 我当时紧张到我连Second和Minute都分不清
[00:00:09 - 00:00:12] 当时说啊 什么话都拿得不对
[00:00:12 - 00:00:13] 这个人哪来的
[00:00:13 - 00:00:15] 怎么能能能能得到什么水平
[00:00:15 - 00:00:16] 你想轻松吗
[00:00:16 - 00:00:17] 下坡路最轻松
[00:00:17 - 00:00:18] 滚开去更顺利
[00:00:18 - 00:00:20] 一咬眼一咬人你知道吗
[00:00:20 - 00:00:21] 继续
[00:00:32 - 00:00:33] 大家好
[00:00:33 - 00:00:35] 欢迎收看小型豆皮托口秀大开演戒
[00:00:35 - 00:00:37] 我是让学习变得更快乐的张雪峰老师
[00:00:37 - 00:00:39] 关注大开演戒
[00:00:39 - 00:00:40] 了解不同职业背后的故事
[00:00:40 - 00:00:43] 为你的专业选择提供更多的帮助
[00:00:43 - 00:00:44] 我们本期请到的嘉宾
[00:00:44 - 00:00:46] 依然是我们装电视台
[00:00:46 - 00:00:48] 著名的体育解说
[00:00:48 - 00:00:49] 祝职人我们的邵承一老师
[00:00:49 - 00:00:50] 谢谢张老师
[00:00:50 - 00:00:52] 很高兴到张老师的作客
[00:00:52 - 00:00:52] 邵老师
[00:00:52 - 00:00:54] 我不知道你从以前你最尴尬的
[00:00:54 - 00:00:57] 你认为觉得特别特别尴尬的经历
[00:00:57 - 00:00:58] 你说主持当中吗
[00:00:58 - 00:00:58] 对
[00:00:58 - 00:01:00] 比如说我们来看一下社会网
[00:01:00 - 00:01:00] 对吧
[00:01:00 - 00:01:02] 然后的话第一名谁是谁
[00:01:02 - 00:01:02] 进了5个球
[00:01:02 - 00:01:03] 第二名是谁进了6个球
[00:01:05 - 00:01:07] 然后的话你是直播
[00:01:07 - 00:01:08] 然后你直播完以后的话
[00:01:09 - 00:01:10] 絕對好
[00:01:10 - 00:01:11] 哎呀我說話
