BV号：BV1jT411N71n
标题：BV1jT411N71n
链接：https://www.bilibili.com/video/BV1jT411N71n
识别语言：zh
语言置信度：1
分段数：14
生成时间：2026-04-03 17:21:53

[00:00:00 - 00:00:02] 10年之后还干这一行吗
[00:00:02 - 00:00:04] 不出太大意外的话应该干
[00:00:04 - 00:00:06] 因为10年以后我女儿高考
[00:00:09 - 00:00:10] 10年以后我女儿高考
[00:00:10 - 00:00:13] 所以说应该最起码会坚持到
[00:00:13 - 00:00:15] 她考试的那一年
[00:00:15 - 00:00:17] 最起码最起码
[00:00:17 - 00:00:18] 这个你不用担心
[00:00:18 - 00:00:19] 这个你不用担心
[00:00:19 - 00:00:20] 现在我动不动
[00:00:20 - 00:00:21] 我姑娘就跟我说
[00:00:21 - 00:00:23] 爸爸我要考七虹华
[00:00:23 - 00:00:25] 我说你别说这话
[00:00:25 - 00:00:26] 你别吓唬我对吧
