BV号：BV1jbsJzaEjD
标题：BV1jbsJzaEjD
链接：https://www.bilibili.com/video/BV1jbsJzaEjD
识别语言：zh
语言置信度：1
分段数：49
生成时间：2026-04-03 03:51:32

[00:00:00 - 00:00:02] 你还得说妈妈我想学机器工程
[00:00:02 - 00:00:05] 它大概率是看到了像语述科技啊
[00:00:05 - 00:00:05] 这样的企业
[00:00:05 - 00:00:07] 它有这样的人形机器人
[00:00:07 - 00:00:09] 确确实实人形机器人
[00:00:09 - 00:00:11] 很有可能是未来的我们
[00:00:11 - 00:00:12] 很多很多的应用场景
[00:00:12 - 00:00:13] 包括企业当中
[00:00:13 - 00:00:13] 我们生活当中
[00:00:13 - 00:00:15] 人形机器人很有可能会在
[00:00:15 - 00:00:16] 可能10年以后
[00:00:16 - 00:00:17] 或20年以后
[00:00:17 - 00:00:19] 大量进入到我们的生活当中
[00:00:19 - 00:00:20] 它变成一个
[00:00:20 - 00:00:22] C端我们老百姓都可以消费得起的
[00:00:22 - 00:00:23] 这么一个机器人
[00:00:23 - 00:00:23] 不管是陪伴
[00:00:23 - 00:00:24] 还是跟我们干活
[00:00:24 - 00:00:25] 还是怎么样的
[00:00:25 - 00:00:26] 无所谓
[00:00:26 - 00:00:27] 重要的是什么家长
[00:00:27 - 00:00:29] 你要知道机器人这个东西
[00:00:29 - 00:00:31] 也不是说你学机器人你才能干机器人
[00:00:31 - 00:00:34] 首先这个机器人他做的一个智能硬件
[00:00:34 - 00:00:36] 它是靠远点驱动的
[00:00:36 - 00:00:39] 所以说计算机是跟机器人相关的
[00:00:39 - 00:00:40] 这个智能机器人当中
[00:00:40 - 00:00:41] 他一定会有芯片
[00:00:41 - 00:00:43] 因为它是个电子产品
[00:00:43 - 00:00:45] 所以说学电子跟它也是有关系的
[00:00:45 - 00:00:48] 这个机器人他接收主人的信号的时候
[00:00:48 - 00:00:50] 不管说你是通过设备邀共产
[00:00:50 - 00:00:52] 还是通过语音识别还是怎么样的
[00:00:52 - 00:00:54] 它一定是收集的通信
[00:00:54 - 00:00:56] 所以说信息也是跟他相关的
[00:00:56 - 00:00:58] 它大概率是一个小型的机械公尺
[00:00:58 - 00:01:01] 所以说你学机械也是跟它相关的
[00:01:01 - 00:01:03] 它上面有各种各样的传感器
[00:01:03 - 00:01:05] 所以说仪器也是相关的
[00:01:05 - 00:01:07] 而它做的一个自动化装备
[00:01:07 - 00:01:09] 它一定是可控制的
[00:01:09 - 00:01:11] 所以说自动化也是相关的
[00:01:11 - 00:01:12] 所以说加上给你说的这么多
[00:01:12 - 00:01:16] 我的意思是你不要以为只有学的机械者工程
[00:01:16 - 00:01:19] 才能去为机械人行业负能
[00:01:19 - 00:01:21] 而是计算机电的信息
[00:01:21 - 00:01:25] 光电 机械 自动化
[00:01:25 - 00:01:28] 甚至材料 电器都可以为机械者负能
[00:01:28 - 00:01:28] 懂了嗎
