BV号：BV1k54y1C7GU
标题：BV1k54y1C7GU
链接：https://www.bilibili.com/video/BV1k54y1C7GU
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-04 01:26:08

[00:00:00 - 00:00:03] 今天我要给大家推荐的书就是我手中拿的这一套叫做
[00:00:03 - 00:00:04] 流血的仕图
[00:00:04 - 00:00:07] 它写的是秦朝的宰相叫做李斯
[00:00:07 - 00:00:10] 他的所谓的辉煌一生
[00:00:10 - 00:00:13] 这本书是我个人经常在网上给大家做推荐的
[00:00:13 - 00:00:15] 其实李斯这个人出身是比较卑微的
[00:00:15 - 00:00:19] 他最刚才审的时候也是楚国的一个管粮仓的小官
[00:00:19 - 00:00:20] 有一天他上厕所
[00:00:20 - 00:00:23] 他就发现厕所里边有吃屎的老鼠
[00:00:23 - 00:00:26] 又想到自己管的粮仓这边吃粮仓里边粮是个老鼠
[00:00:26 - 00:00:28] 他就要发现你看看
[00:00:28 - 00:00:31] 同樣是老鼠 生活的環境就不一樣
[00:00:31 - 00:00:33] 他吃的東西他也不一樣
[00:00:33 - 00:00:37] 我幹嘛要平白無故的在楚國當一個小官
[00:00:37 - 00:00:38] 度過我這一生呢
[00:00:38 - 00:00:40] 所以說他就立志要成為一個
[00:00:40 - 00:00:43] 吃糧倉粒糧食的這樣的老鼠
[00:00:43 - 00:00:45] 所以他就決定辭去楚國的這個小官
[00:00:45 - 00:00:47] 到外邊去求學
[00:00:47 - 00:00:51] 在戰國時期當時是人人追逐名利的情況下
[00:00:51 - 00:00:53] 李斯也是想幹出一番事業的
[00:00:53 - 00:00:55] 為了達到飛黃騰達的夢迷
[00:00:55 - 00:00:57] 他到奇國去求學
[00:00:57 - 00:00:57] 拜谁呢
[00:00:57 - 00:00:59] 叫做循子为师
[00:00:59 - 00:01:02] 他是循子的一个学生
[00:01:02 - 00:01:03] 循子的研究方向是什么呢
[00:01:03 - 00:01:06] 他是研究如何治理国家的学问的
[00:01:06 - 00:01:08] 就是所谓的帝王之术
[00:01:08 - 00:01:10] 李斯在学问以后
[00:01:10 - 00:01:12] 经过对各国的分析一看
[00:01:12 - 00:01:12] 哎
[00:01:12 - 00:01:15] 秦国是有希望统一六国的
[00:01:15 - 00:01:17] 他就决定到秦国去
[00:01:17 - 00:01:19] 追随当时的秦王嬴政
[00:01:19 - 00:01:20] 干一番大事业
[00:01:20 - 00:01:21] 你看
[00:01:21 - 00:01:23] 你什么时候想努力都不晚
[00:01:23 - 00:01:25] 像李斯这样30多岁
[00:01:25 - 00:01:27] 才想着要去求学的也不晚
[00:01:27 - 00:01:28] 而且求学以后的话
[00:01:28 - 00:01:31] 一定要怎么样选对研究方向
[00:01:31 - 00:01:34] 这样的话你才能够肥黄腾达
