BV号：BV1k7411L74p
标题：BV1k7411L74p
链接：https://www.bilibili.com/video/BV1k7411L74p
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-04 02:32:02

[00:00:00 - 00:00:03] 歡迎大家繼續跟著張老師來了解我們高考職院
[00:00:03 - 00:00:06] 填報當中的一些小技巧
[00:00:06 - 00:00:08] 那我們今天要給大家介紹的一個小技巧
[00:00:08 - 00:00:11] 就是繼續來教大家怎樣來了解一個大學
[00:00:11 - 00:00:14] 那麼大學的名字
[00:00:14 - 00:00:18] 大家會發現現在那麼中國大學的名字叫的都特別的概念化
[00:00:18 - 00:00:19] 什麼叫概念化呢
[00:00:19 - 00:00:21] 比如說有些學校呢
[00:00:21 - 00:00:24] 你通過他的名字只能判斷出來
[00:00:24 - 00:00:25] 這個學校在那
[00:00:25 - 00:00:27] 比如說像什麼河南大學一聽歐歐在河南
[00:00:27 - 00:00:27] 是吧
[00:00:27 - 00:00:28] 鄭州大學一聽在那
[00:00:28 - 00:00:29] 在郑州是吧
[00:00:29 - 00:00:31] 但是你会发现这种学校
[00:00:31 - 00:00:33] 你看他的名字
[00:00:33 - 00:00:35] 你根本就不知道他最好的专业
[00:00:35 - 00:00:36] 是什么
[00:00:36 - 00:00:39] 那么我们要报这个学校的哪些专业呢
[00:00:39 - 00:00:40] 对不对
[00:00:40 - 00:00:42] 那这个我在选专业的时候该怎么选呢
[00:00:42 - 00:00:43] 对不对
[00:00:43 - 00:00:45] 你包括像各种各样的理工大学
[00:00:45 - 00:00:45] 大家发现了吗
[00:00:45 - 00:00:46] 每个省都我上的学校
[00:00:46 - 00:00:47] 什么什么
[00:00:47 - 00:00:48] 理工大学
[00:00:48 - 00:00:49] 什么什么
[00:00:49 - 00:00:49] 科技大学
[00:00:49 - 00:00:50] 什么什么
[00:00:50 - 00:00:51] 工业大学对吧
[00:00:51 - 00:00:54] 那具体你哪个专业好啊
[00:00:54 - 00:00:56] 这个就很麻烦
[00:00:56 - 00:00:58] 那你告诉我该怎么能才能知道
[00:00:58 - 00:01:00] 這個學校哪些專業好呢
