BV号：BV1mT411j7hc
标题：BV1mT411j7hc
链接：https://www.bilibili.com/video/BV1mT411j7hc
识别语言：zh
语言置信度：1
分段数：30
生成时间：2026-04-03 18:11:23

[00:00:00 - 00:00:01] 他想帮你
[00:00:01 - 00:00:02] 他都不好帮
[00:00:02 - 00:00:04] 我给你落的都是实在不一样
[00:00:04 - 00:00:05] 法学这种专业
[00:00:05 - 00:00:06] 我告诉大家
[00:00:06 - 00:00:08] 一定要重他的地域性
[00:00:08 - 00:00:11] 我个人不建议大家学法学
[00:00:11 - 00:00:12] 去跨区域就业
[00:00:12 - 00:00:13] 为什么呢
[00:00:13 - 00:00:14] 我给大家举个例子
[00:00:14 - 00:00:15] 张老师我现在能上西北政法
[00:00:15 - 00:00:17] 这是五元四系
[00:00:17 - 00:00:18] 但是我也能上另外一个学校
[00:00:18 - 00:00:19] 叫做南京十大
[00:00:19 - 00:00:21] 说张老师我是这样想的
[00:00:21 - 00:00:22] 这两个学校我都能上
[00:00:22 - 00:00:24] 但是西北政法是五元四系
[00:00:24 - 00:00:25] 但是我上五元四系后
[00:00:25 - 00:00:27] 将来我承训江苏工作
[00:00:27 - 00:00:28] 我只能给你这样说
[00:00:28 - 00:00:30] 家长,高我,我不会这么干
[00:00:30 - 00:00:34] 因为在江苏省的政法系统当中
[00:00:34 - 00:00:38] 西北政法的学生,一定是相对比较少的
[00:00:38 - 00:00:40] 你老师的资源
[00:00:40 - 00:00:41] 你老师的能力
[00:00:41 - 00:00:44] 他想帮你,他都不好帮
[00:00:44 - 00:00:49] 你在江苏省南京师大校友会资源
[00:00:49 - 00:00:52] 跟西北政法江苏校友会资源
[00:00:52 - 00:00:54] 是不一样的
[00:00:54 - 00:00:56] 大家听懂了吗?听懂Coke1
