BV号：BV1mb411c7Mw
标题：BV1mb411c7Mw
链接：https://www.bilibili.com/video/BV1mb411c7Mw
识别语言：zh
语言置信度：1
分段数：338
生成时间：2026-04-04 09:15:38

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:03 - 00:00:21] 大家好
[00:00:21 - 00:00:24] 我是让学习变得更快乐的张雪峰老师
[00:00:24 - 00:00:27] 欢迎大家昨天本期的张老师课堂
[00:00:27 - 00:00:29] 那么最近不管是考研的学生
[00:00:29 - 00:00:32] 还是高考的学生都在问我说张老师
[00:00:32 - 00:00:34] 我们现在不管是考研还是高考
[00:00:34 - 00:00:36] 选人校都特别的难
[00:00:36 - 00:00:37] 说张老师我想问一下
[00:00:37 - 00:00:40] 这个大学我到底该怎么选
[00:00:40 - 00:00:42] 选一些什么学校比较好
[00:00:42 - 00:00:45] 其实我们选的一个好学校的标准
[00:00:45 - 00:00:46] 是有很多的
[00:00:46 - 00:00:50] 咱们今天这两期就给大家讲一讲关于
[00:00:50 - 00:00:51] 中国大学的那些事
[00:00:51 - 00:00:55] 讲一讲咱们中国大学的一些发展的小历史
[00:00:55 - 00:00:58] 跟大家说一说中国大学的发展阶段
[00:00:58 - 00:01:02] 实际上咱们中国的大学有的还是比较早的
[00:01:02 - 00:01:05] 那么在咱们原来就是考试学习
[00:01:05 - 00:01:07] 就有一种叫做科举基督
[00:01:07 - 00:01:08] 那么科举基督这个东西
[00:01:08 - 00:01:11] 随着1840年鸦片证人的爆发
[00:01:11 - 00:01:14] 随着西风列翔他们的侵略铁题
[00:01:14 - 00:01:16] 踏进咱们中国的领土开始
[00:01:16 - 00:01:18] 我们国家就一直的想去
[00:01:18 - 00:01:19] 想西方来学习
[00:01:19 - 00:01:22] 来学习西方的大学的拜学制度
[00:01:22 - 00:01:25] 那么实际上在中国刚开始开大学的时候
[00:01:25 - 00:01:27] 都是一些教会的大学
[00:01:27 - 00:01:29] 最早的都是一些教会的大学
[00:01:29 - 00:01:32] 但是中国近现在史上第一所
[00:01:32 - 00:01:34] 由咱们中国人自己创立的大学
[00:01:34 - 00:01:36] 是从1895年开始的
[00:01:36 - 00:01:38] 就是当时圣宣怀创办的
[00:01:38 - 00:01:40] 在天津的叫做北洋工学
[00:01:40 - 00:01:42] 就是我们现在的天津大学
[00:01:42 - 00:01:44] 那么1895年创立了北洋工学
[00:01:44 - 00:01:48] 1896年的收学法又到到上海创办了南洋工学
[00:01:48 - 00:01:51] 就是现在的中国的上交大和西安交大
[00:01:51 - 00:01:54] 那么随着这两所大学的一个心力
[00:01:54 - 00:01:57] 咱们中国进行的史上开始有了自己的大学
[00:01:57 - 00:01:59] 那么实际上在抗认人生期间
[00:01:59 - 00:02:03] 包括在我们的整个半殖民地半封建的社会当中
[00:02:03 - 00:02:06] 咱们中国的意志大学都是开始
[00:02:06 - 00:02:08] 慢慢一个厨历像什么北大
[00:02:08 - 00:02:11] 像什么清华像北京师傅大学
[00:02:11 - 00:02:13] 他们的历史其实都可以去追溯到
[00:02:13 - 00:02:16] 咱们就是甚至是上上个世纪
[00:02:16 - 00:02:18] 甚至就是我们上个世纪的初
[00:02:18 - 00:02:20] 比如说包括像河南大学这样的学校
[00:02:20 - 00:02:22] 他们其实创办的时间都是非常的早的
[00:02:22 - 00:02:23] 但是创办的早的大学
[00:02:23 - 00:02:25] 他们都在抗议战争期间
[00:02:25 - 00:02:28] 经历过一个非常非常艰难的阶段
[00:02:28 - 00:02:30] 这个阶段叫做西迁
[00:02:30 - 00:02:33] 我可以这样说在咱们中国的大学史上
[00:02:33 - 00:02:37] 如果说这个学校曾经有过西迁的经历
[00:02:37 - 00:02:39] 那么这个大学在中国
[00:02:39 - 00:02:42] 其实实际上都是一个非常非常老牌的大学
[00:02:42 - 00:02:44] 那么当时西迁的代表之多
[00:02:44 - 00:02:46] 就是之前我在原来
[00:02:46 - 00:02:48] 去年一个很火的视频里讲过的
[00:02:48 - 00:02:50] 就是当时的西南联合大学
[00:02:50 - 00:02:53] 就是当年的清华北大和南开三个学校
[00:02:53 - 00:02:54] 因为康人战争的爆发
[00:02:54 - 00:02:56] 从北京刚开始是搬到了长沙
[00:02:56 - 00:03:00] 然后又从长沙又开始搬到了昆明
[00:03:00 - 00:03:01] 然后在昆明就做了一个学校
[00:03:01 - 00:03:03] 叫做西南联合大学
[00:03:03 - 00:03:05] 那么西南联合大学在康人战争结束以后的话
[00:03:06 - 00:03:07] 又搬回来了
[00:03:07 - 00:03:07] 搬回来完以后的话
[00:03:07 - 00:03:12] 为了感谢余南省对西南联合大学当时的支持
[00:03:12 - 00:03:15] 所以说当时就将新南联合大学的教育学院
[00:03:15 - 00:03:17] 留在了云南
[00:03:17 - 00:03:19] 就是现在的云南师分大学
[00:03:19 - 00:03:24] 所以说你会发现现在所有在纪念西南联合大学的这么一个纪念会上
[00:03:24 - 00:03:28] 除了当时的当时的三所大学就是清华北达河南开以后
[00:03:28 - 00:03:32] 基本上还会带着现在的云南师分大学
[00:03:32 - 00:03:36] 因为云南师分大学就是从西南联合大学当中去分离出来
[00:03:36 - 00:03:39] 并且留给云南人民的一份礼物
[00:03:39 - 00:03:41] 像当时像浙江大学
[00:03:41 - 00:03:42] 像同级大学
[00:03:42 - 00:03:44] 像中山大学等等等等这些学校
[00:03:44 - 00:03:47] 其实在抗人战争期间都经历过西迁
[00:03:47 - 00:03:50] 而且最令人感动的是什么呢?
[00:03:50 - 00:03:54] 就是这些大学不但没有在抗人战争期间
[00:03:54 - 00:03:56] 没有在西迁的过程当中
[00:03:56 - 00:03:59] 被侵略者的铁铁给干煤
