BV号：BV1mbBMYzEET
标题：BV1mbBMYzEET
链接：https://www.bilibili.com/video/BV1mbBMYzEET
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 07:06:46

[00:00:00 - 00:00:01] 什么叫专业组干净不干净
[00:00:01 - 00:00:02] 这个我给大家科普一下
[00:00:02 - 00:00:04] 因为毕竟可能有很多家长
[00:00:04 - 00:00:05] 他刚刚还得要报职院
[00:00:05 - 00:00:07] 他刚开始了解专业组干净不干净
[00:00:07 - 00:00:09] 指的就是这个专业组里边
[00:00:09 - 00:00:10] 有没有你不想要的专业
[00:00:10 - 00:00:14] 比如说这个在临床医学类里边经常会出现
[00:00:14 - 00:00:16] 就是一个一科大学
[00:00:16 - 00:00:18] 他把他的临床类和非临床类
[00:00:18 - 00:00:20] 会在一个专业组招生吗
[00:00:20 - 00:00:23] 如果说他这个专业组里边都是临床类
[00:00:23 - 00:00:24] 临床医学
[00:00:24 - 00:00:24] 麻醉学
[00:00:24 - 00:00:26] 医学影像学
[00:00:26 - 00:00:28] 哪怕下面给你加个儿科学
[00:00:28 - 00:00:30] 这都是临床类专业
[00:00:30 - 00:00:31] 结果你发现
[00:00:31 - 00:00:34] 医学影像学和医学影像技术
[00:00:34 - 00:00:36] 在一个组里边
[00:00:36 - 00:00:37] 它这个专业组就不干净
[00:00:37 - 00:00:42] 因为它这个专业组里边是两个不同的医学大类
[00:00:42 - 00:00:44] 一个是医学临床医学类
[00:00:44 - 00:00:46] 一个是医学技术类
[00:00:46 - 00:00:47] 那你就问自己一个问题
[00:00:47 - 00:00:49] 我学了医学技术类
[00:00:49 - 00:00:51] 我被调地到了医学影像技术
[00:00:51 - 00:00:52] 我能不能接受
[00:00:52 - 00:00:54] 能接受你就把这个组放上面
[00:00:54 - 00:00:56] 不能接受这个组就不要放
[00:00:56 - 00:00:58] 又就是专业组 赶紧不赶紧
