BV号：BV1mi42197TB
标题：BV1mi42197TB
链接：https://www.bilibili.com/video/BV1mi42197TB
识别语言：zh
语言置信度：1
分段数：104
生成时间：2026-04-03 11:39:20

[00:00:00 - 00:00:02] 他特别想学那个
[00:00:02 - 00:00:04] 说这个生物对人类有贡献
[00:00:04 - 00:00:05] 是
[00:00:05 - 00:00:06] 但是加上我这么
[00:00:06 - 00:00:08] 我先说一下生物这个专业
[00:00:08 - 00:00:11] 首先生物这个专业本科阶段
[00:00:11 - 00:00:13] 其实你学的根本就不是生物
[00:00:13 - 00:00:16] 还有我们之不见有没有学生物的小伙伴
[00:00:16 - 00:00:17] 你看我说的说法对不对
[00:00:17 - 00:00:19] 你本科阶段学生物学的叫做
[00:00:19 - 00:00:21] 研究生物的技术和方法
[00:00:21 - 00:00:23] 它其实不是生物
[00:00:23 - 00:00:26] 你研究生阶段的生物才叫生物
[00:00:26 - 00:00:28] 这个可能要展示我专业性了
[00:00:28 - 00:00:30] 研究生学的生物分什么呢
[00:00:30 - 00:00:30] 植物学
[00:00:30 - 00:00:31] 动物学
[00:00:31 - 00:00:31] 生理学
[00:00:31 - 00:00:31] 生态学
[00:00:31 - 00:00:32] 水生生物学
[00:00:32 - 00:00:33] 神经生物学
[00:00:33 - 00:00:34] 发育生物学
[00:00:34 - 00:00:35] 细胞生物学
[00:00:35 - 00:00:36] 遗传学
[00:00:36 - 00:00:37] 生物化学分的生物学
[00:00:37 - 00:00:37] 微生物学
[00:00:37 - 00:00:39] 这叫生物学
[00:00:39 - 00:00:40] 你本科阶段学的叫做
[00:00:40 - 00:00:43] 生物技术和生物科学
[00:00:43 - 00:00:44] 你本科阶段学的叫做
[00:00:44 - 00:00:47] 研究生物学的方法
[00:00:47 - 00:00:49] 它不叫生物学
[00:00:49 - 00:00:51] 而且尤其还有一点是什么呢
[00:00:51 - 00:00:52] 就是大家要明白
[00:00:52 - 00:00:54] 你要想学生物专业的话
[00:00:54 - 00:00:56] 你最重要的学科优势是什么
[00:00:56 - 00:00:57] 是化学
[00:00:57 - 00:00:58] 你化学学的好
[00:00:58 - 00:01:00] 你才能把生物学的好
[00:01:00 - 00:01:01] 化学基本上
[00:01:01 - 00:01:04] 完分大概是94或91
[00:01:04 - 00:01:04] 对
[00:01:04 - 00:01:05] 但是这个专业真的
[00:01:05 - 00:01:06] 你要很长
[00:01:06 - 00:01:08] 你本科阶段学的那个东西
[00:01:08 - 00:01:10] 叫做研究生物的方法
[00:01:10 - 00:01:11] 研究生阶段的时候
[00:01:11 - 00:01:14] 才对生物学的某个专业领域里面
[00:01:14 - 00:01:16] 有所了解和学习
[00:01:16 - 00:01:17] 到了博士阶段
[00:01:17 - 00:01:19] 才能把这个专业学到一定的程度
[00:01:19 - 00:01:20] 来我们直播间
[00:01:20 - 00:01:21] 小伙伴学生物的
[00:01:21 - 00:01:23] 告诉这位家长老张说的对不对
[00:01:24 - 00:01:25] 所以说生物这个专业
[00:01:25 - 00:01:26] 它在本科阶段
[00:01:26 - 00:01:30] 就是你的大学生物和你的本科生物完全不是一个东西
[00:01:30 - 00:01:33] 完全就不是一种东西
[00:01:33 - 00:01:33] 知道吧
[00:01:33 - 00:01:36] 就是可能跟你讲的是不一样的
[00:01:36 - 00:01:37] 所以说你不要因为
[00:01:37 - 00:01:39] 我这时候提醒大家
[00:01:39 - 00:01:42] 千万不要因为你本科阶段生物学的好
[00:01:43 - 00:01:44] 去喜欢生物
[00:01:44 - 00:01:45] 除非说是什么样的
[00:01:45 - 00:01:48] 如果说你对生物当中的某一领域里边特别感兴趣
[00:01:48 - 00:01:51] 你甚至还会买破败书去研究它
[00:01:51 - 00:01:53] 比如说基因的秘密
[00:01:54 - 00:01:54] 对吧
[00:01:54 - 00:01:56] 什么遗传的秘密
[00:01:56 - 00:01:57] 秘密这种
[00:01:57 - 00:01:59] 你说老师我们家孩子除了学生物
[00:01:59 - 00:02:00] 生物学得好以外
[00:02:00 - 00:02:02] 他甚至还要买这些书
[00:02:02 - 00:02:04] 去看一下这个基因
[00:02:04 - 00:02:05] 怎么去怎么样怎么样怎么样
[00:02:05 - 00:02:07] 他有这种想法
[00:02:07 - 00:02:08] 你说老师我是科学生物吗
[00:02:08 - 00:02:10] 这个也许还可以
[00:02:10 - 00:02:11] 但是如果说你说老师
[00:02:11 - 00:02:12] 我就是说
[00:02:12 - 00:02:13] 因为我高中生物学得好
[00:02:13 - 00:02:15] 然后我报生物
[00:02:15 - 00:02:17] 这个我个人不是很建议
[00:02:17 - 00:02:18] 而且现在生物
[00:02:18 - 00:02:19] 来直播间调办
[00:02:19 - 00:02:21] 学生物的告诉家长是不是这样
[00:02:21 - 00:02:23] 现在生物最重要的两个
[00:02:23 - 00:02:25] 这个他的所谓趴坑方向也好
[00:02:25 - 00:02:27] 或者说是研究领域也好
[00:02:27 - 00:02:28] 一个是生物统计学
[00:02:28 - 00:02:29] 一个是生物信息学
[00:02:29 - 00:02:30] 是这两个
[00:02:30 - 00:02:31] 而不是所谓的
[00:02:31 - 00:02:32] 现在生物
[00:02:32 - 00:02:33] 如果说你说
[00:02:33 - 00:02:33] 哎呦老师我想证的
[00:02:33 - 00:02:34] 稍微公司高一点
[00:02:34 - 00:02:35] 我想怎么样
[00:02:35 - 00:02:37] 生物统计和生物信息
[00:02:37 - 00:02:40] 是非常重要的两个研究方向
[00:02:40 - 00:02:40] 对
[00:02:40 - 00:02:40] 所以说的话
[00:02:40 - 00:02:42] 这个你想好
