BV号：BV1n5PaetExA
标题：BV1n5PaetExA
链接：https://www.bilibili.com/video/BV1n5PaetExA
识别语言：zh
语言置信度：1
分段数：88
生成时间：2026-04-03 05:48:55

[00:00:00 - 00:00:02] 你到底要上公办的官坤
[00:00:02 - 00:00:03] 直接奔着就业去
[00:00:03 - 00:00:05] 还是所谓的要报一个
[00:00:05 - 00:00:08] 民办的本坤将来奔着口空去
[00:00:08 - 00:00:10] 你想好 你想好
[00:00:10 - 00:00:11] 像民办本坤
[00:00:11 - 00:00:13] 平台肯定会更高
[00:00:13 - 00:00:14] 但问题在于
[00:00:14 - 00:00:16] 你到了一个高的平台以后
[00:00:16 - 00:00:17] 你能不能奔着去
[00:00:17 - 00:00:19] 你能不能奔着更好的地方去
[00:00:19 - 00:00:20] 这是另外一个问题
[00:00:20 - 00:00:22] 平台肯定会更高
[00:00:22 - 00:00:23] 但是口空你能考虑上吗
[00:00:23 - 00:00:25] 我经常给我们这边讲讲讲
[00:00:25 - 00:00:26] 你跟孩子说清楚说明白
[00:00:26 - 00:00:28] 同学 孩子
[00:00:28 - 00:00:30] 爸爸妈妈花多久去打过卖铁
[00:00:30 - 00:00:31] 多愿意
[00:00:31 - 00:00:32] 没问题
[00:00:32 - 00:00:33] 但是你想好
[00:00:33 - 00:00:34] 你上明白本货
[00:00:34 - 00:00:35] 跟上公办方法
[00:00:35 - 00:00:36] 你上明白本货
[00:00:36 - 00:00:38] 你最起码比上公办方法
[00:00:38 - 00:00:40] 得多花十五万多
[00:00:40 - 00:00:40] 对不对
[00:00:40 - 00:00:42] 你算比较差不多
[00:00:42 - 00:00:43] 你明白本货四年
[00:00:43 - 00:00:45] 那就算一年学费是
[00:00:45 - 00:00:46] 两万五三万
[00:00:46 - 00:00:48] 你在大学里边的生活费
[00:00:48 - 00:00:49] 有多少钱
[00:00:49 - 00:00:49] 对吧
[00:00:49 - 00:00:51] 你可能得多花个两万五三
[00:00:51 - 00:00:52] 你可能总体下来
[00:00:52 - 00:00:55] 你可能得多花个四五万多
[00:00:55 - 00:00:56] 四五万多是个什么样的
[00:00:56 - 00:00:57] 对吧
[00:00:57 - 00:00:59] 咱说白了就是
[00:00:59 - 00:01:00] 有的家庭拿出这15万
[00:01:00 - 00:01:01] 本都不打一千
[00:01:01 - 00:01:02] 无所谓
[00:01:02 - 00:01:04] 有的家庭拿出这15万还是很
[00:01:04 - 00:01:05] 如果说你家里边本都不打
[00:01:05 - 00:01:07] 拿15万跟我们玩一样
[00:01:07 - 00:01:08] 那你无所谓
[00:01:08 - 00:01:09] 你爱怎么选怎么选
[00:01:09 - 00:01:11] 但如果说你这个家庭拿出15万
[00:01:11 - 00:01:12] 怎么办
[00:01:12 - 00:01:13] 对吧
[00:01:13 - 00:01:14] 你跟孩子都说清楚
[00:01:14 - 00:01:16] 我愿意拿这个15万去
[00:01:16 - 00:01:19] 我跟你未来有一个更好的未来
[00:01:19 - 00:01:20] 但是
[00:01:20 - 00:01:21] 我出的出钱
[00:01:21 - 00:01:23] 你出的出力
[00:01:23 - 00:01:24] 你出的
[00:01:24 - 00:01:25] 你最后今儿没时辰
[00:01:25 - 00:01:27] 我给你倒一个更好的平台
[00:01:27 - 00:01:30] 也没有往中高的地方去问
[00:01:30 - 00:01:31] 你将来过不好
[00:01:31 - 00:01:31] 生活不好
[00:01:31 - 00:01:32] 你再做一件事
[00:01:32 - 00:01:34] 但如果你过公办中课的话
[00:01:34 - 00:01:37] 你会直接有一个比较容易的就业
[00:01:37 - 00:01:39] 你最起码你找得到工作
[00:01:39 - 00:01:40] 你最起码不够失业
[00:01:40 - 00:01:40] 对吧
[00:01:40 - 00:01:42] 不过讲得很实在对不对
[00:01:42 - 00:01:43] 就是咱们家庭
[00:01:43 - 00:01:45] 咱家庭是什么样的家庭
[00:01:45 - 00:01:46] 咱家庭如果是那种
[00:01:46 - 00:01:48] 可以说拿十几万去挥货的
[00:01:48 - 00:01:50] 那你为什么不挥货
[00:01:50 - 00:01:52] 但咱家庭不是那种家庭
[00:01:52 - 00:01:53] 对吧
[00:01:53 - 00:01:55] 咱就老老实实地奔回就业去
[00:01:55 - 00:01:56] 所以说这个东西
[00:01:56 - 00:01:57] 你得跟孩子商量好
[00:01:57 - 00:01:58] 中国人就好
[00:01:58 - 00:02:00] 你让家人愿多富士
[00:02:00 - 00:02:01] 愿多富士
[00:02:02 - 00:02:04] 你自己去选择这条路
[00:02:04 - 00:02:05] 压大碎了
[00:02:05 - 00:02:06] 肚子里
[00:02:06 - 00:02:06] 耶
[00:02:07 - 00:02:08] 你也不爱这条
