BV号：BV1nW4y1J7Bn
标题：BV1nW4y1J7Bn
链接：https://www.bilibili.com/video/BV1nW4y1J7Bn
识别语言：zh
语言置信度：1
分段数：36
生成时间：2026-04-03 17:19:08

[00:00:00 - 00:00:02] 就是你在家里边上课上学啥的
[00:00:02 - 00:00:05] 一定要自己好好地把握住自己
[00:00:05 - 00:00:06] 就是我跟你说
[00:00:06 - 00:00:08] 人和人最公平的你知道是哪一点吗
[00:00:08 - 00:00:09] 就是你们都24个小时
[00:00:09 - 00:00:11] 如果说你这24个小时利用得好
[00:00:11 - 00:00:13] 那你就比别人靠钱
[00:00:13 - 00:00:14] 经常有家长跟我们这样说
[00:00:14 - 00:00:15] 说张老师我们家孩子
[00:00:15 - 00:00:17] 因为上网课的时候
[00:00:17 - 00:00:19] 效果不好成绩下来了
[00:00:19 - 00:00:21] 我说你这个东西就是瞎找理由
[00:00:21 - 00:00:23] 人家统让上网课的人
[00:00:23 - 00:00:25] 那我问人家成绩进步的
[00:00:25 - 00:00:26] 我问他我说你成绩咋上来的
[00:00:26 - 00:00:27] 那人家家长跟我说
[00:00:27 - 00:00:28] 因为上网课
[00:00:28 - 00:00:30] 我们家孩子的成绩进步了
[00:00:30 - 00:00:31] 这找啥呢
[00:00:31 - 00:00:32] 你自己没努力就完了
[00:00:32 - 00:00:33] 你可得要干啥
[00:00:33 - 00:00:34] 对吧
[00:00:34 - 00:00:36] 如果说再遇到上网课的时候
[00:00:36 - 00:00:37] 自己一定要把握住
[00:00:37 - 00:00:38] 老弟
[00:00:38 - 00:00:40] 你要知道学习的苦
[00:00:40 - 00:00:42] 你能努力吃一年两年
[00:00:42 - 00:00:42] 也就过去了
[00:00:42 - 00:00:45] 生活的苦你是要吃一辈子的
[00:00:45 - 00:00:47] 用知识去挣钱是最容易的
[00:00:47 - 00:00:48] 用体力去挣钱
[00:00:48 - 00:00:49] 我跟你说
[00:00:49 - 00:00:50] 苦和累那就多了
[00:00:50 - 00:00:51] 所以说的话
[00:00:51 - 00:00:52] 有的时候高三这一年
[00:00:52 - 00:00:54] 一定要把握好自己
