BV号：BV1oE411d7ac
标题：BV1oE411d7ac
链接：https://www.bilibili.com/video/BV1oE411d7ac
识别语言：zh
语言置信度：1
分段数：437
生成时间：2026-04-04 06:16:11

[00:00:02 - 00:00:05] 我觉得他们不是男人和女人吗
[00:00:05 - 00:00:08] 自恋的人有一个特别可怕的事情
[00:00:08 - 00:00:10] 就是他特别会利用别人
[00:00:10 - 00:00:11] 您说
[00:00:11 - 00:00:12] 我也是个小老板
[00:00:12 - 00:00:15] 我们公司的零食都是随意吃的
[00:00:15 - 00:00:17] 那怎么说不这一件事
[00:00:17 - 00:00:18] 他说你是个很自我
[00:00:18 - 00:00:22] 我觉得突然想起来我们上学的时候
[00:00:22 - 00:00:22] 就是经常说那种
[00:00:22 - 00:00:25] 你说拿了鸡猫当令件就这种人
[00:00:25 - 00:00:25] 对
[00:00:25 - 00:00:39] 大家好
[00:00:39 - 00:00:42] 欢迎收看小型途逼脱口秀大开演技
[00:00:42 - 00:00:45] 我是让学习变得更快乐的张雪丰老师
[00:00:45 - 00:00:48] 今天我们来到了南罗古巷的唐冯咖啡
[00:00:48 - 00:00:49] 而坐在我身边的呢
[00:00:49 - 00:00:52] 是咱们北京京城的精神病的专家
[00:00:52 - 00:00:53] 我们的六哥
[00:00:53 - 00:00:55] 嗨 大家好 大家好
[00:00:55 - 00:00:57] 我真的我就是精神病学
[00:00:57 - 00:00:58] 我特别感兴趣
[00:00:58 - 00:00:59] 其实啊
[00:00:59 - 00:01:01] 我的家乡是七点哈尔嘛
[00:01:01 - 00:01:02] 然后七点哈尔有个七点哈尔医学院
[00:01:02 - 00:01:04] 七点哈尔医学院最好的专业
[00:01:04 - 00:01:05] 精神病
[00:01:05 - 00:01:06] 对 就是精神病学
[00:01:06 - 00:01:08] 你们一眼就知道了
[00:01:08 - 00:01:09] 六哥我有个问题
[00:01:09 - 00:01:11] 就是最近我在公网当中经常发现
[00:01:11 - 00:01:16] 我有一些客户就是特别的难产
[00:01:16 - 00:01:19] 我就觉得他们就经常有问题
[00:01:19 - 00:01:19] 你知道吧
[00:01:19 - 00:01:22] 比如说比如说拿个机构当地当地验
[00:01:22 - 00:01:23] 对吧
[00:01:23 - 00:01:23] 然后的话
[00:01:23 - 00:01:24] 我是假方
[00:01:24 - 00:01:24] 我是爷呀
[00:01:24 - 00:01:25] 就这种
