BV号：BV1oU4y1a76J
标题：BV1oU4y1a76J
链接：https://www.bilibili.com/video/BV1oU4y1a76J
识别语言：zh
语言置信度：1
分段数：24
生成时间：2026-04-04 00:38:07

[00:00:00 - 00:00:03] 在3加1加2當中還要提醒大家
[00:00:03 - 00:00:05] 就是說張老師我現在我物理和化學我肯定選
[00:00:05 - 00:00:07] 我物理也好化學也好對吧
[00:00:07 - 00:00:10] 我第三科這個收入呢
[00:00:10 - 00:00:11] 還有這個地理啊
[00:00:11 - 00:00:12] 還有這個政治啊
[00:00:12 - 00:00:16] 還有這個其實選哪個都可以
[00:00:16 - 00:00:20] 啊我這三科沒有一個重點的一個優勢或者是劣勢啊
[00:00:20 - 00:00:22] 那我第三科我該怎麼選
[00:00:22 - 00:00:24] 那你說老師我現在是物理化學收入
[00:00:24 - 00:00:27] 還是物理化學地理還是物理化學爭執
[00:00:27 - 00:00:28] 那這個該怎麼選
[00:00:28 - 00:00:32] 這個關鍵是要看孩子將來想不想學1
[00:00:32 - 00:00:34] 因為6選3的省份當中
[00:00:34 - 00:00:35] 很多學校1學院
[00:00:35 - 00:00:36] 它是不要求選物理的
[00:00:36 - 00:00:38] 但是3加1加2當中
[00:00:38 - 00:00:42] 那麼1學院基本上都是要求你選物理的
[00:00:42 - 00:00:43] 當然你學中醫除外
[00:00:43 - 00:00:44] 中醫呢
[00:00:44 - 00:00:47] 全國幾乎所有學校都不會做選盤要求
[00:00:47 - 00:00:50] 所以說大家選擇的時候一定要慎重
[00:00:50 - 00:00:51] 因為你選的什麼坑
[00:00:51 - 00:00:54] 你將來報什麼專業就已經基本定下來了
