BV号：BV1oY411b7Dp
标题：BV1oY411b7Dp
链接：https://www.bilibili.com/video/BV1oY411b7Dp
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-03 20:43:47

[00:00:00 - 00:00:01] 有任何理解吗?
[00:00:01 - 00:00:05] 你要注意,演示光学和演示光医学是两个不同的转业
[00:00:05 - 00:00:08] 演示光医学它是临床医学
[00:00:08 - 00:00:10] 它是能考值一的
[00:00:11 - 00:00:15] 演示光学的话其实就是你们现在做的这个事叫演示光学
[00:00:15 - 00:00:17] 所以说的话演示光学的话它只是做
[00:00:17 - 00:00:21] 你也知道你平时的工作就是看一下这个眼睛是什么样的情况
[00:00:21 - 00:00:23] 但是它不是看病它是不一样的
[00:00:23 - 00:00:24] 你这个专业是属于医学技术类
[00:00:24 - 00:00:26] 它不属于临床医学类
[00:00:26 - 00:00:28] 因为如果说是演示光医学它是五年
[00:00:28 - 00:00:29] 演示光学是四年
[00:00:29 - 00:00:30] 有很大差别的
[00:00:30 - 00:00:33] 那您这个的话有没有什么好推荐的
[00:00:33 - 00:00:35] 基本上开这个专业的学校全是一课大学
[00:00:35 - 00:00:37] 它不是一课大学的开不了这个专业
[00:00:37 - 00:00:38] 然后你学医学技术类的话
[00:00:38 - 00:00:40] 因为你存在的是一个技术
[00:00:40 - 00:00:43] 所以说这个专业的就业地域性没有那么明显
[00:00:43 - 00:00:46] 所以说的话你完全可以依照你自己的情况
[00:00:46 - 00:00:49] 假如说你现在上一个是南常大学医学院
[00:00:49 - 00:00:51] 然后将来我将来发展场去苏州
[00:00:51 - 00:00:52] 这个都没有问题
[00:00:52 - 00:00:53] 因为这个专业在医学
[00:00:53 - 00:00:54] 它属于医学技术类
[00:00:54 - 00:00:56] 而且医学技术类偏技术
[00:00:56 - 00:00:58] 跟口腔一样
[00:00:58 - 00:00:59] 口腔医学也是一样
[00:00:59 - 00:01:01] 口腔音学也是属于医学类
[00:01:01 - 00:01:02] 但是口腔音学的话
[00:01:02 - 00:01:03] 它也是偏技术
[00:01:03 - 00:01:04] 所以说的话
[00:01:04 - 00:01:05] 它没有就业地域性
[00:01:05 - 00:01:08] 所以说在医学大类里边
[00:01:08 - 00:01:09] 不涉及到你必须读研
[00:01:09 - 00:01:10] 才能去就业的专业的话
[00:01:10 - 00:01:12] 它都没有就业地域性
[00:01:12 - 00:01:14] 但你是要注意的一个问题的什么呢
[00:01:14 - 00:01:16] 眼神光学这个专业的医学院当中
[00:01:16 - 00:01:18] 是一个腰部专业
[00:01:18 - 00:01:19] 但它也不是底部
[00:01:19 - 00:01:21] 因为医科大学会有底部的专业
[00:01:21 - 00:01:23] 你一定要看一下各个学校
[00:01:23 - 00:01:26] 它这个学校在你一审招成所有专业的位置
[00:01:26 - 00:01:28] 然后你要看一下你这个分
[00:01:28 - 00:01:34] 能不能上这个专业 你要不能上这个专业的话 尽量别报 因为你一旦报了以后的话 你搞不好要挑剔的
[00:01:34 - 00:01:37] 能明白吧 因为你现在已经某一个专业了 明白
