BV号：BV1oi421v7oF
标题：BV1oi421v7oF
链接：https://www.bilibili.com/video/BV1oi421v7oF
识别语言：zh
语言置信度：1
分段数：95
生成时间：2026-04-03 10:29:13

[00:00:00 - 00:00:02] 老观众应该知道每年这个时候
[00:00:02 - 00:00:03] 张老师都会介绍一些学校
[00:00:03 - 00:00:05] 那今天咱们就来讲讲医学类
[00:00:05 - 00:00:09] 其实去年我也给大家推过一些医学类的院校
[00:00:09 - 00:00:10] 但是要说印象深刻的
[00:00:10 - 00:00:12] 我立马就想到了大连一课大学
[00:00:12 - 00:00:15] 去年我说过这个学校是实力强于名气
[00:00:15 - 00:00:16] 还说它环境好
[00:00:16 - 00:00:19] 是国内少有的极所学校里边就有海滩的大学
[00:00:19 - 00:00:21] 那今年我还是会推他
[00:00:21 - 00:00:23] 不只是上面的这些理由了
[00:00:23 - 00:00:25] 很多新变化也很值得大家关注
[00:00:25 - 00:00:28] 有些人可能没看过去年的视频
[00:00:28 - 00:00:30] 先简单介绍一下大一的实力
[00:00:30 - 00:00:31] 先是学科
[00:00:31 - 00:00:33] 就拿国内最权威的教育部学科评估来说
[00:00:33 - 00:00:35] 它的临床医学基础医学
[00:00:35 - 00:00:37] 中西医节和生物学这四个学科
[00:00:37 - 00:00:39] 都进入到了全国的前30%
[00:00:39 - 00:00:42] 中西医节和更是超过了不少985
[00:00:42 - 00:00:44] 在新一轮全国学科评估里边
[00:00:44 - 00:00:46] 有突破不说
[00:00:46 - 00:00:48] 国内之名第三方的评价里边
[00:00:48 - 00:00:51] 也是位居西医院校首位全国第三
[00:00:51 - 00:00:52] 在看国际上
[00:00:52 - 00:00:54] 公认比较权威的ESI榜单
[00:00:54 - 00:00:56] 还有六个学科是全球前百分之
[00:00:56 - 00:00:58] 比不少21多多少多了
[00:00:58 - 00:00:59] 而且跟去年相比
[00:00:59 - 00:01:01] 这些学科的国际排名
[00:01:01 - 00:01:03] 又都是提成了几十位
[00:01:03 - 00:01:04] 十几百位
[00:01:04 - 00:01:05] 说完学科
[00:01:05 - 00:01:06] 咱们再看看专业
[00:01:06 - 00:01:07] 大一27个本科专业里边
[00:01:07 - 00:01:09] 有一半以上都是国家籍
[00:01:09 - 00:01:11] 省籍一流本科专业
[00:01:11 - 00:01:12] 临床医学
[00:01:12 - 00:01:13] 还有两个五加三
[00:01:13 - 00:01:15] 一体化的培养模式
[00:01:15 - 00:01:15] 去年年底
[00:01:15 - 00:01:17] 它的中西医临床医学专业
[00:01:17 - 00:01:19] 在全国首个接受
[00:01:19 - 00:01:21] 并通过了教育部的试点认证
[00:01:21 - 00:01:22] 今年又设置了
[00:01:22 - 00:01:24] 中西医临床医学
[00:01:24 - 00:01:27] 齐皇班和基礎醫學齊政班
[00:01:27 - 00:01:30] 都是五年本科生加四年博士研究生
[00:01:30 - 00:01:33] 完成本科階段的學習後
[00:01:33 - 00:01:34] 只要符合推免標準
[00:01:34 - 00:01:36] 本人申請學校批准後
[00:01:36 - 00:01:38] 就可以繼續博士研究生的
[00:01:38 - 00:01:39] 排氧階段的學習
[00:01:39 - 00:01:41] 另外學校還新增了
[00:01:41 - 00:01:43] 中醫康復學、真酒推納學
[00:01:43 - 00:01:45] 康復治療學和重產學
[00:01:45 - 00:01:46] 四個招生專業
[00:01:46 - 00:01:48] 今年還啟動了微專業
[00:01:48 - 00:01:51] 為學生提供了更多的學習選擇
[00:01:51 - 00:01:52] 和職業發展路徑
[00:01:52 - 00:01:53] 這就能看得出來
[00:01:53 - 00:01:55] 這個學校不僅是實力到位
[00:01:55 - 00:01:56] 而且還很敏銳
[00:01:56 - 00:01:58] 緊跟政策和市場需求
[00:01:58 - 00:02:00] 培養的都是極取負荷現身財
[00:02:00 - 00:02:02] 既然是醫學院校
[00:02:02 - 00:02:03] 附屬醫院咱們也得關注一下
[00:02:03 - 00:02:05] 大醫有足足14家附屬醫院
[00:02:05 - 00:02:07] 其中附屬醫院和附屬二位
[00:02:07 - 00:02:10] 都進入到了全國百強定級醫院
[00:02:10 - 00:02:11] 在全國啊
[00:02:11 - 00:02:12] 那都是排隊上號了
[00:02:12 - 00:02:14] 再加上它現有的50多個國家級
[00:02:14 - 00:02:16] 省部級的科技平臺
[00:02:16 - 00:02:18] 同學們以後不管是時期時間
[00:02:18 - 00:02:19] 還是彈架科研項目
[00:02:19 - 00:02:21] 都是能夠保障的
[00:02:21 - 00:02:22] 建立里邊你有這些經歷
[00:02:22 - 00:02:24] 对以后的生学就业也是很有帮助的
[00:02:24 - 00:02:27] 说起实践能力和生学就业
[00:02:27 - 00:02:28] 大一呢也很强
[00:02:28 - 00:02:32] 第十届中国大学生医学技术技能大赛里面
[00:02:32 - 00:02:34] 他拿下了全国总冠军
[00:02:34 - 00:02:36] 之前参赛还拿过四次特产奖
[00:02:36 - 00:02:38] 而且不只这一点看生学
[00:02:38 - 00:02:42] 大一很多学院都生造率超过了50%
[00:02:42 - 00:02:44] 一些专业甚至能到65%
[00:02:44 - 00:02:46] 妥妥的酒吧不水平
[00:02:46 - 00:02:46] 看就业呢
[00:02:46 - 00:02:49] 学生生造后进入到三家医院
[00:02:49 - 00:02:52] 去国企事业代位也不难不出出路
[00:02:52 - 00:02:54] 大一實力本來就不錯
[00:02:54 - 00:02:55] 這些年發展的還挺快
[00:02:55 - 00:02:56] 這麼優質的一所大學
[00:02:56 - 00:02:59] 確實知道大家多多關注一下
