BV号：BV1pb411p77r
标题：BV1pb411p77r
链接：https://www.bilibili.com/video/BV1pb411p77r
识别语言：zh
语言置信度：1
分段数：190
生成时间：2026-04-04 08:26:30

[00:00:00 - 00:00:02] 大家好 我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:04] 在1997年的3月份
[00:00:04 - 00:00:07] 李某因为盗窃三生们的铁矿石
[00:00:07 - 00:00:08] 被依法逮捕
[00:00:08 - 00:00:10] 而8月份当地的法院判决
[00:00:10 - 00:00:12] 李某因为盗窃三生们的铁矿石
[00:00:12 - 00:00:14] 判决死刑
[00:00:14 - 00:00:16] 这个死刑什么时候执行呢
[00:00:16 - 00:00:18] 是在当年的10月3号执行
[00:00:18 - 00:00:20] 而10月2号晚上
[00:00:20 - 00:00:22] 看守所就像李某宣读了
[00:00:22 - 00:00:24] 要执行死刑的判决書
[00:00:24 - 00:00:25] 就告诉他说
[00:00:25 - 00:00:27] 你明天就要被执行死刑了
[00:00:27 - 00:00:29] 今天晚上可能是你人生当中
[00:00:29 - 00:00:30] 最后的一个夜晚了
[00:00:30 - 00:00:34] 李某也就度过了所谓自己人生当中最后的一个夜晚
[00:00:34 - 00:00:38] 而3号当地的法院院长就带着人来执行死刑
[00:00:38 - 00:00:40] 法院院长就问当地的看守所的所长
[00:00:40 - 00:00:44] 说你们什么时候跟李某宣读这个判决书的
[00:00:44 - 00:00:45] 这个看守所所上说
[00:00:45 - 00:00:47] 按照咱们惯例
[00:00:47 - 00:00:49] 不是说第二天执行死刑
[00:00:49 - 00:00:51] 前一天晚上得对宣读判决书吗
[00:00:51 - 00:00:52] 这你判决书要宣读早了
[00:00:52 - 00:00:54] 万一李某想不开
[00:00:54 - 00:00:55] 直接自己在监狱里边自杀了
[00:00:55 - 00:00:56] 这也不太好
[00:00:56 - 00:00:57] 对吧
[00:00:57 - 00:00:58] 所以说我们是在2号晚上
[00:00:58 - 00:01:02] 昨天晚上跟他宣读的这个判决书
[00:01:02 - 00:01:04] 法院院长听着这句话以后说出了四个字
[00:01:04 - 00:01:06] 他说刀下流人
[00:01:06 - 00:01:07] 哎
[00:01:07 - 00:01:12] 为什么要对一个机枪之星死刑的犯人说出刀下流人这四个字呢
[00:01:12 - 00:01:24] 这就是我们今天要给大家讲的故事
[00:01:24 - 00:01:25] 大家好
[00:01:25 - 00:01:26] 我是让学习变得更快乐的张雪峰老师
[00:01:26 - 00:01:28] 欢迎大家收看法理骑士
[00:01:28 - 00:01:28] 很好玩
[00:01:28 - 00:01:31] 那坐在我身边的依然是我们的法学专家
[00:01:31 - 00:01:32] 我们研途教育的谦约老师
[00:01:32 - 00:01:33] 我们的言爱侠老师
[00:01:33 - 00:01:34] 杨老师给大家打招呼吧
[00:01:34 - 00:01:35] 好 大家好
[00:01:35 - 00:01:38] 杨老师 像刚才我们说的这个案子当中
[00:01:38 - 00:01:42] 为什么法院院长要对一个即将适应死刑的犯人说
[00:01:42 - 00:01:43] 这个刀下流人呢
[00:01:43 - 00:01:46] 这个是我们刑法中特别重要的一个原则
[00:01:46 - 00:01:48] 在刑法的时间效率上的一个原则
[00:01:48 - 00:01:49] 时间效率上
[00:01:49 - 00:01:51] 叫从就监重清原则
[00:01:51 - 00:01:52] 从就监重清
[00:01:52 - 00:01:54] 那什么叫从就监重清
[00:01:54 - 00:01:57] 就说通常情况对一个人定罪谅刑的时候
[00:01:57 - 00:02:00] 使用的是他行为时的法律
[00:02:00 - 00:02:01] 行为时的法律
[00:02:01 - 00:02:02] 这叫就
