BV号：BV1ps41137zb
标题：BV1ps41137zb
链接：https://www.bilibili.com/video/BV1ps41137zb
识别语言：zh
语言置信度：1
分段数：228
生成时间：2026-04-04 09:52:32

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:21 - 00:00:21] 大家好
[00:00:21 - 00:00:24] 我上学习变得更快乐的张雪峰老师
[00:00:24 - 00:00:26] 欢迎来到本期的张老师课堂
[00:00:26 - 00:00:28] 很多最近朋友都在问我说
[00:00:28 - 00:00:29] 张老师你最近在忙什么
[00:00:29 - 00:00:34] 我今年可能会录一个综艺节目叫做奇葩说
[00:00:34 - 00:00:37] 所以说最近一直都在准备奇葩说的一些相关的内容
[00:00:37 - 00:00:40] 因为我们过两天可能就要开始录像了
[00:00:40 - 00:00:41] 然后很多人就问我说
[00:00:41 - 00:00:43] 张老师你为什么要参加这一个节目呢
[00:00:43 - 00:00:45] 咱们本期话题就给大家讲一讲
[00:00:45 - 00:00:47] 就是我为什么要参加奇葩说这个事
[00:00:47 - 00:00:52] 首先呢这个奇葩说是咱们国内非常非常优秀的一个辩论类的节目
[00:00:52 - 00:00:53] 这个大家我先前都知道
[00:00:53 - 00:00:55] 因为录到现在已经录到第5季了
[00:00:55 - 00:00:58] 然后这个节目我觉得是这样的
[00:00:58 - 00:01:00] 就是我觉得参加这个节目的最主要的原因是
[00:01:00 - 00:01:04] 为什么呢是为了所谓的学习和体验
[00:01:04 - 00:01:08] 说实话有人问我说你有没有想办法去拿这个奇葩说的冠军
[00:01:08 - 00:01:11] 有没有拿这一届的奇葩之王这些想法
[00:01:11 - 00:01:13] 我参加这个节目真的没有
[00:01:13 - 00:01:15] 因为我给大家原来讲过
[00:01:15 - 00:01:16] 我说人这一生
[00:01:16 - 00:01:17] 他最重要的是什么
[00:01:17 - 00:01:20] 就是体验那些你没有体验过的美好
[00:01:20 - 00:01:22] 那么跟一些优秀的变手
[00:01:22 - 00:01:23] 来一起参加变论赛的话
[00:01:23 - 00:01:25] 我觉得是一场非常好的体验
[00:01:25 - 00:01:26] 因为这个节目本身
[00:01:26 - 00:01:28] 我自己原来也是看的
[00:01:28 - 00:01:30] 对李白七的一些变手
[00:01:30 - 00:01:32] 其实意象非常深刻
[00:01:32 - 00:01:33] 我真的很想跟这些变手
[00:01:33 - 00:01:36] 真兜真香的在变成场上去打一场
[00:01:36 - 00:01:38] 你比如像邱晨
[00:01:38 - 00:01:39] 像陈明老师
[00:01:39 - 00:01:41] 我觉得包括像如今
[00:01:41 - 00:01:43] 包括还有很多其他的选手
[00:01:43 - 00:01:44] 都非常非常的优秀
[00:01:44 - 00:01:46] 就是我觉得跟这帮人在一起的话呢
[00:01:46 - 00:01:49] 就是你去这么体验一下
[00:01:49 - 00:01:50] 知道非常的美好
[00:01:50 - 00:01:51] 我觉得我就是将来
[00:01:51 - 00:01:52] 说句不好听的话
[00:01:52 - 00:01:53] 哪天死了的话
[00:01:53 - 00:01:54] 我可能回起这个事情
[00:01:54 - 00:01:55] 我都会觉得
[00:01:55 - 00:01:57] 这是我人生当中一个
[00:01:57 - 00:01:59] 非常有意思的一个体验
[00:01:59 - 00:02:00] 很好玩的一个体验
[00:02:00 - 00:02:02] 再加上里边的很多人
[00:02:02 - 00:02:04] 真的就是从他的见识也好
[00:02:04 - 00:02:05] 学识也好
[00:02:05 - 00:02:07] 因为其他说他这个节目
[00:02:07 - 00:02:08] 他邀请的一些选手
[00:02:08 - 00:02:10] 都是来自于这个社会的各行各业
[00:02:10 - 00:02:12] 之前干过什么的都有
[00:02:12 - 00:02:14] 他不像说我们在大学的时候参加那种
[00:02:14 - 00:02:16] 就是大学生的辩论比赛
[00:02:16 - 00:02:17] 大学生的辩论比赛的
[00:02:17 - 00:02:18] 因为大家还没有进入社会
[00:02:18 - 00:02:21] 所以说我们懂事就是把自己的一些经历
[00:02:21 - 00:02:24] 可能说的就没有那么有深度
[00:02:24 - 00:02:26] 或者说你就没经历过什么
[00:02:26 - 00:02:28] 比如说你一直都在说句不好听的话
[00:02:28 - 00:02:31] 就意引你比如说结了婚怎么怎么样
[00:02:31 - 00:02:32] 能自如意引你知道吧
