BV号：BV1pv411V7Pn
标题：BV1pv411V7Pn
链接：https://www.bilibili.com/video/BV1pv411V7Pn
识别语言：zh
语言置信度：1
分段数：74
生成时间：2026-04-03 23:58:43

[00:00:00 - 00:00:02] MCN是什麼?就專門培養網紅的那幫公司
[00:00:02 - 00:00:04] 比如剛才我給大家舉的幾個例子
[00:00:04 - 00:00:07] 無油傳媒、股賣家和大語文化
[00:00:07 - 00:00:08] 他們是專門培養網紅的
[00:00:08 - 00:00:10] 比如說你現在還不錯
[00:00:10 - 00:00:11] 在網上的話有一定的熱度
[00:00:11 - 00:00:12] 有一定的點擊度
[00:00:12 - 00:00:14] 那麼給我們給你運營
[00:00:14 - 00:00:15] 運營完以後我們要變現
[00:00:15 - 00:00:19] MCN培養網紅是一個派對的邏輯是什麼邏輯
[00:00:19 - 00:00:20] 一個人迅速變現
[00:00:20 - 00:00:22] 變現完以後的話就把你廢掉
[00:00:22 - 00:00:23] 我給大家舉個例子
[00:00:23 - 00:00:25] 我拿我來舉例子
[00:00:25 - 00:00:27] 我現在的價值是多少錢?
[00:00:27 - 00:00:29] 我跟大家說我現在的價值是兩千萬
[00:00:29 - 00:00:29] 為什麼呢?
[00:00:30 - 00:00:33] 我现在微博粉丝是627万
[00:00:33 - 00:00:34] 抖音粉丝是890万
[00:00:34 - 00:00:36] 快手粉丝是200万
[00:00:36 - 00:00:37] B站粉丝100万
[00:00:37 - 00:00:39] 其他平台粉丝加起来一共是2000万
[00:00:39 - 00:00:41] 它的MSN对于一个网红的评价标准是这样的
[00:00:41 - 00:00:43] 一个粉丝给你1块钱
[00:00:43 - 00:00:45] 你不就有2000万了吗
[00:00:46 - 00:00:47] 问题在于
[00:00:47 - 00:00:50] How或者是Why
[00:00:50 - 00:00:52] 人家为什么要给你1块钱呢
[00:00:52 - 00:00:54] 给你1块钱的逻辑是哪里呢
[00:00:54 - 00:00:55] 那就在于什么
[00:00:55 - 00:00:58] 一个人红了以后我怎么变现
[00:00:58 - 00:00:59] 它怎么变现呢?
[00:00:59 - 00:01:01] 一,突B,叫接广告
[00:01:01 - 00:01:02] 第二种呢,叫电商
[00:01:02 - 00:01:03] 干嘛呢?
[00:01:03 - 00:01:04] 待货
[00:01:05 - 00:01:06] 待货主播
[00:01:06 - 00:01:09] 大家,我估计现在各位家长,尤其是女性家长
[00:01:09 - 00:01:11] 基本上都买过,是吧?
[00:01:11 - 00:01:13] 基本上都买过,买得好买得不好的
[00:01:13 - 00:01:16] 我去年曾经做过两次待货主播
[00:01:16 - 00:01:17] 你们都不知道
[00:01:18 - 00:01:21] 我跟你说啊,我一个两千万粉丝的帽红
[00:01:21 - 00:01:24] 我在淘宝做待货主播
[00:01:24 - 00:01:25] 你知道来了多少人看吗?
[00:01:25 - 00:01:30] 700
[00:01:30 - 00:01:31] 更慘的是
[00:01:31 - 00:01:33] 还有350人是我们公司的员工
[00:01:33 - 00:01:35] 必须去
[00:01:35 - 00:01:38] 也就是说我2000的粉丝的一个人
[00:01:38 - 00:01:42] 只有350个自然流量去看我待会主播
[00:01:42 - 00:01:44] 不可想象各位
[00:01:44 - 00:01:45] 真的
[00:01:45 - 00:01:47] 我当时在微博还发起了个活动
[00:01:47 - 00:01:49] 我说我那天要做待会主播了
[00:01:49 - 00:01:50] 给我转发
[00:01:50 - 00:01:51] 转发的人里边
[00:01:51 - 00:01:52] 我抽五个人
[00:01:52 - 00:01:54] 每个人给1000块钱
[00:01:54 - 00:01:56] 我放四處七千
[00:01:56 - 00:01:58] 她來了三百
[00:01:58 - 00:02:00] 你們不都知道嗎
[00:02:00 - 00:02:01] 完了就七千人
[00:02:01 - 00:02:02] 看到這裡有多少人呢
[00:02:02 - 00:02:04] 她怎麼就來三百人呢
[00:02:05 - 00:02:06] 所以說這個行動
[00:02:06 - 00:02:08] 跟你們想的不一樣
[00:02:08 - 00:02:09] 你以為說我那麼多粉絲
[00:02:09 - 00:02:10] 我就來那麼多人
[00:02:10 - 00:02:11] 不是的
[00:02:11 - 00:02:12] 你不進入這個行動
[00:02:12 - 00:02:13] 這個晚上我告訴你
[00:02:13 - 00:02:15] 你在學校裡邊學不著
[00:02:15 - 00:02:17] 這都是你得體驗才能去學的
