BV号：BV1pw411g7pa
标题：BV1pw411g7pa
链接：https://www.bilibili.com/video/BV1pw411g7pa
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 12:47:49

[00:00:00 - 00:00:01] 那我就是统计学家长
[00:00:01 - 00:00:02] 统计学其实就是数学
[00:00:02 - 00:00:03] 然后再往下
[00:00:03 - 00:00:03] 力学
[00:00:03 - 00:00:05] 力学家长他有两种方向
[00:00:05 - 00:00:07] 一种方向叫做偏机械的营用
[00:00:07 - 00:00:09] 一种方向叫做偏土木的营用
[00:00:09 - 00:00:11] 你怎么判断你报的这个学校是偏机械的营用
[00:00:11 - 00:00:12] 还是偏土木的营用
[00:00:12 - 00:00:15] 就看他力学从属于哪个学院
[00:00:15 - 00:00:15] 懂吗
[00:00:15 - 00:00:17] 他是放在机械工程学院
[00:00:17 - 00:00:18] 还是跟土木放的一个学院
[00:00:18 - 00:00:19] 他如果跟土木放的一个学院
[00:00:19 - 00:00:20] 他会偏土木
[00:00:20 - 00:00:22] 他还是跟机械放的一个学院是偏机械
[00:00:22 - 00:00:27] 很少我学校单独叫力学学院很少
[00:00:27 - 00:00:29] 大多数都是要么跟土木相关
[00:00:30 - 00:00:32] 它放在土木学院就是跟偏土木
[00:00:32 - 00:00:33] 放在机械学院就是偏机
[00:00:33 - 00:00:34] 所以说它都叫立学
[00:00:34 - 00:00:37] 但是你要看它同行于哪个学院
[00:00:37 - 00:00:38] 下面机械偏立学
[00:00:38 - 00:00:40] 下面仪器偏电学
[00:00:40 - 00:00:41] 但是仪器这个东西
[00:00:41 - 00:00:42] 家长注意
[00:00:42 - 00:00:44] 这个专业的专业宽度非常宽
[00:00:44 - 00:00:46] 它可以作为电的信息的被选项
[00:00:46 - 00:00:47] 来我们直播间
[00:00:47 - 00:00:48] 学仪器的学电的信息
[00:00:48 - 00:00:49] 就告诉这位家长
[00:00:49 - 00:00:50] 本科如果学了仪器
[00:00:50 - 00:00:52] 考研可不可以考电的信息
[00:00:52 - 00:00:52] 是可以考
[00:00:52 - 00:00:54] 因为本科阶段的仪器
[00:00:54 - 00:00:56] 大多数院校会开速电磨电
[00:00:56 - 00:00:58] 它是可以考的
[00:00:58 - 00:00:59] 懂吗
[00:00:59 - 00:01:00] 虽说如果说你为了保月效档次
[00:01:00 - 00:01:02] 但是你的进的信息专业分不够
[00:01:02 - 00:01:03] 你可以拿一期做保底
