BV号：BV1qG4y1T7Lp
标题：BV1qG4y1T7Lp
链接：https://www.bilibili.com/video/BV1qG4y1T7Lp
识别语言：zh
语言置信度：1
分段数：64
生成时间：2026-04-03 16:16:52

[00:00:00 - 00:00:02] 包括我们直播间的家长也好
[00:00:02 - 00:00:04] 包括我们孩子也好
[00:00:04 - 00:00:05] 想拼就去拼
[00:00:05 - 00:00:07] 但是你要知道
[00:00:07 - 00:00:09] 你为此将付出什么
[00:00:09 - 00:00:11] 我没有关系
[00:00:11 - 00:00:11] 没有背景
[00:00:11 - 00:00:13] 只有一枪热血
[00:00:13 - 00:00:14] 我当年考大学的时候
[00:00:14 - 00:00:16] 我就是因为看了一个电视剧
[00:00:16 - 00:00:17] 叫《将爱情进行到底》
[00:00:17 - 00:00:18] 我不知道大家有没有看过这个电视剧的
[00:00:18 - 00:00:21] 李亚鹏 徐靖雷演的第一集
[00:00:21 - 00:00:22] 李亚鹏进入到大学
[00:00:22 - 00:00:24] 徐靖雷拿了一张纸
[00:00:25 - 00:00:26] 拿了一张卷子
[00:00:26 - 00:00:28] 那个卷子连上水了
[00:00:28 - 00:00:32] 然后的话那个徐靖蕾就把脑袋探出到那个公交车窗外
[00:00:32 - 00:00:33] 在这吹一卷子
[00:00:33 - 00:00:35] 李亚鹏在旁边看呆了
[00:00:35 - 00:00:37] 说哇这个姑娘好漂亮
[00:00:37 - 00:00:38] 我一看一眼
[00:00:38 - 00:00:41] 原来大学是这个样子的
[00:00:41 - 00:00:44] 哦原来大城市是这个样子的
[00:00:44 - 00:00:46] 凭借自己一枪热血去努力
[00:00:46 - 00:00:47] 不想过那种普通的生活
[00:00:47 - 00:00:49] 我当年大学本科毕业以后
[00:00:49 - 00:00:50] 我也可以进体职内单位
[00:00:50 - 00:00:52] 我当时可以进资来水公司
[00:00:52 - 00:00:54] 后来我一问一个月多少钱
[00:00:54 - 00:00:54] 两千三
[00:00:54 - 00:00:56] 那是我想要的生活吗
[00:00:56 - 00:00:56] 故事
[00:00:56 - 00:00:57] 那我决定
[00:00:57 - 00:00:58] 不在那里边待着
[00:00:58 - 00:00:59] 我要自己拼
[00:00:59 - 00:01:00] 十几年时间
[00:01:00 - 00:01:01] 吃了很多苦
[00:01:01 - 00:01:02] 受了很多累
[00:01:02 - 00:01:03] 拼出一头血路
[00:01:03 - 00:01:04] 然后的话
[00:01:04 - 00:01:05] 你们今天在直播间
[00:01:05 - 00:01:05] 能看到我
[00:01:05 - 00:01:07] 如果说我在十几年前
[00:01:07 - 00:01:08] 我决定说我要进其间内
[00:01:08 - 00:01:10] 我去测点水公司
[00:01:10 - 00:01:11] 你们也看不到今天的我
[00:01:11 - 00:01:12] 我可能会跟你一样
[00:01:12 - 00:01:13] 可能蹲在直播间
[00:01:13 - 00:01:14] 看别人在直播
[00:01:14 - 00:01:15] 但是我为此付出的
[00:01:15 - 00:01:16] 就是没什么时间
[00:01:16 - 00:01:17] 陪伴家人
[00:01:17 - 00:01:18] 当你在做选择的时候
[00:01:18 - 00:01:20] 你看看自己你有什么
[00:01:20 - 00:01:21] 你为此付出的努力
[00:01:21 - 00:01:23] 你真的有这个梦想吗
[00:01:23 - 00:01:24] 有梦想就去付出
[00:01:24 - 00:01:24] 就怕什么
[00:01:24 - 00:01:26] 就怕有梦想
[00:01:26 - 00:01:27] 还不复复这就麻烦了
[00:01:27 - 00:01:29] 所以说有梦就去追
[00:01:29 - 00:01:31] 但是一定要知道这条路是艰难的
[00:01:31 - 00:01:32] 就不要抱怨
