BV号：BV1qJ411W7Rv
标题：BV1qJ411W7Rv
链接：https://www.bilibili.com/video/BV1qJ411W7Rv
识别语言：zh
语言置信度：1
分段数：72
生成时间：2026-04-04 04:27:58

[00:00:00 - 00:00:02] 那大家你觉得你要给老师留下个什么样的感觉
[00:00:02 - 00:00:03] 什么样的感觉
[00:00:03 - 00:00:05] 什么样的感觉
[00:00:05 - 00:00:06] 你是一个是吧
[00:00:06 - 00:00:09] 爱学习的学生的感觉
[00:00:09 - 00:00:09] 知道吧
[00:00:11 - 00:00:12] 老师在招什么呀
[00:00:13 - 00:00:14] 在招研究生啊
[00:00:14 - 00:00:16] 那你要表现的像是一个研究生一样
[00:00:16 - 00:00:16] 知道吧
[00:00:16 - 00:00:18] 你面试啥像啥
[00:00:18 - 00:00:19] 你找工作的时候
[00:00:19 - 00:00:21] 你得把自己打扮的像一个职场人士
[00:00:21 - 00:00:21] 对不对
[00:00:21 - 00:00:22] 不能让人家看
[00:00:22 - 00:00:23] 我这没工作
[00:00:23 - 00:00:24] 小孩小屁孩一个
[00:00:24 - 00:00:24] 对不对
[00:00:24 - 00:00:25] 你相亲的时候
[00:00:25 - 00:00:26] 你得表现
[00:00:26 - 00:00:27] 男人要表现得有责任
[00:00:27 - 00:00:28] 对吧
[00:00:28 - 00:00:29] 你点儿啷啷的
[00:00:29 - 00:00:29] 谁能看得上你
[00:00:29 - 00:00:31] 面試啥像啥
[00:00:31 - 00:00:33] 那你面試研究生要像是一個研究生一樣
[00:00:33 - 00:00:34] 穿著打敗一條注意
[00:00:34 - 00:00:35] 不能太正式
[00:00:35 - 00:00:36] 也不能太隨便
[00:00:36 - 00:00:37] 知道吧
[00:00:37 - 00:00:38] 你比如說男同學
[00:00:38 - 00:00:40] 你覺得穿我這身你覺得好嗎
[00:00:40 - 00:00:41] 不好太正式了知道吧
[00:00:41 - 00:00:42] 有同學傻了吧
[00:00:42 - 00:00:43] 你還扎個領帶
[00:00:43 - 00:00:44] 老是一看賣保險的
[00:00:44 - 00:00:45] 是吧
[00:00:45 - 00:00:47] 因為你走錯屋了你知道吧
[00:00:47 - 00:00:48] 穿得乾淨大方知道吧
[00:00:48 - 00:00:50] 然後戴個眼鏡
[00:00:50 - 00:00:51] 我跟你說你不戴眼鏡
[00:00:51 - 00:00:53] 你肯定口不上你知道吧
[00:00:53 - 00:00:53] 為什麼同學
[00:00:53 - 00:00:54] 你自己想同學
[00:00:54 - 00:00:57] 你說你作為一個研究生
[00:00:57 - 00:00:58] 你的眼睛还没进食
[00:00:59 - 00:01:00] 你好意思吗你
[00:01:01 - 00:01:01] 是不是
[00:01:01 - 00:01:03] 老师那我真不进食怎么办
[00:01:03 - 00:01:04] 同学你要真不进食的话
[00:01:04 - 00:01:05] 张老师教你一招
[00:01:05 - 00:01:05] 知道吧
[00:01:05 - 00:01:06] 其实我也不进食
[00:01:06 - 00:01:07] 我还远是
[00:01:07 - 00:01:07] 知道吧
[00:01:07 - 00:01:09] 进食怎么不进食怎么办
[00:01:09 - 00:01:10] 你佩服平静吗
[00:01:11 - 00:01:12] 那佩服平静没度数的
[00:01:12 - 00:01:13] 带着玩吗
[00:01:14 - 00:01:14] 对不对
[00:01:14 - 00:01:15] 但是大家注意
[00:01:15 - 00:01:16] 我说的是佩服平静
[00:01:16 - 00:01:18] 我没说买个镜矿
[00:01:18 - 00:01:19] 整个镜矿没有镜片
[00:01:19 - 00:01:20] 你一进屋
[00:01:20 - 00:01:21] 你让老师怎么办
[00:01:21 - 00:01:21] 老师一看
[00:01:21 - 00:01:22] 我来个区
[00:01:23 - 00:01:25] 你是有还是没有
[00:01:25 - 00:01:27] 拿小子的一口偷的
[00:01:27 - 00:01:29] 你敢挑释我
[00:01:29 - 00:01:31] 这挑释老师都是死队你知道吧
