BV号：BV1qVsZe2EmX
标题：BV1qVsZe2EmX
链接：https://www.bilibili.com/video/BV1qVsZe2EmX
识别语言：zh
语言置信度：1
分段数：84
生成时间：2026-04-03 08:09:45

[00:00:00 - 00:00:03] 数学和化学加起来叫化工
[00:00:03 - 00:00:05] 如果说老师我没有数学的话
[00:00:05 - 00:00:07] 那就是存化学
[00:00:07 - 00:00:08] 如果你把数学加进来的话
[00:00:08 - 00:00:09] 这个叫化工
[00:00:09 - 00:00:11] 你知道什么叫化工是干嘛的
[00:00:11 - 00:00:12] 你知道吗
[00:00:12 - 00:00:13] 呃
[00:00:13 - 00:00:14] 之前律诱而为
[00:00:14 - 00:00:15] 但不是很清楚
[00:00:15 - 00:00:17] 同学我来这么给你解释
[00:00:17 - 00:00:18] 化工什么叫化工
[00:00:18 - 00:00:20] 就是我们平时在多化学实验的时候的话
[00:00:20 - 00:00:22] 你会发现我们平时化学实验
[00:00:22 - 00:00:25] 你能在实验室里边做的那个叫做化学实验
[00:00:25 - 00:00:27] 它不叫化工生产
[00:00:27 - 00:00:30] 就是如何将你化学实验当中
[00:00:30 - 00:00:33] 小规模实验出来的那个东西
[00:00:33 - 00:00:36] 用化工方法大规模的生产
[00:00:36 - 00:00:37] 叫做化工
[00:00:37 - 00:00:37] 就比如说
[00:00:37 - 00:00:39] 我现在在化学实验
[00:00:39 - 00:00:41] a加b等于c
[00:00:41 - 00:00:42] 这个叫化学
[00:00:42 - 00:00:44] 但是我如何用工业方法
[00:00:44 - 00:00:46] 规模的生产
[00:00:46 - 00:00:47] d这个叫化工
[00:00:47 - 00:00:49] 那么如果你本科毕业的话
[00:00:49 - 00:00:51] 大概率是进化工
[00:00:51 - 00:00:53] 然后化工行业
[00:00:53 - 00:00:55] 化工企业同学
[00:00:55 - 00:00:55] 你应该知道
[00:00:55 - 00:00:57] 它是一个极重污染
[00:00:57 - 00:00:58] 然后的话
[00:00:58 - 00:00:59] 因为它极重污染
[00:00:59 - 00:01:03] 就会导致大量的化工企业
[00:01:03 - 00:01:04] 生产企业
[00:01:04 - 00:01:07] 生产机力一定不在城市里
[00:01:07 - 00:01:09] 它一定在县啊
[00:01:09 - 00:01:10] 或者说是一些远郊的地方
[00:01:10 - 00:01:12] 因为它毕竟有污染
[00:01:12 - 00:01:12] 然后的话
[00:01:12 - 00:01:13] 其次的话呢
[00:01:13 - 00:01:15] 就是如果说你要是想
[00:01:15 - 00:01:17] 在化工领域当中做到顶尖
[00:01:17 - 00:01:20] 很有可能都得过时
[00:01:20 - 00:01:22] 所以说你接不接受
[00:01:22 - 00:01:23] 有如果读化学专业
[00:01:23 - 00:01:25] 或者化工相关专业
[00:01:25 - 00:01:26] 你要想找到一个还不够的工作
[00:01:26 - 00:01:27] 能在城市里的话
[00:01:27 - 00:01:28] 得多做博士
[00:01:28 - 00:01:29] 你接不接受这么事
[00:01:29 - 00:01:31] 一直读下去
[00:01:31 - 00:01:32] 我是能接受的
[00:01:32 - 00:01:33] 假如说同学
[00:01:33 - 00:01:34] 我再问你另外一个问题
[00:01:34 - 00:01:36] 比如说你现在是
[00:01:36 - 00:01:38] 付分能付到630
[00:01:38 - 00:01:39] 然后的话假如说有一个同学
[00:01:39 - 00:01:41] 付分也就付到600分左右
[00:01:41 - 00:01:44] 他学了一个带电的功课转移
[00:01:44 - 00:01:46] 结果他到研究生毕业
[00:01:46 - 00:01:49] 跟你到一个985的博士毕业
[00:01:49 - 00:01:50] 你俩正的一样多
[00:01:50 - 00:01:52] 这个事你心里会不会不平衡
[00:01:52 - 00:01:55] 我觉得这个道路选择不同
[00:01:55 - 00:01:58] 然后所以新自带这个
[00:01:59 - 00:02:00] 就是导师的
[00:02:00 - 00:02:02] 你平衡
[00:02:02 - 00:02:03] 你就可以选
[00:02:03 - 00:02:04] 你别到时候说张老师
[00:02:04 - 00:02:06] 我都读到30岁了
[00:02:06 - 00:02:07] 我都博士毕业了
[00:02:07 - 00:02:08] 结果有一个同学
[00:02:08 - 00:02:11] 比我当年考大学低了30分
[00:02:11 - 00:02:11] 然后的话
[00:02:11 - 00:02:13] 他因为选了别的专业
[00:02:13 - 00:02:14] 正的比我还多
[00:02:14 - 00:02:17] 那你没有这方面心理的不平衡
[00:02:17 - 00:02:18] 你就可以选
[00:02:18 - 00:02:20] 如果你有这方面的心理的不平衡
[00:02:20 - 00:02:21] 那你就别选
[00:02:21 - 00:02:22] 多麼
