BV号：BV1qn4y1X7Z6
标题：BV1qn4y1X7Z6
链接：https://www.bilibili.com/video/BV1qn4y1X7Z6
识别语言：zh
语言置信度：1
分段数：95
生成时间：2026-04-03 09:33:58

[00:00:00 - 00:00:03] 我发现很多同学责校的时候都很关注新功科
[00:00:03 - 00:00:06] 毕竟这一类专业的前景和待遇确实都很好
[00:00:06 - 00:00:08] 不过全国那么多大学都搞了新功科
[00:00:08 - 00:00:10] 咱们同学可能不知道怎么选
[00:00:10 - 00:00:12] 那今天呢张老师就给大家介绍一说
[00:00:12 - 00:00:14] 非985非2L非双一流
[00:00:14 - 00:00:15] 但是很有来头的学校
[00:00:15 - 00:00:17] 深圳理工大学
[00:00:17 - 00:00:17] 深理工啊
[00:00:17 - 00:00:19] 它是依托中国科学院
[00:00:19 - 00:00:21] 深圳先进院建设的
[00:00:21 - 00:00:22] 虽然从名字里边没有中科院
[00:00:22 - 00:00:24] 但是跟中科院却有血脉联系
[00:00:24 - 00:00:25] 你想啊
[00:00:25 - 00:00:27] 过去中科院参与建设的高校
[00:00:27 - 00:00:29] 现在是不是实力都很强了
[00:00:29 - 00:00:32] 像中科大、國科大、上科大都很優秀
[00:00:32 - 00:00:33] 有這背景啊
[00:00:33 - 00:00:35] 生理工以後的發達肯定不會下
[00:00:35 - 00:00:39] 加上它在深圳這個產業極度發達的城市
[00:00:39 - 00:00:41] 依然就業根本不成問題
[00:00:41 - 00:00:43] 再一個財力巡禍
[00:00:43 - 00:00:45] 對教育的製作也毫不吝嗇
[00:00:45 - 00:00:47] 而且學校所在的光明科學城市
[00:00:47 - 00:00:50] 綜合性國家科學中心的核心區
[00:00:50 - 00:00:52] 未來各方面支持都不會少
[00:00:52 - 00:00:55] 生理工今年首次招生就是按計算機大累來招的
[00:00:55 - 00:00:58] 細分的方向都還是大模型
[00:00:58 - 00:01:00] 机器人、人工智能、脑机接口
[00:01:00 - 00:01:02] 顺利芯片设计这些新功科的前沿领域
[00:01:02 - 00:01:04] 大家注意啊
[00:01:04 - 00:01:05] 作为一所新建大学
[00:01:05 - 00:01:07] 它今年第一届才找120个学生
[00:01:07 - 00:01:09] 就相当于是创校元老
[00:01:09 - 00:01:12] 能匹配到的资源肯定是最丰富最全面的
[00:01:12 - 00:01:14] 你在看它的师资
[00:01:14 - 00:01:15] 它也很了不起
[00:01:15 - 00:01:15] 教师呢
[00:01:15 - 00:01:16] 以海归为主
[00:01:16 - 00:01:19] 有14个海内外乐士
[00:01:19 - 00:01:22] 还有40位以上的海外中生教职学者
[00:01:22 - 00:01:25] 这个质量完全不促一些985
[00:01:25 - 00:01:26] 人才培养上
[00:01:26 - 00:01:27] 生理工的模式也很新
[00:01:27 - 00:01:28] 从大一起
[00:01:28 - 00:01:31] 咱们同学就能在不同类型的实验室里边轮转
[00:01:31 - 00:01:32] 周五不上课
[00:01:32 - 00:01:36] 就泡在国家级重点实验室这样的高端平台里边
[00:01:36 - 00:01:37] 大二确定专业
[00:01:37 - 00:01:39] 大三自由选择学术
[00:01:39 - 00:01:40] 工程 创业
[00:01:40 - 00:01:41] 三个方向发展
[00:01:41 - 00:01:42] 因财 实教
[00:01:42 - 00:01:43] 等到了大四
[00:01:43 - 00:01:45] 还有科研实践
[00:01:45 - 00:01:45] 产业实习
[00:01:45 - 00:01:47] 创新 创业这样的活动
[00:01:47 - 00:01:49] 在广东这种条件的大学
[00:01:49 - 00:01:51] 如果630分就能上
[00:01:51 - 00:01:53] 性价比多高你就便吧
[00:01:53 - 00:01:55] 以后可能就没这机会了
[00:01:55 - 00:01:56] 当然刚开始招生
[00:01:56 - 00:01:58] 家长可能担心孩子以后的发展
[00:01:58 - 00:01:59] 虽然现在还没有毕业生
[00:01:59 - 00:02:02] 但身理工的行业资源可一点都不少
[00:02:02 - 00:02:03] 比如说像华为呀
[00:02:03 - 00:02:04] 腾讯呀
[00:02:04 - 00:02:05] 曙光啊
[00:02:05 - 00:02:05] 海光
[00:02:05 - 00:02:06] 云天立飞
[00:02:06 - 00:02:08] 韩武技这样的大企业
[00:02:08 - 00:02:09] 都跟他有合作
[00:02:09 - 00:02:11] 未来就业上肯定有优势
[00:02:11 - 00:02:12] 生学方面呢
[00:02:12 - 00:02:13] 他和国科大等高校
[00:02:13 - 00:02:15] 已经联合培养了上千名朔博生
[00:02:15 - 00:02:16] 像斯坦福
[00:02:16 - 00:02:19] MIT这样的顶级名校
[00:02:19 - 00:02:21] 也和他有各种各样形式的合作
[00:02:21 - 00:02:22] 面向的都是新材料
[00:02:22 - 00:02:23] 合生生物大数据
[00:02:23 - 00:02:24] 生命健康
[00:02:24 - 00:02:26] 这些前颜领域
[00:02:26 - 00:02:27] 退一万步讲
[00:02:27 - 00:02:29] 学校这些海鬼老师的资源
[00:02:29 - 00:02:31] 未来也都是咱们同学的
[00:02:31 - 00:02:33] 深造上完全不愁
[00:02:33 - 00:02:36] 总的来说有中科院的科研加持
[00:02:36 - 00:02:37] 有深圳的产业和财力
[00:02:37 - 00:02:39] 十里公确实潜力很大
[00:02:39 - 00:02:42] 未来也许就成了深圳的中科大
[00:02:42 - 00:02:44] 再加上它今年首次招生
[00:02:44 - 00:02:46] 专业设施上的也很有吸引力
[00:02:46 - 00:02:48] 这种好大学要不要多关注
[00:02:48 - 00:02:49] 还用我说嘛
