BV号：BV1qt4y1177Z
标题：BV1qt4y1177Z
链接：https://www.bilibili.com/video/BV1qt4y1177Z
识别语言：zh
语言置信度：1
分段数：192
生成时间：2026-04-04 02:17:43

[00:00:00 - 00:00:03] 这是一个教你怎么在高考的志愿填冒当中
[00:00:03 - 00:00:08] 如何选学校,如何选专业,如何报志愿不后悔的付费专栏
[00:00:11 - 00:00:14] 那么为了解决这个物理
[00:00:14 - 00:00:15] 大家基本上都不怎么选的
[00:00:15 - 00:00:17] 这样的一个比较窘迫的一个情况
[00:00:17 - 00:00:18] 怎么样呢
[00:00:18 - 00:00:20] 各个省份也各自出台了自己的
[00:00:20 - 00:00:21] 相应的政策
[00:00:21 - 00:00:22] 也出台了相应的讲解
[00:00:22 - 00:00:24] 比如说我们看一下浙江省
[00:00:24 - 00:00:25] 浙江省的话呢
[00:00:25 - 00:00:27] 就给大家做了一个非常有意思的东西
[00:00:27 - 00:00:28] 叫做虚拟考生
[00:00:28 - 00:00:30] 选择物理专业来进行店地
[00:00:30 - 00:00:33] 防止考生恐慌性的出頭
[00:00:33 - 00:00:35] 什么意思呢?我们来看一下
[00:00:35 - 00:00:36] 浙江省
[00:00:36 - 00:00:37] 大家注意我们下面这句话
[00:00:37 - 00:00:39] 以上内容在自浙江省人民政府
[00:00:39 - 00:00:43] 关于进一步深化高考综合改革试点的落干意见
[00:00:43 - 00:00:45] 这是浙江省发布的
[00:00:45 - 00:00:47] 关于高考改革的落干意见
[00:00:47 - 00:00:49] 那么意见当中规定
[00:00:49 - 00:00:53] 那么确定为为了物理学科
[00:00:53 - 00:00:55] 保障按照高校社会理学工学的一个专业学位
[00:00:55 - 00:00:58] 那么确定为6.5万
[00:00:58 - 00:00:59] 什么意思呢
[00:00:59 - 00:01:04] 它保证了最后浙江省选择物理的考生
[00:01:04 - 00:01:06] 一定是什么6.5万
[00:01:06 - 00:01:07] 这个我给大家简单解释一下
[00:01:07 - 00:01:08] 这是什么意思
[00:01:08 - 00:01:10] 浙江省每年的高考考生大概多少人
[00:01:10 - 00:01:11] 将近30万
[00:01:12 - 00:01:13] 将近30万
[00:01:14 - 00:01:16] 将近30万的话
[00:01:16 - 00:01:18] 为了避免大家都不选物理
[00:01:19 - 00:01:20] 为了避免大家全都不选物理
[00:01:21 - 00:01:23] 那么我在物理这一块的话
[00:01:23 - 00:01:24] 我给你有一个保底
[00:01:24 - 00:01:27] 保底是有6.5万人再选的
[00:01:27 - 00:01:31] 如果说张老师那假如说今年大家都不选物理
[00:01:31 - 00:01:32] 导致什么情况
[00:01:32 - 00:01:34] 导致只有10%的人选物理
[00:01:34 - 00:01:36] 导致只有10%的人选物理
[00:01:36 - 00:01:37] 那这10%的人
[00:01:37 - 00:01:38] 你看我的天
[00:01:38 - 00:01:40] 30万人只有10%的人选物理
[00:01:40 - 00:01:41] 那3万人选物理
[00:01:41 - 00:01:43] 那我是第三万名
[00:01:43 - 00:01:45] 那我也不选物理了
[00:01:45 - 00:01:46] 我也不选物理了
[00:01:46 - 00:01:47] 就导致什么大面积的出头
[00:01:47 - 00:01:48] 怎么样
[00:01:48 - 00:01:49] 你不用担心
[00:01:49 - 00:01:51] 第三万名同学你不用担心
[00:01:51 - 00:01:52] 你不是到数第一
[00:01:52 - 00:01:53] 你不是到数第一
[00:01:53 - 00:01:54] 我给你按怎么样
[00:01:54 - 00:01:56] 我给你按6.5万人来算
[00:01:56 - 00:01:59] 这样的话就保证了选物理的同学
[00:01:59 - 00:02:00] 最起码是有什么
[00:02:00 - 00:02:01] 6.5万人
[00:02:01 - 00:02:02] 6.5万人
[00:02:02 - 00:02:04] 最后你会发现什么呢
[00:02:04 - 00:02:06] 整个我们在浙江省高考
[00:02:06 - 00:02:08] 录取的总人数
