BV号：BV1qv4y1f7rE
标题：BV1qv4y1f7rE
链接：https://www.bilibili.com/video/BV1qv4y1f7rE
识别语言：zh
语言置信度：1
分段数：74
生成时间：2026-04-04 01:01:59

[00:00:00 - 00:00:02] 这种专业到底值不值得报
[00:00:02 - 00:00:06] 关键在于大家你对于这个专业的怎么说呢
[00:00:06 - 00:00:08] 应该叫做理解程度
[00:00:08 - 00:00:09] 都不能就了解程度
[00:00:09 - 00:00:11] 应该叫做理解程度
[00:00:11 - 00:00:11] 为什么呢
[00:00:11 - 00:00:17] 因为大家你要知道这种交叉学和涉及到各种各样专业的一个交叉性
[00:00:17 - 00:00:19] 也就是说如果说你报了这个专业
[00:00:19 - 00:00:21] 比如像我们说的集成电路工程
[00:00:21 - 00:00:24] 包括像我们的强制能力专业
[00:00:24 - 00:00:27] 你上大学期间所学的专业课
[00:00:27 - 00:00:30] 可就不是一个专业的专业课了
[00:00:30 - 00:00:31] 你可能电子的专业课也要学
[00:00:31 - 00:00:32] 信息的专业课也要学
[00:00:32 - 00:00:34] 计算机的专业课也要学
[00:00:34 - 00:00:36] 然后电路的专业课也要学
[00:00:36 - 00:00:36] 然后的话
[00:00:36 - 00:00:38] 像我们一些这个这个材料的专业课
[00:00:38 - 00:00:39] 你也要学
[00:00:39 - 00:00:42] 这个才能体会到真正的一个交叉性
[00:00:42 - 00:00:45] 那么你在研究生阶段
[00:00:45 - 00:00:47] 那么你回去细致的研究
[00:00:47 - 00:00:49] 那么比如说集成电路一个电的芯片
[00:00:49 - 00:00:50] 那你到底是研究哪一方面的
[00:00:50 - 00:00:52] 比如说你是电子基础类的
[00:00:52 - 00:00:54] 还是说材料类的
[00:00:54 - 00:00:56] 然后在具体的分方向
[00:00:56 - 00:00:57] 这个大家明白吗
[00:00:57 - 00:01:00] 那包括说如果说你要是学的电子类专业
[00:01:00 - 00:01:03] 因为电子类专业原来就是我们工学里边的一个一级学科嘛
[00:01:03 - 00:01:04] 那你说老师我学电子类专业
[00:01:04 - 00:01:08] 我能不能将来从事集成电路的研究
[00:01:08 - 00:01:09] 当然也可以
[00:01:09 - 00:01:11] 那老师我现在学计算机专业
[00:01:11 - 00:01:13] 我将来能不能从事人工智能方面的工作
[00:01:13 - 00:01:14] 当然也可以
[00:01:14 - 00:01:15] 大家能明白吗
[00:01:15 - 00:01:17] 就是交叉学科包含了一堆专业
[00:01:17 - 00:01:21] 那么如果说你本科就算学了一个交叉学科的话
[00:01:21 - 00:01:25] 你未来你在从事这个交叉学科研究的时候呢
[00:01:25 - 00:01:26] 你就怎么样
[00:01:26 - 00:01:28] 就可以把各个专业都有所了解
[00:01:28 - 00:01:30] 但是你在上研究的阶段
[00:01:30 - 00:01:31] 你有一记之长
[00:01:31 - 00:01:32] 大家能理解吧
[00:01:32 - 00:01:35] 而如果说你报了交叉学科当中的
[00:01:35 - 00:01:36] 某一个专业的话
[00:01:36 - 00:01:37] 那说明你在这个专业上
[00:01:37 - 00:01:39] 本身就是一个专场
[00:01:39 - 00:01:41] 然后再入一个行业
[00:01:41 - 00:01:43] 这个交叉学科叫做行业
[00:01:43 - 00:01:45] 这就是我们之前天天给大家讲的什么呢
[00:01:45 - 00:01:47] 就是有的专业是专业
[00:01:47 - 00:01:50] 但是它不是行业
[00:01:50 - 00:01:53] 交叉学科就有点类似于什么行业
[00:01:53 - 00:01:55] 这就跟我们现在很多专业什么
[00:01:55 - 00:01:56] 大类招生
[00:01:56 - 00:01:58] 然后你到大二大三再分方向
[00:01:58 - 00:01:59] 是一个道理的
[00:01:59 - 00:02:00] 你可以理解成为
[00:02:00 - 00:02:01] 我现在学电子专业
[00:02:01 - 00:02:03] 然后我到了大三
[00:02:03 - 00:02:06] 我被分到了集成电路制造工程方向
[00:02:07 - 00:02:09] 然后你本身就能学集成电路制造工程
[00:02:09 - 00:02:10] 对吧
[00:02:10 - 00:02:10] 你又学材料
[00:02:10 - 00:02:11] 又学那个
[00:02:11 - 00:02:12] 哪个都不精
[00:02:12 - 00:02:13] 怎么办
[00:02:13 - 00:02:14] 咱们上个研究生
[00:02:14 - 00:02:16] 你在某一个专业上去精一下
[00:02:16 - 00:02:17] 所以说大家你要知道
[00:02:17 - 00:02:19] 它这个东西有好有坏
[00:02:19 - 00:02:20] 知道吧
