BV号：BV1rf4y117F1
标题：BV1rf4y117F1
链接：https://www.bilibili.com/video/BV1rf4y117F1
识别语言：zh
语言置信度：1
分段数：199
生成时间：2026-04-04 02:03:18

[00:00:00 - 00:00:03] 这是一个教你怎么在高考志愿填爆当中
[00:00:03 - 00:00:05] 如何选学校 如何选专业
[00:00:05 - 00:00:08] 如何报志愿不后悔的付费专栏
[00:00:16 - 00:00:19] 大家好 我是让学习变得更快乐的张雪峰老师
[00:00:19 - 00:00:24] 欢迎大家继续来关注咱们这个高考志愿填爆的系列课程
[00:00:24 - 00:00:29] 咱们今天就给大家讲一节非常非常非常重要的课
[00:00:29 - 00:00:34] 也可能会是颠覆大家对于我们高考志愿填爆的一些认知的一节课
[00:00:34 - 00:00:38] 就是关于那些所谓的不及直属高校
[00:00:38 - 00:00:40] 什么叫不及直属高校呢
[00:00:40 - 00:00:42] 我想问大家一个问题
[00:00:42 - 00:00:45] 就是大家知道咱们中国的大学
[00:00:45 - 00:00:47] 归谁管吗
[00:00:47 - 00:00:49] 中国的大学归谁管
[00:00:49 - 00:00:52] 我每次在给大家讲课的时候
[00:00:52 - 00:00:53] 有家长在讲听课的时候
[00:00:53 - 00:00:55] 家长很多家长考生都会说
[00:00:55 - 00:00:57] 中国的大学归谁管
[00:00:57 - 00:00:59] 归教育部管吗
[00:00:59 - 00:01:01] 我想跟大家说不一定
[00:01:01 - 00:01:04] 有些大学呢是归教育部管的
[00:01:04 - 00:01:06] 但是有些大学呢教育部啊
[00:01:06 - 00:01:07] 就是也不能就管不着
[00:01:07 - 00:01:09] 人家不惜的管啊
[00:01:09 - 00:01:10] 咱们随便给大家举几个例子
[00:01:10 - 00:01:13] 比如说像清华啊北大呀
[00:01:13 - 00:01:13] 像这种学校
[00:01:13 - 00:01:14] 我问大家
[00:01:14 - 00:01:17] 像清华北大的校长
[00:01:17 - 00:01:18] 他的当委书记
[00:01:18 - 00:01:19] 我问大家
[00:01:19 - 00:01:20] 清华北大在哪里
[00:01:20 - 00:01:21] 在北京对不对
[00:01:21 - 00:01:23] 那清华北大的校长
[00:01:23 - 00:01:26] 北京市市长有资格去任命吗
[00:01:27 - 00:01:28] 是没有的
[00:01:28 - 00:01:29] 为什么呢
[00:01:29 - 00:01:30] 他不归北京市管
[00:01:30 - 00:01:31] 他归哪管
[00:01:31 - 00:01:32] 他归教育部管
[00:01:32 - 00:01:34] 所以说清华北大这种R1
[00:01:34 - 00:01:37] R985的校长都是哪认命的
[00:01:37 - 00:01:39] 教育部来认命的
[00:01:39 - 00:01:40] 教育部来认命的
[00:01:40 - 00:01:42] 比如说当年我在上大学的时候
[00:01:42 - 00:01:44] 我的本科的毕业证上
