BV号：BV1rq4y1g74P
标题：BV1rq4y1g74P
链接：https://www.bilibili.com/video/BV1rq4y1g74P
识别语言：zh
语言置信度：1
分段数：34
生成时间：2026-04-03 21:44:13

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:03] 问大家一个有趣的问题
[00:00:03 - 00:00:07] 就是你们知道咱们中国的大学都归谁管吗
[00:00:07 - 00:00:10] 屏幕前的你可能就脱壳出教育部
[00:00:10 - 00:00:12] 哎呀这要说眼眉毛病
[00:00:12 - 00:00:15] 有一些学校它确实是归教育部管的
[00:00:15 - 00:00:17] 但是有一些并不是
[00:00:17 - 00:00:21] 特别是一些行业特色非常鲜明的高校
[00:00:21 - 00:00:24] 那不是的这些高校归谁管呢
[00:00:24 - 00:00:26] 肯定不会放任自由吗对不对
[00:00:26 - 00:00:28] 实际上他们大多数的学校
[00:00:28 - 00:00:31] 它是会各个地方政府管的
[00:00:31 - 00:00:33] 比如说你像各个省政府
[00:00:33 - 00:00:34] 包括一些市政府
[00:00:34 - 00:00:37] 它其实都有一些所谓的就是指管院校
[00:00:37 - 00:00:38] 咱们举个例子
[00:00:38 - 00:00:39] 比如像郑州大学
[00:00:39 - 00:00:41] 你像郑州大学校长是谁任命
[00:00:41 - 00:00:43] 这就是教育部任命的
[00:00:43 - 00:00:44] 这就是教育部管的学校
[00:00:44 - 00:00:46] 但是你像省属的大学
[00:00:46 - 00:00:47] 市属的大学
[00:00:47 - 00:00:48] 其实就是由当地政府
[00:00:48 - 00:00:50] 来任命他的校长和校长岛
[00:00:50 - 00:00:52] 实际上在上个世纪的50年代
[00:00:52 - 00:00:53] 到90年代末
[00:00:53 - 00:00:55] 这个阶段是比较特殊的
[00:00:55 - 00:00:57] 因为当时有很多学校
[00:00:57 - 00:00:58] 他两者都不属于
[00:00:58 - 00:00:59] 就是他既不归教育部管
[00:00:59 - 00:01:01] 他也不归当地政府管
[00:01:01 - 00:01:02] 那他归谁管呢
[00:01:02 - 00:01:03] 更多精彩
[00:01:03 - 00:01:05] 此去关注掌选风老师
