BV号：BV1sFHDeaE1D
标题：BV1sFHDeaE1D
链接：https://www.bilibili.com/video/BV1sFHDeaE1D
识别语言：zh
语言置信度：1
分段数：108
生成时间：2026-04-03 08:21:42

[00:00:00 - 00:00:05] 我孩子今年被冲到了中央財經大學的管理科學
[00:00:05 - 00:00:07] 與工程專業
[00:00:07 - 00:00:09] 我將來的如何規劃
[00:00:09 - 00:00:10] 這樣是這樣子的
[00:00:10 - 00:00:12] 你將來想做什麼呢
[00:00:12 - 00:00:15] 因為這個專業是屬於計算機和管理的結合
[00:00:15 - 00:00:17] 它是一半計算機一半管理
[00:00:17 - 00:00:18] 它是這樣子的
[00:00:18 - 00:00:19] 所以說的話你將來要往計算機靠嗎
[00:00:19 - 00:00:21] 還是說要往經管類靠
[00:00:21 - 00:00:23] 孩子想學經管
[00:00:23 - 00:00:24] 想學經管
[00:00:24 - 00:00:26] 那你家裡條件怎麼樣
[00:00:26 - 00:00:28] 孩子的個人條件怎麼樣
[00:00:28 - 00:00:29] 一般
[00:00:29 - 00:00:31] 那一般的话那就建议你换个方向
[00:00:33 - 00:00:34] 那就计算机
[00:00:34 - 00:00:36] 考研考计算机
[00:00:36 - 00:00:38] 那你看家长去看孩子的个人能力
[00:00:38 - 00:00:39] 因为尽管这种东西
[00:00:39 - 00:00:41] 家长首先我先说一下管理
[00:00:41 - 00:00:42] 管理这个东西
[00:00:42 - 00:00:43] 家长你想一想
[00:00:43 - 00:00:45] 就是你咱也工作这么长时间了
[00:00:45 - 00:00:46] 你们单位的管理者
[00:00:46 - 00:00:48] 是因为学了管理才成为管理者
[00:00:48 - 00:00:51] 那如果说你自己家里边的企业
[00:00:51 - 00:00:54] 你会说招一个刚刚学管理类
[00:00:54 - 00:00:55] 专业毕业的人
[00:00:55 - 00:00:58] 去在你们公司做管理岗位吗
[00:00:58 - 00:01:00] 你绝对不会这么做的 对吗
[00:01:00 - 00:01:01] 是
[00:01:01 - 00:01:02] 所以说那就是管理
[00:01:02 - 00:01:03] 然后的话我们再说
[00:01:03 - 00:01:04] 所谓的经济学
[00:01:04 - 00:01:06] 经济学的话
[00:01:06 - 00:01:08] 反正现在就是你要想清楚
[00:01:08 - 00:01:08] 它能干嘛
[00:01:08 - 00:01:10] 或者说是在大多数企业当中
[00:01:10 - 00:01:11] 学经济学的人
[00:01:11 - 00:01:12] 他能做什么样的工作
[00:01:12 - 00:01:14] 因为企业不是傻子
[00:01:14 - 00:01:14] 我不可能说
[00:01:14 - 00:01:15] 因为你是央财毕业的
[00:01:15 - 00:01:18] 我就过来给你把很多的钱
[00:01:18 - 00:01:19] 我一定是看你给我创造了
[00:01:19 - 00:01:20] 什么样的价值
[00:01:20 - 00:01:22] 然后我才看我给你发多少钱
[00:01:22 - 00:01:23] 那你学经济学的
[00:01:23 - 00:01:25] 你能为企业创造什么样的价值呢
[00:01:25 - 00:01:26] 那如果说你要是想干
[00:01:26 - 00:01:28] 金融行业金融行业的话
[00:01:28 - 00:01:29] 它其实分成两个部分
[00:01:29 - 00:01:30] 一个部分叫做融资
[00:01:30 - 00:01:32] 一个部分叫做投资
[00:01:32 - 00:01:34] 那你是能在融资这块发挥作用的
[00:01:34 - 00:01:36] 还是在投资这块发挥作用的
[00:01:36 - 00:01:37] 那你别管说是融资
[00:01:37 - 00:01:40] 就是你投资要发挥什么样的作用
[00:01:40 - 00:01:41] 融资要发挥什么样的作用
[00:01:41 - 00:01:43] 这个东西是学校教不教的
[00:01:43 - 00:01:45] 这个你得去想明白
[00:01:45 - 00:01:47] 所以说的话孩子千万不要因为说
[00:01:47 - 00:01:48] 老师我是学经济的
[00:01:48 - 00:01:50] 我就能搞好经济
[00:01:50 - 00:01:51] 或者因为我是学管理的
[00:01:51 - 00:01:52] 我就能搞好管理
[00:01:52 - 00:01:53] 跟大家这样说
[00:01:53 - 00:01:55] 我们现在很多高校
[00:01:55 - 00:01:59] 就是你学了这个专业不代表你将来能干这个专业的活
[00:02:01 - 00:02:02] 大家你会发现学了这个专业
[00:02:02 - 00:02:04] 不一定能干这个专业的活
[00:02:04 - 00:02:06] 我一个最典型的例子就是我自己
[00:02:06 - 00:02:08] 我虽然说学几排水的
[00:02:08 - 00:02:09] 我也拿到了别的证
[00:02:09 - 00:02:11] 但是我几排水让我干 我干不了
[00:02:11 - 00:02:12] 所以说的话
[00:02:12 - 00:02:16] 反正个人建议往计算机方向去片一片
[00:02:16 - 00:02:18] 你让孩子去了解 了解
[00:02:18 - 00:02:20] 尽管如果说你想干对应岗位的话
[00:02:20 - 00:02:22] 你得具备什么样的能力和条件
