BV号：BV1sv411T7i7
标题：BV1sv411T7i7
链接：https://www.bilibili.com/video/BV1sv411T7i7
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-03 21:42:50

[00:00:04 - 00:00:05] 考研难不难
[00:00:05 - 00:00:07] 我告诉你一个上安的秘籍
[00:00:07 - 00:00:11] 我建议你先坚持两个月的泡布试试看
[00:00:11 - 00:00:12] 有的人问张老师
[00:00:12 - 00:00:15] 这泡布跟这个考研有什么关系
[00:00:15 - 00:00:16] 当然有关系了
[00:00:16 - 00:00:18] 你连两个月的泡布都坚持不下来
[00:00:18 - 00:00:20] 你还怎么坚持考研呢
[00:00:20 - 00:00:21] 咱们努力之前
[00:00:21 - 00:00:23] 咱先得有装备
[00:00:23 - 00:00:25] 来看这双百合路霸
[00:00:25 - 00:00:27] 什么叫做特点鲜明
[00:00:27 - 00:00:30] 你一听那个名字就知道它的强项在哪里
[00:00:30 - 00:00:33] 它专门聚就于百合路面的长距离训练
[00:00:33 - 00:00:34] 咱们来看看这个鞋底
[00:00:34 - 00:00:35] 你看这个质底
[00:00:35 - 00:00:36] 你看那个厚度
[00:00:36 - 00:00:38] 它极大的提高了耐磨性
[00:00:38 - 00:00:40] 你要是能把这双鞋的鞋底给裹平了
[00:00:40 - 00:00:42] 你考研肯定能不上岸
[00:00:42 - 00:00:44] 再说一下这双鞋的包裹
[00:00:44 - 00:00:46] 它上去以后最大的感受呢
[00:00:46 - 00:00:47] 就是不坠脚
[00:00:47 - 00:00:47] 不角根
[00:00:47 - 00:00:48] 不卡脚
[00:00:48 - 00:00:50] 可以很好的包裹足部
[00:00:50 - 00:00:53] 能够达到鞋脚合一的最佳状态
[00:00:53 - 00:00:56] 让运动变得更快
[00:00:56 - 00:00:57] 马拉路巴呢
[00:00:57 - 00:00:58] 就是一个六边形的战士
[00:00:58 - 00:01:00] 听着就回应去对不对
[00:01:00 - 00:01:02] 你看我们除了耐磨包裹以外
[00:01:02 - 00:01:03] 还有抓地 稳定 缓震
[00:01:03 - 00:01:05] 跟茶流毫米这么多的优点
[00:01:05 - 00:01:07] 这就跟我们考验一样
[00:01:07 - 00:01:09] 你说以政治语书学专业课
[00:01:09 - 00:01:10] 你哪个茶了
[00:01:10 - 00:01:11] 不都考不上眼就生嘛
[00:01:11 - 00:01:12] 所以说考验呢
[00:01:12 - 00:01:13] 要找专业的老师
[00:01:13 - 00:01:14] 而跑鞋呢
[00:01:14 - 00:01:16] 就要用专业的跑鞋
[00:01:16 - 00:01:16] 最后呢
[00:01:16 - 00:01:18] 我们来留一个家庭作业
[00:01:18 - 00:01:19] 你觉得跑得快重要呢
[00:01:19 - 00:01:21] 还是觉得跑得久重要
[00:01:21 - 00:01:22] 下课
