BV号：BV1t24y1L75j
标题：BV1t24y1L75j
链接：https://www.bilibili.com/video/BV1t24y1L75j
识别语言：zh
语言置信度：1
分段数：14
生成时间：2026-04-03 15:50:23

[00:00:00 - 00:00:02] 怎么样选择不考数学
[00:00:02 - 00:00:03] 你可以有兴趣的话
[00:00:03 - 00:00:05] 你可以到严招网
[00:00:05 - 00:00:06] 叫中国严成招招信息网上
[00:00:06 - 00:00:08] 去看一下各个专业的考研
[00:00:08 - 00:00:09] 他到底考不考数学
[00:00:09 - 00:00:11] 一般情况下就是功科
[00:00:11 - 00:00:12] 理科
[00:00:12 - 00:00:12] 然后的话
[00:00:12 - 00:00:14] 经管类的学术
[00:00:14 - 00:00:15] 他是一定要考数学的
[00:00:15 - 00:00:17] 包括快捷这种专业考研
[00:00:17 - 00:00:18] 是一定要考数学的
[00:00:18 - 00:00:19] 就有点跟我们文理分科差不多
