BV号：BV1tTmCBWE9W
标题：BV1tTmCBWE9W
链接：https://www.bilibili.com/video/BV1tTmCBWE9W
识别语言：zh
语言置信度：1
分段数：176
生成时间：2026-04-03 03:31:37

[00:00:00 - 00:00:02] 有几个专业就业地域性非常强
[00:00:02 - 00:00:06] 临床医学就业地域性非常强
[00:00:06 - 00:00:07] 我这么跟你说
[00:00:07 - 00:00:10] 他就业地域性强有一个很重要的原因是什么
[00:00:10 - 00:00:10] 你是外地的
[00:00:10 - 00:00:12] 你都不一定听得懂人等你说话
[00:00:12 - 00:00:14] 我父亲当年住院的时候就是这样
[00:00:14 - 00:00:15] 你想跟临床聊个天
[00:00:15 - 00:00:17] 聊不到一天去
[00:00:17 - 00:00:19] 你说你苏州这边
[00:00:19 - 00:00:21] 他有很多很多我们自己因为老人
[00:00:21 - 00:00:21] 对吧
[00:00:21 - 00:00:22] 他生病可能老人生病
[00:00:22 - 00:00:24] 感觉会稍微大一些
[00:00:24 - 00:00:24] 对吧
[00:00:24 - 00:00:26] 你要苏州的很多老人
[00:00:26 - 00:00:27] 他就不会说普通话
[00:00:27 - 00:00:29] 这个时候你说我搞了一个外地的
[00:00:29 - 00:00:30] 然后的话我听普通话
[00:00:30 - 00:00:31] 我跟你变成共同
[00:00:31 - 00:00:32] 我的共同不了
[00:00:32 - 00:00:33] 你怎么弄
[00:00:33 - 00:00:33] 对吧
[00:00:33 - 00:00:34] 你在苏州上学
[00:00:34 - 00:00:35] 你多多少少也会
[00:00:35 - 00:00:37] 多多少少也会去了解一些
[00:00:37 - 00:00:38] 所谓的苏州话
[00:00:38 - 00:00:38] 对吧
[00:00:38 - 00:00:40] 因为你有苏州有苏州人
[00:00:40 - 00:00:41] 而且当你的工作环境上
[00:00:41 - 00:00:41] 对吧
[00:00:41 - 00:00:42] 你听得多了
[00:00:42 - 00:00:43] 你实习的时候你听得多了
[00:00:43 - 00:00:44] 你慢慢念
[00:00:44 - 00:00:45] 你能听得懂一些
[00:00:45 - 00:00:46] 虽然有些地方方言
[00:00:46 - 00:00:48] 你学校再一牛
[00:00:48 - 00:00:48] 这就不会用你
[00:00:48 - 00:00:49] 另外的话
[00:00:49 - 00:00:50] 是整个医院的领导
[00:00:50 - 00:00:51] 都是那学校毕业的
[00:00:51 - 00:00:52] 当年你要知道
[00:00:52 - 00:00:53] 他是分配的
[00:00:53 - 00:00:53] 你想想
[00:00:53 - 00:00:55] 你现在医院的一些领导
[00:00:55 - 00:00:56] 那些院长
[00:00:56 - 00:00:57] 他当年是怎么进的这个医院
[00:00:57 - 00:00:59] 他都是分配进去的
[00:00:59 - 00:00:59] 知道吧
[00:00:59 - 00:01:01] 那我本地的我肯定是在本地
[00:01:01 - 00:01:02] 因为叫神属高校
