BV号：BV1tV4y1A7VG
标题：BV1tV4y1A7VG
链接：https://www.bilibili.com/video/BV1tV4y1A7VG
识别语言：zh
语言置信度：1
分段数：18
生成时间：2026-04-03 16:45:11

[00:00:00 - 00:00:02] 我们在录节目的时候有一个话题特别的好玩
[00:00:02 - 00:00:06] 就是说你看现在在网上做带货主播做的好的
[00:00:06 - 00:00:07] 大部分都是东北人
[00:00:07 - 00:00:10] 大家发现了东北人语言天赋这一块确实
[00:00:10 - 00:00:13] 他直播啊来自报道的这一块确实是很厉害
[00:00:13 - 00:00:15] 优秀的主播很多都是东北的
[00:00:15 - 00:00:17] 但是现在在整个直播带货界
[00:00:17 - 00:00:19] 有什么一个现象呢
[00:00:19 - 00:00:22] 因为产业链生产基地物流中心各方面都在南方
[00:00:22 - 00:00:28] 为什么是南方的产业链把主播从东北引过来
[00:00:28 - 00:00:32] 而不是东北的主播把这种南方的产业链给引过去
[00:00:32 - 00:00:33] 为什么呢
[00:00:33 - 00:00:35] 录节目的时候就讨论这个问题
[00:00:35 - 00:00:36] 我心里的话
[00:00:36 - 00:00:37] 就是我说实话
[00:00:37 - 00:00:38] 我作为一个东北人
[00:00:38 - 00:00:40] 东北的经济在那摆着
[00:00:40 - 00:00:42] 我自己很痛心
