BV号：BV1tXZHYFENb
标题：BV1tXZHYFENb
链接：https://www.bilibili.com/video/BV1tXZHYFENb
识别语言：zh
语言置信度：1
分段数：66
生成时间：2026-04-03 05:26:36

[00:00:00 - 00:00:01] 比如说各位家长
[00:00:01 - 00:00:02] 你如果是河北的
[00:00:02 - 00:00:03] 或者是山东的
[00:00:03 - 00:00:04] 或者说是辽宁的
[00:00:04 - 00:00:05] 或者说是浙江的
[00:00:05 - 00:00:06] 或者说是重庆的
[00:00:06 - 00:00:07] 贵州的和青海的
[00:00:07 - 00:00:08] 你们这些省分叫做
[00:00:08 - 00:00:09] 专业家院校
[00:00:09 - 00:00:10] 专业家院校的话
[00:00:10 - 00:00:12] 就非常注重一个东西
[00:00:12 - 00:00:14] 来 这几个省份的家长
[00:00:14 - 00:00:16] 河北 辽宁 山东 浙江
[00:00:16 - 00:00:18] 重庆 贵州和青海的家长
[00:00:18 - 00:00:20] 把四个字打在能品上
[00:00:20 - 00:00:22] 叫做报考逻辑
[00:00:22 - 00:00:22] 所以说家长
[00:00:22 - 00:00:25] 那你的报考逻辑是什么
[00:00:25 - 00:00:26] 报考逻辑有三种逻辑
[00:00:26 - 00:00:28] 第一种叫做院校逻辑
[00:00:28 - 00:00:29] 第二种叫做专业逻辑
[00:00:29 - 00:00:31] 第三种逻辑叫伙伴逻辑
[00:00:31 - 00:00:33] 那什么叫做院校逻辑呢
[00:00:33 - 00:00:35] 以院校为导向
[00:00:35 - 00:00:35] 比如说家长
[00:00:35 - 00:00:37] 我现在接受的专业是
[00:00:37 - 00:00:38] 老师我不想当科学家
[00:00:38 - 00:00:39] 不学纯物理
[00:00:39 - 00:00:40] 老师我不做
[00:00:40 - 00:00:40] 不学水利
[00:00:40 - 00:00:41] 不学铜
[00:00:41 - 00:00:42] 其他功科
[00:00:42 - 00:00:43] 待物理的功科我都接受
[00:00:43 - 00:00:45] 哪怕说机械航空航天我也接受
[00:00:45 - 00:00:46] 那好了
[00:00:46 - 00:00:47] 你现在接受的专业
[00:00:47 - 00:00:48] 就是什么呢
[00:00:48 - 00:00:49] 机械航空航天
[00:00:49 - 00:00:50] 电的信息
[00:00:50 - 00:00:51] 电器
[00:00:51 - 00:00:51] 自动化
[00:00:51 - 00:00:52] 仪器
[00:00:52 - 00:00:53] 生物医学工程
[00:00:53 - 00:00:54] 七大医技学科
[00:00:54 - 00:00:55] 那好了
[00:00:55 - 00:00:56] 七个专业
[00:00:56 - 00:00:58] 有夹移丁丁四个学校
[00:00:58 - 00:00:59] 这七个专业
[00:00:59 - 00:01:01] 你如果说老师这七个专业我都接受
[00:01:01 - 00:01:02] 选哪个都行
[00:01:02 - 00:01:05] 那你肯定是以能上更好的学校
[00:01:05 - 00:01:06] 就上更好的学校嘛
[00:01:06 - 00:01:07] 那你就是院校逻辑
[00:01:07 - 00:01:10] 你就是夹这七个专业拍个去
[00:01:10 - 00:01:12] 一这七个专业拍个去
[00:01:12 - 00:01:14] 零这七个专业拍个去
[00:01:14 - 00:01:15] 丁这七个专业拍个去
[00:01:15 - 00:01:16] 但如果你是作业逻辑
[00:01:16 - 00:01:18] 你说张老师我优先包电器
[00:01:18 - 00:01:21] 那你就是电器工程夹移丁丁
[00:01:21 - 00:01:21] 那再然后呢
[00:01:21 - 00:01:22] 老叔我再拨计算机
[00:01:22 - 00:01:24] 那计算机夹移丁丁
[00:01:24 - 00:01:25] 那再然后呢
[00:01:25 - 00:01:26] 做战场后电的信息
[00:01:26 - 00:01:27] 那计算机加一名0
