BV号：BV1tv411V7aY
标题：BV1tv411V7aY
链接：https://www.bilibili.com/video/BV1tv411V7aY
识别语言：zh
语言置信度：1
分段数：22
生成时间：2026-04-03 23:38:14

[00:00:00 - 00:00:03] 张老师或身边的朋友、福岛国的同学
[00:00:03 - 00:00:07] 有哪些让人印象深刻的高考故事呢?
[00:00:07 - 00:00:10] 我记得当年我上小学初中高中的时候
[00:00:10 - 00:00:11] 有一个一直是我同学的朋友
[00:00:11 - 00:00:13] 他们家条件真的特别特别困难
[00:00:13 - 00:00:16] 就是那哥们生大学的时候
[00:00:16 - 00:00:19] 他的学费都是我们兄弟几个找家里的人给凑的
[00:00:19 - 00:00:21] 这家储物百年拿出1000
[00:00:21 - 00:00:22] 给他凑的这个学费
[00:00:22 - 00:00:25] 但是这个孩子呢在报机院的时候报得特别的好
[00:00:25 - 00:00:29] 他报了某电力大学将来能进国家电网公司的专业
[00:00:29 - 00:00:31] 大學畢業以後就直接建了國交電母公司
[00:00:31 - 00:00:35] 現在在這家母地級市生活的非常非常好
[00:00:35 - 00:00:37] 人家在這個地級市三脫房生倆孩子
[00:00:37 - 00:00:39] 無讀不肯生倆孩子
[00:00:39 - 00:00:41] 所以你說高考能不能改變人的命運
[00:00:41 - 00:00:41] 當然可以改變
[00:00:41 - 00:00:43] 但是改變命的前提是
[00:00:43 - 00:00:45] 一 你的成績要到位
[00:00:45 - 00:00:47] 二 你的選擇要正確
[00:00:47 - 00:00:48] 把這兩點做到位了
[00:00:48 - 00:00:49] 你也可以的
