BV号：BV1uf421f7oC
标题：BV1uf421f7oC
链接：https://www.bilibili.com/video/BV1uf421f7oC
识别语言：zh
语言置信度：1
分段数：91
生成时间：2026-04-03 11:35:43

[00:00:00 - 00:00:01] 就是大家你说老师我二轮复习
[00:00:01 - 00:00:03] 我复习的重点是什么
[00:00:03 - 00:00:05] 那你要看一下你一轮复习你错在哪
[00:00:05 - 00:00:06] 你这差距在哪里
[00:00:06 - 00:00:08] 我跟大家这样说
[00:00:08 - 00:00:09] 就是有的孩子是什么呢
[00:00:09 - 00:00:12] 就是尤其是高分段
[00:00:12 - 00:00:13] 孩子可以分成两种
[00:00:13 - 00:00:14] 就一种包括人也是这样
[00:00:14 - 00:00:16] 一种要听得解去别人意见
[00:00:16 - 00:00:19] 还有一种要听不解去别人意见
[00:00:19 - 00:00:20] 比如说我给你举个简单的例子
[00:00:20 - 00:00:22] 就是有的孩子他觉得
[00:00:22 - 00:00:24] 家长啥也不懂
[00:00:24 - 00:00:25] 你别跟我翻
[00:00:25 - 00:00:27] 有没有这样的
[00:00:27 - 00:00:28] 有吧
[00:00:28 - 00:00:31] 但是有的孩子跟家长的关系就比较好
[00:00:31 - 00:00:33] 就是家长给他出一些主意也好
[00:00:33 - 00:00:34] 或者说他说
[00:00:34 - 00:00:34] 哎
[00:00:34 - 00:00:36] 说张老师给你
[00:00:36 - 00:00:37] 我接上看张老师直播
[00:00:37 - 00:00:38] 或者怎么样的
[00:00:38 - 00:00:38] 他会说
[00:00:38 - 00:00:40] 说这个说
[00:00:40 - 00:00:40] 哎
[00:00:40 - 00:00:42] 那个那个孩子张老师说
[00:00:42 - 00:00:43] 我们怎么去
[00:00:43 - 00:00:44] 怎么样怎么样怎么样
[00:00:44 - 00:00:46] 就是有的孩子是善于能听得进去
[00:00:46 - 00:00:47] 别的意见的
[00:00:47 - 00:00:49] 有的孩子是听不进去别人意见的
[00:00:50 - 00:00:53] 甚至说我们在平时服务的时候
[00:00:53 - 00:00:55] 还有学生是什么样的呢
[00:00:55 - 00:00:58] 知道家长在我们这儿给他爆了
[00:00:58 - 00:00:59] 报职院的服务
[00:00:59 - 00:01:01] 让家长退费
[00:01:01 - 00:01:02] 说你别花那冤枉钱
[00:01:02 - 00:01:03] 他们都是骗人的
[00:01:03 - 00:01:05] 有的人能听得进去
[00:01:05 - 00:01:06] 有的人听不进去
[00:01:06 - 00:01:07] 所以说的话
[00:01:07 - 00:01:08] 我们只能讲叫
[00:01:08 - 00:01:10] 指度有缘人
[00:01:10 - 00:01:11] 然后如果说
[00:01:11 - 00:01:12] 你能听得进去意见的话
[00:01:12 - 00:01:14] 其实你要思考的是什么
[00:01:14 - 00:01:14] 你要思考的是
[00:01:14 - 00:01:17] 你说老师我哪本能长分
[00:01:17 - 00:01:17] 我刚才说过
[00:01:17 - 00:01:19] 我包括我们之前直播
[00:01:19 - 00:01:19] 一直也在说
[00:01:19 - 00:01:21] 我说我们一定要做好什么事
[00:01:21 - 00:01:24] 两个字叫做一盘
[00:01:24 - 00:01:25] 也就是说你要看一下
[00:01:25 - 00:01:27] 你的考试
[00:01:27 - 00:01:29] 你的模拟考试哪是有问题的
[00:01:29 - 00:01:31] 包括说真题
[00:01:31 - 00:01:33] 比如说我给大家举个简单的例子
[00:01:33 - 00:01:33] 说张老师
[00:01:33 - 00:01:35] 我现在我做这套真题
[00:01:35 - 00:01:38] 老师我做物理真题
[00:01:38 - 00:01:40] 你做某一年的物理真题
[00:01:40 - 00:01:41] 你哪得分了
[00:01:41 - 00:01:42] 哪没得分
[00:01:42 - 00:01:43] 自己的
[00:01:44 - 00:01:46] 你哪个章节得分
[00:01:46 - 00:01:48] 哪个章节没得分
[00:01:48 - 00:01:49] 你心里有数吗
[00:01:49 - 00:01:52] 有的孩子的做题是属于刷题
[00:01:52 - 00:01:53] 叫浪费题
[00:01:53 - 00:01:55] 我这套卷子考了七十
[00:01:55 - 00:01:56] 热
[00:01:56 - 00:01:57] 下头卷子考八十
[00:01:57 - 00:01:58] 压好开心
[00:01:58 - 00:02:00] 下车圈的考虑60压考得不大低
[00:02:00 - 00:02:04] 而你不要纠结于我到底是得了多少分
[00:02:04 - 00:02:07] 而是要纠结于我这套题当中
[00:02:07 - 00:02:09] 哪道题哪个部分丢分
[00:02:11 - 00:02:12] 所以说我经常给大家讲
[00:02:12 - 00:02:14] 包括说我前两天周五直播的时候
[00:02:14 - 00:02:15] 我也给大家讲了一个事
[00:02:15 - 00:02:16] 讲一个什么事呢
[00:02:16 - 00:02:18] 我说我经常跟我的学生说
[00:02:18 - 00:02:19] 尤其是我在过年期间
[00:02:19 - 00:02:21] 跟我的孩子沟通的时候
[00:02:21 - 00:02:22] 我都会送给他们一个词
[00:02:22 - 00:02:23] 大家还记得吗
[00:02:23 - 00:02:24] 叫做
[00:02:24 - 00:02:24] 享受
