BV号：BV1us411h7RA
标题：BV1us411h7RA
链接：https://www.bilibili.com/video/BV1us411h7RA
识别语言：zh
语言置信度：1
分段数：205
生成时间：2026-04-04 13:42:26

[00:00:05 - 00:00:06] 啊,搞啥呀?
[00:00:06 - 00:00:12] 好,欢迎大家来到张老师课堂
[00:00:12 - 00:00:14] 我是张雪峰老师
[00:00:15 - 00:00:17] 咱们在讲究之前的话呢
[00:00:17 - 00:00:18] 有两个事跟大家分享一下
[00:00:18 - 00:00:20] 第一呢,就是在我火的以后呢
[00:00:20 - 00:00:23] 有很多同学呢,在网上给我发这个私信
[00:00:23 - 00:00:24] 还有给我发微信的,问我
[00:00:24 - 00:00:26] 张老师我想问一下,我给你学说相声多少钱
[00:00:26 - 00:00:27] 对不对?
[00:00:28 - 00:00:30] 这个非常的惭愧,我并不是教相声了
[00:00:30 - 00:00:31] 我是教考研的
[00:00:31 - 00:00:32] 然后的话有的人就跟我说
[00:00:32 - 00:00:34] 张老师,那你看你口才这么好对吧
[00:00:34 - 00:00:37] 那我将来以后的话毕业怎么能有一个像你一样比较好的口才呢
[00:00:37 - 00:00:39] 这个呢可以简单跟大家分享一下
[00:00:39 - 00:00:40] 如果大家将来毕业以后
[00:00:40 - 00:00:42] 想有一个比较好的口才的话
[00:00:42 - 00:00:44] 同学你最起码做到两个事情
[00:00:44 - 00:00:44] 哪两个事情呢
[00:00:44 - 00:00:46] 第一大家平时移到怎么样
[00:00:46 - 00:00:48] 你们移到多看书多学习
[00:00:48 - 00:00:48] 能明白吧
[00:00:48 - 00:00:50] 一秒多看书多学习
[00:00:50 - 00:00:51] 你比如说拿我来举例子
[00:00:51 - 00:00:53] 你看我就是一个特别学习的人
[00:00:55 - 00:00:58] 这个可能你们没有看出来是吧
[00:00:58 - 00:00:59] 但同学说实话
[00:00:59 - 00:01:00] 我觉得真的平时没别带好
[00:01:00 - 00:01:01] 就一个也好
[00:01:01 - 00:01:01] 看书
[00:01:01 - 00:01:02] 特别喜欢看书
[00:01:02 - 00:01:03] 而且我这个人看书呢
[00:01:03 - 00:01:04] 还有一个毛病
[00:01:04 - 00:01:05] 我从来不看电子书
[00:01:05 - 00:01:07] 我只看纸质版的书
[00:01:07 - 00:01:09] 而且光每年買書這一個花銷
[00:01:09 - 00:01:10] 我這一年覺得花五六千塊錢
[00:01:10 - 00:01:11] 後來人就問我
[00:01:11 - 00:01:12] 張老師我問一下
[00:01:12 - 00:01:14] 你每年花這麼多錢買書
[00:01:14 - 00:01:15] 你買那麼多書你看得完嗎
[00:01:15 - 00:01:16] 根本看不完
[00:01:17 - 00:01:18] 怎麼能看得完呢是吧
[00:01:18 - 00:01:21] 人家老師那你看過你還買那麼多書幹嘛
[00:01:21 - 00:01:22] 這個你就不懂了啊同學
[00:01:22 - 00:01:23] 主要說有兩個字
[00:01:23 - 00:01:25] 第一個字呢裝逼用了對不對
[00:01:25 - 00:01:27] 家裡邊那麼多書對吧
[00:01:27 - 00:01:28] 有的人到我們家一村邊一看
[00:01:28 - 00:01:29] 哎呀這不會當老師的
[00:01:29 - 00:01:30] 家裡邊這麼多書
[00:01:30 - 00:01:32] 沒怎麼看過的知道吧
[00:01:32 - 00:01:34] 第二同學就是我始終間析一點的事
[00:01:34 - 00:01:36] 我這一年花這麼多錢去買書
[00:01:36 - 00:01:39] 我只需要我看着的东西将来我工作当中用到一点点
[00:01:40 - 00:01:42] 我这一年买收的钱我都能挣回来你信吗
[00:01:43 - 00:01:44] 绝对是这样的对吧
[00:01:44 - 00:01:46] 所以同学我告诉咱们在读的大学生
[00:01:46 - 00:01:47] 包括咱们年轻人都是这样的同学
[00:01:47 - 00:01:50] 你要记录你在哪里的投资是最能找到回报的
[00:01:50 - 00:01:52] 一定是在自己的身上
[00:01:52 - 00:01:54] 在自己的知识上投资是最能找到回报的
[00:01:54 - 00:01:55] 能没爱吧
[00:01:55 - 00:01:56] 但是我非常不信的是
[00:01:56 - 00:01:58] 发现咱们中国的大学生就你们一年点
[00:01:58 - 00:01:59] 干啥都有钱
[00:01:59 - 00:02:00] 就这么学习没钱
[00:02:00 - 00:02:01] 发现了吗
[00:02:01 - 00:02:02] 你说出去逛街
[00:02:02 - 00:02:03] 走啊出去玩去
[00:02:03 - 00:02:04] 走啊出去旅游
[00:02:04 - 00:02:05] 走啊你说报复的班
[00:02:05 - 00:02:06] 能打球了吗
[00:02:06 - 00:02:07] 是吧
[00:02:07 - 00:02:08] 你一说买书
[00:02:08 - 00:02:09] 有道版的吗
[00:02:09 - 00:02:10] 对吧
[00:02:10 - 00:02:11] 你像我在9月份的时候
[00:02:11 - 00:02:12] 我刚出了一本情书
[00:02:12 - 00:02:13] 我那本书刚出了
[00:02:13 - 00:02:15] 就有同学在网上发微博私信问我
[00:02:15 - 00:02:16] 张掌叔我强谜一下
[00:02:16 - 00:02:16] 你这本书
[00:02:16 - 00:02:17] 到本来在这买
[00:02:17 - 00:02:18] 滚
[00:02:18 - 00:02:19] 没有道版的
[00:02:19 - 00:02:20] 就这么满的
[00:02:20 - 00:02:21] 所以大家平时
[00:02:21 - 00:02:22] 在自己的身上
[00:02:22 - 00:02:22] 知识上
[00:02:22 - 00:02:23] 一顿多投资
[00:02:23 - 00:02:23] 能不能
[00:02:23 - 00:02:24] 第二同学
[00:02:24 - 00:02:25] 如果说你要想
[00:02:25 - 00:02:26] 考态变得比较好的话
[00:02:26 - 00:02:27] 您在怎么样
[00:02:27 - 00:02:28] 你得不要脸
[00:02:28 - 00:02:29] 知道吧
[00:02:29 - 00:02:29] 你要是要脸的话
[00:02:29 - 00:02:30] 你这个考态就好不了
[00:02:30 - 00:02:31] 知道吧
[00:02:31 - 00:02:33] 你比如拿我来举例子知道为什么我能活吗
[00:02:34 - 00:02:35] 你不要脸着吧
[00:02:36 - 00:02:37] 确实同学脸找不到丢脸去了
[00:02:38 - 00:02:40] 同学你要知道就是平时你在你私下里边
[00:02:40 - 00:02:42] 你跟你同学你俩能白货
