BV号：BV1ux411h73c
标题：BV1ux411h73c
链接：https://www.bilibili.com/video/BV1ux411h73c
识别语言：zh
语言置信度：1
分段数：362
生成时间：2026-04-04 12:48:47

[00:00:01 - 00:00:03] 真的好可爱
[00:00:03 - 00:00:05] 眼睛好大
[00:00:05 - 00:00:07] 两手
[00:00:11 - 00:00:12] 上来了
[00:00:12 - 00:00:13] 你好
[00:00:13 - 00:00:14] 你好
[00:00:14 - 00:00:15] 你好
[00:00:15 - 00:00:16] 你好
[00:00:19 - 00:00:21] 都是说话
[00:00:23 - 00:00:24] 你多大了
[00:00:24 - 00:00:25] 我今年24岁
[00:00:25 - 00:00:27] 然后我叫宝儿
[00:00:27 - 00:00:28] 宝儿 你好
[00:00:28 - 00:00:29] 我叫贝尔
[00:00:29 - 00:00:31] 我们就是宝贝尔
[00:00:31 - 00:00:33] 你咬我的
[00:00:33 - 00:00:35] 你是结婚的男人
[00:00:35 - 00:00:35] 什么叫结婚
[00:00:35 - 00:00:36] 我好像离婚了似的
[00:00:38 - 00:00:39] 叫宝贝啊
[00:00:39 - 00:00:41] 职业子王
[00:00:41 - 00:00:43] 我职业师的街舞教练
[00:00:43 - 00:00:44] 街舞教练
[00:00:44 - 00:00:46] 今天为什么来到我们这个节目
[00:00:46 - 00:00:48] 除了向我表达爱意之外
[00:00:48 - 00:00:51] 哎呀
[00:00:51 - 00:00:52] 哎呀每次说录完节目
[00:00:52 - 00:00:53] 回家走个东西
[00:00:53 - 00:00:54] 我没有
[00:00:54 - 00:00:55] 我不让她看我节目
[00:00:59 - 00:01:01] 我来到厉害了我的心
[00:01:01 - 00:01:04] 我想跟一個人證明
[00:01:04 - 00:01:06] 我很厲害
[00:01:06 - 00:01:07] 不用證明
[00:01:07 - 00:01:08] 我認為你就很厲害
[00:01:08 - 00:01:10] 他又不是跟你證明
[00:01:10 - 00:01:12] 跟誰證明
[00:01:12 - 00:01:15] 前任
[00:01:15 - 00:01:17] 我告訴你
[00:01:17 - 00:01:20] 那個王八蛋我忍得很久了
[00:01:20 - 00:01:23] 你認識啊
[00:01:23 - 00:01:24] 他長什麼樣子
[00:01:24 - 00:01:25] 叫什麼名字
[00:01:25 - 00:01:26] 然後你認識嗎
[00:01:26 - 00:01:28] 謝忽
[00:01:28 - 00:01:30] 但是我也感謝他
[00:01:30 - 00:01:30] 伯伯
[00:01:30 - 00:01:31] 那个
[00:01:31 - 00:01:33] 那你想怎么证明呢
[00:01:33 - 00:01:35] 我先表演的才艺吧
[00:01:35 - 00:01:35] 好
[00:01:35 - 00:01:36] 来吧
[00:01:36 - 00:01:38] 请开始你的炫技
[00:01:38 - 00:01:49] 我三门的小 记得笑 已繁华
[00:01:49 - 00:01:56] 我无人断唱 我心事尽尽长
[00:01:56 - 00:02:02] 日后晚夜未央 你的影子前不
[00:02:02 - 00:02:21] 这个跟前人有关系
[00:02:21 - 00:02:22] 为什么来这个节目
[00:02:22 - 00:02:23] 我想哄
[00:02:23 - 00:02:24] 为什么想哄
[00:02:24 - 00:02:26] 那你哄和前人有什么关系呢
[00:02:26 - 00:02:28] 可能是因为我不好
[00:02:28 - 00:02:30] 我不好吧
[00:02:30 - 00:02:31] 把我拋起了
[00:02:31 - 00:02:32] 那你来就要告诉她
[00:02:32 - 00:02:34] 我确实不好还是
[00:02:35 - 00:02:36] 没有
[00:02:36 - 00:02:37] 我觉得
[00:02:39 - 00:02:41] 失恋也许正常
[00:02:41 - 00:02:42] 但是
[00:02:43 - 00:02:45] 她是我初恋
[00:02:45 - 00:02:48] 为她付出了很多
[00:02:48 - 00:02:51] 当时放弃了一切
[00:02:51 - 00:02:53] 还有不够家庭的反对
[00:02:54 - 00:02:57] 然后一个人拎着九个箱子
[00:02:57 - 00:02:59] 就去了北京
[00:02:59 - 00:03:00] 九个
[00:03:00 - 00:03:03] 然后说句
[00:03:03 - 00:03:04] 觉得很好笑的话
[00:03:04 - 00:03:05] 连地铁都不会做
[00:03:05 - 00:03:07] 那为什么就突然间分手了
[00:03:07 - 00:03:08] 是因为坐地铁的时候
[00:03:08 - 00:03:11] 丢了吗 还是
[00:03:11 - 00:03:12] 不是
[00:03:12 - 00:03:15] 是因为他整天在家里面玩游戏
[00:03:15 - 00:03:18] 然后玩累了
[00:03:18 - 00:03:19] 走了
[00:03:19 - 00:03:21] 然后我在演出
[00:03:21 - 00:03:23] 突然给我一个电话说
[00:03:23 - 00:03:23] 分手吧
[00:03:23 - 00:03:24] 那就分手了
[00:03:24 - 00:03:26] 好
[00:03:26 - 00:03:27] 那他天天在家玩游戏
[00:03:27 - 00:03:28] 他不工作吗
[00:03:28 - 00:03:29] 工作了一个半月
[00:03:29 - 00:03:31] 就失业了
[00:03:31 - 00:03:32] 然后后来
[00:03:32 - 00:03:33] 突然间就跟你说分手了
[00:03:33 - 00:03:35] 你没问他为什么吗
[00:03:35 - 00:03:36] 没有啊
[00:03:36 - 00:03:37] 因为那时候我觉得
[00:03:37 - 00:03:38] 我也很累了
[00:03:38 - 00:03:40] 那如果他不想分的话
[00:03:40 - 00:03:41] 是不是你也就分了
[00:03:41 - 00:03:41] 没有
[00:03:41 - 00:03:43] 因为我都带他回去
[00:03:43 - 00:03:44] 去见家长
[00:03:44 - 00:03:45] 不是 那但是他都那个样子了
[00:03:45 - 00:03:47] 成天也不管你的死活
[00:03:47 - 00:03:48] 也不去挣钱
[00:03:48 - 00:03:50] 成天在家玩游戏
[00:03:50 - 00:03:50] 这样的人
[00:03:50 - 00:03:51] 你还跟他在一起干嘛呢
[00:03:51 - 00:03:53] 因为爱 老师
[00:03:53 - 00:03:54] 爱
[00:03:54 - 00:03:56] 但是初恋你得活啊
[00:03:56 - 00:03:57] 但是爱呀
[00:03:57 - 00:03:58] 但是你得活
[00:03:58 - 00:03:59] 哎呀
[00:03:59 - 00:04:00] 你得活
[00:04:00 - 00:04:01] 哎呀
[00:04:01 - 00:04:02] 你得活
[00:04:02 - 00:04:02] 哎呀
[00:04:02 - 00:04:03] 你
[00:04:05 - 00:04:07] 我觉得你这个生活是一要素的
[00:04:07 - 00:04:07] 对吧
[00:04:07 - 00:04:08] 你再爱
[00:04:08 - 00:04:09] 你活不下去
[00:04:09 - 00:04:10] 不
[00:04:10 - 00:04:11] 就爱到死
[00:04:11 - 00:04:12] 不是的 老师
[00:04:12 - 00:04:15] 你们都理解错了一个观念
[00:04:15 - 00:04:17] 就是对初恋来说
[00:04:17 - 00:04:20] 认定了一个人什么都值得
[00:04:20 - 00:04:21] 我跟你说你这个想法是不对的
[00:04:21 - 00:04:22] 你知道吗
[00:04:22 - 00:04:23] 我给你介绍一个
[00:04:23 - 00:04:25] 我的一个好朋友说过一句话
[00:04:25 - 00:04:26] 莎士比亚曾经说过
[00:04:26 - 00:04:27] 哎呀
[00:04:27 - 00:04:28] 不是 真的
[00:04:28 - 00:04:29] 他知道你是他好朋友吗
[00:04:30 - 00:04:30] 那不管
[00:04:30 - 00:04:31] 反正我当 当当日兄
[00:04:31 - 00:04:33] 他知道他是你好朋友
[00:04:33 - 00:04:34] 他现在估计不知道
[00:04:34 - 00:04:35] 回到我挖一下告的
[00:04:35 - 00:04:36] 但是我告诉你
[00:04:36 - 00:04:37] 他要这么说一话呢
[00:04:37 - 00:04:39] 初恋根本就不懂得爱情
[00:04:39 - 00:04:41] 这是我 我另外一个朋友
[00:04:41 - 00:04:42] 叫弗洛伊德
[00:04:42 - 00:04:43] 他怎么说的
[00:04:43 - 00:04:48] 因为我记得弗洛伊德
[00:04:48 - 00:04:49] 在临死之前
[00:04:49 - 00:04:50] 他的一言你知道是什么吗
[00:04:50 - 00:04:52] 他的一言是女人啊
[00:04:52 - 00:04:53] 你到底在想什么
[00:04:54 - 00:04:54] 想什么
[00:04:55 - 00:04:57] 女孩的心思那海面
[00:04:57 - 00:04:58] 你才来才去
[00:04:58 - 00:05:00] 你也才不明白
[00:05:04 - 00:05:05] 我真的可能搞不懂
[00:05:05 - 00:05:06] 即使是初恋
[00:05:06 - 00:05:08] 然后的话你再认定他
[00:05:08 - 00:05:09] 但是的话这个男人
[00:05:09 - 00:05:10] 他不值得你去爱
[00:05:10 - 00:05:10] 对呀
[00:05:10 - 00:05:13] 那我又有一个名人
[00:05:13 - 00:05:14] 他不是我朋友
[00:05:14 - 00:05:14] 谁
[00:05:14 - 00:05:16] 他是很有名的
[00:05:16 - 00:05:17] 叫做孙燕粉
[00:05:17 - 00:05:19] 不
[00:05:19 - 00:05:21] 同一切我有如此
[00:05:21 - 00:05:23] 好言无情之人
[00:05:25 - 00:05:27] 并不是初恋不懂爱情
[00:05:27 - 00:05:29] 初恋才是最懂得什么是爱情
[00:05:29 - 00:05:32] 我这一次已经被现实生活
[00:05:32 - 00:05:36] 去影响了那个爱情观的大人
[00:05:36 - 00:05:37] 你为什么和初恋分手
[00:05:37 - 00:05:39] 我并没有初恋分手
[00:05:39 - 00:05:40] 还没分手是吧
[00:05:42 - 00:05:44] 来了 现在观众有问题要问是吧
[00:05:44 - 00:05:47] 来 我就问你一个问题
[00:05:47 - 00:05:48] 你几岁和你初恋分手
[00:05:49 - 00:05:52] 我和我初恋结婚了
[00:05:52 - 00:05:55] 那你老公的初恋代讯是你吗
[00:05:55 - 00:05:57] 她说是
[00:05:57 - 00:05:59] 我今天说的重点不是这个
[00:05:59 - 00:06:01] 反正我没有听的就是这个
[00:06:01 - 00:06:01] 像什么
[00:06:01 - 00:06:02] 肯定不是
[00:06:02 - 00:06:03] 你一个人消失
[00:06:03 - 00:06:04] 你一个人消失 问我吗
[00:06:04 - 00:06:05] 对
[00:06:05 - 00:06:06] 就是我太不同意你的观点了
[00:06:06 - 00:06:07] 我是你的微博粉丝
[00:06:07 - 00:06:09] 但是你刚才对宝儿说的话
[00:06:09 - 00:06:10] 让我很失望
