BV号：BV1vS421d7HP
标题：BV1vS421d7HP
链接：https://www.bilibili.com/video/BV1vS421d7HP
识别语言：zh
语言置信度：1
分段数：80
生成时间：2026-04-03 09:53:05

[00:00:00 - 00:00:02] 我发现有些同学和家人在报纸院的时候
[00:00:02 - 00:00:04] 都是冒着部署高校报
[00:00:04 - 00:00:06] 省署的还是看都不看
[00:00:06 - 00:00:07] 部署是不错
[00:00:07 - 00:00:09] 但不代表省署它就不行
[00:00:09 - 00:00:11] 下面张老师一直准备给大家介绍一所非常低调
[00:00:11 - 00:00:13] 但是有实力的报道
[00:00:13 - 00:00:15] 省署高校叫长江大学
[00:00:15 - 00:00:18] 长江现在是武汉荆州两地半学
[00:00:18 - 00:00:20] 所以说2003年才合并组建
[00:00:20 - 00:00:21] 但它的前身之一
[00:00:21 - 00:00:23] 江汉石油学院
[00:00:23 - 00:00:26] 是原石油部部署的六大石油高校之一
[00:00:26 - 00:00:29] 其余的也都是源自985RL
[00:00:29 - 00:00:31] 分别是华中农业大学 华中师分大学
[00:00:31 - 00:00:33] 华中科技大学同纪医学院
[00:00:33 - 00:00:36] 以前的三所经济分院发展到现在
[00:00:36 - 00:00:41] 长大已经是湖北省省属规模最大的综合型大学
[00:00:41 - 00:00:44] 还是由湖北省和国家三大石油央企一级
[00:00:44 - 00:00:46] 农业农村部共建高校
[00:00:46 - 00:00:49] 这几年的排名是一路的猛进
[00:00:49 - 00:00:51] 就拿校会中国大学排名来说
[00:00:51 - 00:00:53] 目前长大排到了全国第127位
[00:00:53 - 00:00:55] 是湖北省属高校的第二
[00:00:55 - 00:00:57] 名声是越来越响
[00:00:57 - 00:00:59] 当然选学校不光要看名图
[00:00:59 - 00:01:00] 观念是还要看办学实力
[00:01:00 - 00:01:03] 那在这一块长大也是有真东西的
[00:01:03 - 00:01:05] 首先学校有保研资格
[00:01:05 - 00:01:07] 也有完整的本术博培养信息
[00:01:07 - 00:01:09] 博士后的铃铛战也有
[00:01:09 - 00:01:11] 享身造本校就可以给你多点
[00:01:11 - 00:01:13] 学科方面唐宫前有8个学科进入到了
[00:01:13 - 00:01:15] 耶赛全球前1%
[00:01:15 - 00:01:18] 总数是湖北省署高校里边的第一
[00:01:18 - 00:01:19] 第五轮学科评估里
[00:01:19 - 00:01:22] 它的石油与天然气工程获评A界
[00:01:22 - 00:01:23] 是湖北省署高校里
[00:01:23 - 00:01:26] 唯一一个进入到A党的自然学科
[00:01:26 - 00:01:29] 说它有从双一楼的潜力也不为过
[00:01:29 - 00:01:30] 再看专业
[00:01:30 - 00:01:32] 长大现在有将近100个招控专业
[00:01:32 - 00:01:35] 其中四分之一以上的都是国家级一路专业
[00:01:35 - 00:01:37] 这个学校农学很牛
[00:01:37 - 00:01:40] 袁隆平院士都给学校提了词
[00:01:40 - 00:01:42] 叫做长大学农大有作为
[00:01:42 - 00:01:44] 这个含金量你品一品
[00:01:44 - 00:01:46] 除了农学能源这些网牌
[00:01:46 - 00:01:48] 这几年大热的像什么电子信息压
[00:01:48 - 00:01:49] 网络工程啊
[00:01:49 - 00:01:50] 自动化等等
[00:01:50 - 00:01:51] 都是国家级一路专业
[00:01:51 - 00:01:52] 另外像极其人
[00:01:52 - 00:01:55] 人工智能大数据这样的新兴专业
[00:01:55 - 00:01:56] 它也开了不少
[00:01:56 - 00:01:58] 这些专业前景怎么样 大家都有数
[00:01:58 - 00:02:01] 另外呢 常大的科研水平也很到位
[00:02:01 - 00:02:05] 光去年一年啊 学校的科研总经费就超过了4.5个亿
[00:02:05 - 00:02:07] 在湖北省属高校里边是遥遥领先
[00:02:07 - 00:02:09] 不光经费多 它之前还连续三年
[00:02:09 - 00:02:12] 拿下国家科技进步奖 一等奖
[00:02:12 - 00:02:15] 连续七年科技成果转化 即进全国摆枪
[00:02:15 - 00:02:18] 手机湖北专利金奖也平上了
[00:02:18 - 00:02:20] 这科研实力可以说是相当牛了
[00:02:20 - 00:02:22] 至于就业 那更是不得了
[00:02:22 - 00:02:24] 就拿石油能源这一块来说
[00:02:24 - 00:02:26] 像中石油、中石化、中海油
[00:02:26 - 00:02:28] 这三桶油还有其他的央企
[00:02:28 - 00:02:30] 很多中高层领导
[00:02:30 - 00:02:32] 核心技术武官都是常大毕业的
[00:02:32 - 00:02:34] 其中不法董事长总经理这样的高管
[00:02:34 - 00:02:38] 毕业生去石油企业会有种回家的感觉
[00:02:38 - 00:02:41] 一般工作三到五年收入十到二十五万
[00:02:41 - 00:02:42] 那是妥妥的
[00:02:42 - 00:02:44] 总之这几年常见大学
[00:02:44 - 00:02:46] 不管是在省署还是在全国高校里边
[00:02:46 - 00:02:48] 存在港那是越来越强
[00:02:48 - 00:02:50] 咱们三两居也说不完
[00:02:50 - 00:02:51] 感兴趣的家长和同学
[00:02:51 - 00:02:52] 可以多取关注一下
