BV号：BV1vx411z7y9
标题：BV1vx411z7y9
链接：https://www.bilibili.com/video/BV1vx411z7y9
识别语言：zh
语言置信度：1
分段数：239
生成时间：2026-04-04 12:41:21

[00:00:05 - 00:00:06] 啊? 干啥呀?
[00:00:06 - 00:00:10] 是呀!
[00:00:10 - 00:00:12] 好,欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:15 - 00:00:16] 后来在中国呢
[00:00:16 - 00:00:17] 可以简单的把大学分成三类大学
[00:00:17 - 00:00:18] 那三类啊
[00:00:18 - 00:00:19] 第一类叫做普通高校
[00:00:19 - 00:00:20] 比如说像
[00:00:20 - 00:00:21] 不能科技大学,对吧
[00:00:21 - 00:00:23] 第二类叫做221共同大学
[00:00:23 - 00:00:24] 大家知道什么叫221吧
[00:00:24 - 00:00:26] 叫21世纪中国
[00:00:26 - 00:00:27] 一百所名校
[00:00:27 - 00:00:28] 第三类叫做9850
[00:00:28 - 00:00:29] 知道什么叫9850吧
[00:00:29 - 00:00:31] 98年5月份
[00:00:31 - 00:00:32] 江泽民同志提出的
[00:00:32 - 00:00:34] 《我国》建设一批世界
[00:00:34 - 00:00:36] 一流知名高校的计划
[00:00:36 - 00:00:37] 叫做9850计划
[00:00:37 - 00:00:37] 然而同学
[00:00:37 - 00:00:40] 1998就把提出20年了
[00:00:40 - 00:00:42] 效果非常明显到现在仍然一个都没有
[00:00:42 - 00:00:43] 对吧
[00:00:43 - 00:00:46] 但其实中国早就有世界一流之名高校
[00:00:46 - 00:00:48] 曾经亚洲排名第一的学校
[00:00:48 - 00:00:49] 就是中国的学校
[00:00:49 - 00:00:50] 知道哪个吗
[00:00:50 - 00:00:52] 南京大学
[00:00:52 - 00:00:54] 这个学校曾经排名亚洲第一
[00:00:54 - 00:00:55] 知道吗
[00:00:55 - 00:00:55] 老师
[00:00:55 - 00:00:57] 那当年那么牛逼的学校
[00:00:57 - 00:00:58] 怎么成现在这样了
[00:00:58 - 00:01:00] 因为在上到世纪的1952年
[00:01:00 - 00:01:03] 南京大学经历过一次非常大的院系大调整
[00:01:03 - 00:01:06] 南京大学被一分为12个部分
[00:01:06 - 00:01:09] 你们现在看着的男大师拆完的男大师
[00:01:09 - 00:01:11] 那哪些是他拆出来的呢
[00:01:11 - 00:01:12] 咱们随便给你举个例子
[00:01:12 - 00:01:14] 不是RL总都不好意思说的
[00:01:14 - 00:01:15] 哪些是像
[00:01:15 - 00:01:17] 南京大学工学院
[00:01:17 - 00:01:20] 1952年独立出来成为了现在的东南大学
[00:01:20 - 00:01:23] 南京大学医学院1952年独立出来
[00:01:23 - 00:01:25] 成为了现在的第一次军医大学
[00:01:25 - 00:01:27] 南京大学师范学院
[00:01:27 - 00:01:29] 就是现在的南京师范大学
[00:01:29 - 00:01:31] 南京大学航空系独立出来
[00:01:31 - 00:01:33] 组建了现在的西北工业大学
