BV号：BV1w24y1y75F
标题：BV1w24y1y75F
链接：https://www.bilibili.com/video/BV1w24y1y75F
识别语言：zh
语言置信度：1
分段数：23
生成时间：2026-04-03 16:54:35

[00:00:00 - 00:00:01] 什么专业不卷
[00:00:01 - 00:00:02] 没有不卷的专业
[00:00:02 - 00:00:03] 没有不卷的专业
[00:00:03 - 00:00:05] 我跟大家上说
[00:00:05 - 00:00:07] 就是所谓的什么人才贬值
[00:00:07 - 00:00:08] 真事
[00:00:08 - 00:00:09] 这是一个真事
[00:00:09 - 00:00:10] 我们经常讲一句话叫
[00:00:10 - 00:00:11] 考得好不如报得好
[00:00:11 - 00:00:13] 报得好不如生得早
[00:00:13 - 00:00:15] 我不知道大家有没有这样的感受
[00:00:15 - 00:00:16] 尤其是各位
[00:00:16 - 00:00:17] 各位家长
[00:00:17 - 00:00:19] 如果你现在在体制内工作的话
[00:00:19 - 00:00:20] 你会发现
[00:00:20 - 00:00:22] 你们单位现在的招聘标准
[00:00:22 - 00:00:23] 当年你毕业
[00:00:23 - 00:00:24] 你还尽得来吗
[00:00:24 - 00:00:26] 以你们现在的招聘标准
[00:00:26 - 00:00:27] 你当年你那个毕业
[00:00:27 - 00:00:28] 你尽得来吗
[00:00:28 - 00:00:30] 你进不来了吧
[00:00:31 - 00:00:33] 对吧 你进不来了吧
