BV号：BV1wJ411j7An
标题：BV1wJ411j7An
链接：https://www.bilibili.com/video/BV1wJ411j7An
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-04 03:43:19

[00:00:00 - 00:00:01] 第二同学
[00:00:01 - 00:00:02] 张老师教你一句话
[00:00:03 - 00:00:05] 这句话适用于
[00:00:05 - 00:00:07] 老师面试问你什么问题你都不会的时候
[00:00:07 - 00:00:10] 你知道老师马上就要淘汰你的时候
[00:00:10 - 00:00:10] 说出这句话
[00:00:10 - 00:00:11] 老师马上录取你
[00:00:11 - 00:00:12] 这句话叫
[00:00:12 - 00:00:14] 我要靠博士记住了
[00:00:16 - 00:00:17] 我要靠博士
[00:00:18 - 00:00:19] 懒得拦不住
[00:00:19 - 00:00:20] 是吧
[00:00:20 - 00:00:21] 老师面试问你问题
[00:00:21 - 00:00:22] 问你啥不会
[00:00:22 - 00:00:23] 问你啥不会
[00:00:23 - 00:00:24] 老师都生气了
[00:00:24 - 00:00:25] 啪一啪啪的同学
[00:00:25 - 00:00:26] 就你这德性的
[00:00:26 - 00:00:27] 你他们啥也不会
[00:00:27 - 00:00:28] 你为什么靠我的眼呢
[00:00:28 - 00:00:29] 机会来了吧
[00:00:30 - 00:00:31] 老师你好
[00:00:31 - 00:00:33] 因为我要靠博士
[00:00:33 - 00:00:35] 老师你知道吗
[00:00:35 - 00:00:37] 其实我这个人从小的梦想
[00:00:37 - 00:00:40] 就是要当一个科学家
[00:00:40 - 00:00:43] 老师我问一下咱们学校研议能直播吗
[00:00:43 - 00:00:44] 研议能直播
[00:00:44 - 00:00:45] 那我就直播了
[00:00:45 - 00:00:46] 老师听文章话眼睛都放光
[00:00:46 - 00:00:48] come on baby
[00:00:48 - 00:00:48] 是吧
[00:00:48 - 00:00:50] 马上就可以了
[00:00:50 - 00:00:50] 知道了
[00:00:50 - 00:00:51] 但同学你要注意
[00:00:51 - 00:00:53] 这句话好使归好使
[00:00:53 - 00:00:55] 但是轻易不要说
[00:00:55 - 00:00:56] 知道吗
[00:00:56 - 00:00:58] 杀伤力太大
[00:00:58 - 00:01:00] 老师会当真的
[00:01:00 - 00:01:02] 你说完这句话以后
[00:01:02 - 00:01:04] 你的青春就他做主了
