BV号：BV1wb411g7EL
标题：BV1wb411g7EL
链接：https://www.bilibili.com/video/BV1wb411g7EL
识别语言：zh
语言置信度：1
分段数：247
生成时间：2026-04-04 08:20:37

[00:00:00 - 00:00:02] 大家好,我上學習變得更快樂的張雪鋒老師
[00:00:02 - 00:00:05] 在1886年美國有這麼幾個商人
[00:00:05 - 00:00:08] 從西印度群島就進了一船西紅柿到美國來
[00:00:08 - 00:00:10] 停在了哪裡呢?停在了紐約港
[00:00:10 - 00:00:12] 而紐約港當地的爭稅人
[00:00:12 - 00:00:15] 就像這一船西紅柿爭收了相關的關稅
[00:00:15 - 00:00:17] 這些商人就很不開心
[00:00:17 - 00:00:19] 說根據咱們當地的法律
[00:00:19 - 00:00:21] 蔬菜是要爭稅的
[00:00:21 - 00:00:23] 水果是不爭稅的
[00:00:23 - 00:00:26] 我們這一船西紅柿它是水果,它不是蔬菜
[00:00:26 - 00:00:27] 你為什麼要爭我的稅?
[00:00:27 - 00:00:29] 這爭稅人就說了
[00:00:29 - 00:00:31] 这西红柿明明是蔬菜
[00:00:31 - 00:00:32] 他怎么能是水果呢
[00:00:32 - 00:00:34] 商人说他是水果
[00:00:34 - 00:00:36] 政事人说他是蔬菜
[00:00:36 - 00:00:36] 结果呢
[00:00:36 - 00:00:38] 两个人闹的就不开心
[00:00:38 - 00:00:39] 不开心怎么办
[00:00:39 - 00:00:41] 咱们去打官司
[00:00:41 - 00:00:43] 这个官司就一路从当地的法院
[00:00:43 - 00:00:44] 打打打
[00:00:44 - 00:00:47] 打到了美国联邦的最高法院
[00:00:47 - 00:00:48] 想不到吧
[00:00:48 - 00:00:52] 美国的最高法院还审过西红柿是蔬菜还是水果
[00:00:52 - 00:01:06] 那你觉得美国的法院会认为这西红柿是蔬菜还是水果呢
[00:01:06 - 00:01:07] 大家好
[00:01:07 - 00:01:09] 我上学习变得更快乐的张雪峰老师
[00:01:09 - 00:01:10] 欢迎大家收看法律习诗
[00:01:10 - 00:01:11] 很好玩
[00:01:11 - 00:01:14] 那么做到我身边的依然是我们的法学专家
[00:01:14 - 00:01:16] 我们研途教育的千月老师
[00:01:16 - 00:01:16] 严野祥老师
[00:01:16 - 00:01:18] 杨老师跟大家打个招呼
[00:01:18 - 00:01:19] 大家好
[00:01:19 - 00:01:21] 杨老师你看刚才我们说的这个案子
[00:01:21 - 00:01:24] 西红柿到底是蔬菜还是水果
[00:01:24 - 00:01:27] 那你觉得西红柿是蔬菜还是水果呢
[00:01:27 - 00:01:30] 你先告诉我这大西红柿还是小西红柿
[00:01:30 - 00:01:31] 这西红柿呢
