BV号：BV1wm4y197Vy
标题：BV1wm4y197Vy
链接：https://www.bilibili.com/video/BV1wm4y197Vy
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-03 21:04:09

[00:00:00 - 00:00:02] 深圳大学这个学校的本身是212吗
[00:00:02 - 00:00:03] 不是
[00:00:03 - 00:00:04] 它本身是双一楼吗
[00:00:04 - 00:00:05] 也不是
[00:00:05 - 00:00:06] 这就是我们提前给大家提醒过的
[00:00:06 - 00:00:09] 我说大家你要注意中国的大学分层几种
[00:00:09 - 00:00:10] 三种
[00:00:10 - 00:00:11] 一种叫研究型大学
[00:00:11 - 00:00:12] 一种叫做教育型大学
[00:00:12 - 00:00:13] 一种叫做教学型大学
[00:00:13 - 00:00:15] 那么教学型大学最大的特点是什么
[00:00:15 - 00:00:17] 它招到本学生人数
[00:00:17 - 00:00:19] 要远远大学团招的研究生人数
[00:00:19 - 00:00:21] 那么深圳大学它不是一个双一楼
[00:00:21 - 00:00:23] 所以说它的特点就非常明显的体现
[00:00:23 - 00:00:25] 它主要还是以教学型为主的
[00:00:25 - 00:00:26] 教学型大学对吧
[00:00:26 - 00:00:28] 但是女后方现在正在往上
[00:00:28 - 00:00:30] 往教研型大学快速卖进
[00:00:30 - 00:00:31] 对吧
[00:00:31 - 00:00:31] 因为你会发现
[00:00:31 - 00:00:35] 他现在招待研论程总量已经打算了将近4500人
[00:00:35 - 00:00:35] 对吧
[00:00:35 - 00:00:37] 然后第二个
[00:00:37 - 00:00:40] 实际接触推免考上是776人
[00:00:40 - 00:00:41] 那么这个也说明什么呢
[00:00:41 - 00:00:43] 这个也说明了
[00:00:43 - 00:00:46] 这个学校他正在往教研型大学上卖进
[00:00:46 - 00:00:48] 因为这个推免生人数
[00:00:48 - 00:00:49] 尤其推免生出比例
[00:00:49 - 00:00:50] 大家可以推
[00:00:50 - 00:00:51] 他用招个4500人不到
[00:00:51 - 00:00:54] 却有776个人去保研的
[00:00:54 - 00:00:58] 那么这保研的比例已经将近15%左右了
[00:00:58 - 00:01:01] 那么大家你会发现大多数的非小业者的年小
[00:01:01 - 00:01:02] 它保原比例会打得这么高吗
[00:01:02 - 00:01:04] 它不会打得这么高
[00:01:04 - 00:01:05] 大家如果有兴趣的话
[00:01:05 - 00:01:08] 你看一看那些可以招研究中的二分的高小
[00:01:08 - 00:01:10] 基本上不会出现15%的研究生
[00:01:10 - 00:01:12] 是通过推免生上来的
[00:01:12 - 00:01:14] 那么这个举行明显它就怎么样
[00:01:14 - 00:01:16] 它在处于一个上升的态势
[00:01:16 - 00:01:18] 它在处于一个快速啊
[00:01:18 - 00:01:19] 教研型大学
[00:01:19 - 00:01:20] 卖进的一个态势
[00:01:20 - 00:01:21] 大家意味着了
