BV号：BV1wp421d7A9
标题：BV1wp421d7A9
链接：https://www.bilibili.com/video/BV1wp421d7A9
识别语言：zh
语言置信度：1
分段数：48
生成时间：2026-04-03 12:32:30

[00:00:00 - 00:00:01] 同学你要知道
[00:00:01 - 00:00:02] 我不是说看不起你
[00:00:02 - 00:00:03] 或者怎么样同学
[00:00:03 - 00:00:04] 真的一个人
[00:00:04 - 00:00:05] 很重要的一点就是
[00:00:05 - 00:00:07] 一定要知道自己的能力边界
[00:00:07 - 00:00:08] 有的时候你知道
[00:00:08 - 00:00:11] 在中国本科就业其实挺尴尬的
[00:00:11 - 00:00:13] 尤其是数据不太好听的话
[00:00:13 - 00:00:15] 就是相对第一端的本科就业
[00:00:15 - 00:00:16] 其实挺尴尬的
[00:00:16 - 00:00:18] 高不成低不就
[00:00:18 - 00:00:19] 从技术的角度来讲
[00:00:19 - 00:00:21] 第一端的本科就业
[00:00:21 - 00:00:22] 技术的角度来讲
[00:00:22 - 00:00:23] 输大砖
[00:00:23 - 00:00:25] 因为大砖还能学门技术
[00:00:25 - 00:00:26] 同学你有兴趣
[00:00:26 - 00:00:27] 你去看一下
[00:00:27 - 00:00:28] 大砖的砖业都叫什么
[00:00:28 - 00:00:29] 什么什么什么
[00:00:29 - 00:00:30] 技術 什么什么什么技術
[00:00:30 - 00:00:32] 他都技术绑身
[00:00:32 - 00:00:35] 但是本科不管你是985
[00:00:35 - 00:00:36] 还是普通的民办
[00:00:36 - 00:00:37] 他都叫什么什么工程
[00:00:37 - 00:00:39] 但是高呢
[00:00:39 - 00:00:40] 你下面的院校
[00:00:40 - 00:00:42] 二本的三本的院校
[00:00:42 - 00:00:43] 高不成
[00:00:43 - 00:00:45] 你跟221985的同学有明显差距
[00:00:45 - 00:00:46] 第一不就
[00:00:46 - 00:00:48] 就是因为人家专科的人学习们几乎
[00:00:48 - 00:00:50] 你最后费劲扒拉的
[00:00:50 - 00:00:51] 因为你这个分
[00:00:51 - 00:00:51] 就算上了本科
[00:00:51 - 00:00:53] 你搞不好还上了民办
[00:00:53 - 00:00:54] 你的学费搞不好还挺高
[00:00:54 - 00:00:56] 你最后花了钱读了四年大学
[00:00:56 - 00:00:58] 你以为你能考上研究生
[00:00:58 - 00:00:59] 你考不上眼睛
[00:00:59 - 00:00:59] 到最后就业的时候
[00:00:59 - 00:01:01] 你会发现跟那帮冲口的人
[00:01:01 - 00:01:02] 大传一块酒业
[00:01:02 - 00:01:03] 你屠杀
[00:01:03 - 00:01:04] 你家里的钱又不是漂来的
[00:01:04 - 00:01:05] 个人建议
[00:01:05 - 00:01:06] 你想好
