BV号：BV1x442197cd
标题：BV1x442197cd
链接：https://www.bilibili.com/video/BV1x442197cd
识别语言：zh
语言置信度：1
分段数：91
生成时间：2026-04-03 10:23:43

[00:00:00 - 00:00:03] 这段时间和价乱流程我发现有很多家长
[00:00:03 - 00:00:05] 都说孩子想上江苏特大学
[00:00:05 - 00:00:05] 的确啊
[00:00:05 - 00:00:09] 江苏的高校在全国很多省份都是很有吸引力的
[00:00:09 - 00:00:09] 一来呢
[00:00:09 - 00:00:10] 确实好学校多
[00:00:10 - 00:00:10] 二来呢
[00:00:10 - 00:00:11] 江苏经济发达
[00:00:11 - 00:00:13] 那咱们今天就给大家介绍一所
[00:00:13 - 00:00:16] 以江苏命名在双非里边数一数二
[00:00:16 - 00:00:18] 而且性价比非常高的大学
[00:00:18 - 00:00:19] 江苏大学
[00:00:19 - 00:00:20] 他可能是全国唯一一所
[00:00:20 - 00:00:22] 拒绝了2111投嫌的大学
[00:00:22 - 00:00:25] 因为当时江苏大学隶属于国家机械工业部
[00:00:25 - 00:00:26] 据说啊
[00:00:26 - 00:00:27] 江苏省明确表示
[00:00:27 - 00:00:30] 江大毁江苏就把221的纸本给江大
[00:00:30 - 00:00:32] 江苏大学得拒绝了
[00:00:32 - 00:00:33] 把名额证给了其他搞笑
[00:00:33 - 00:00:36] 结果就成了221的沧海一株
[00:00:36 - 00:00:38] 大家可能不知道1960年
[00:00:38 - 00:00:39] 南京工学院
[00:00:39 - 00:00:43] 也就是现在的东南大学分社独立建校
[00:00:43 - 00:00:45] 1963年吉林工业大学
[00:00:45 - 00:00:47] 也就是现在的吉林大学
[00:00:47 - 00:00:48] 排卦机械系
[00:00:48 - 00:00:49] 整建制并路
[00:00:49 - 00:00:51] 才有了现在的江苏大学
[00:00:51 - 00:00:52] 1978年
[00:00:52 - 00:00:55] 他就被国务院确定为全国88所重点大学之一
[00:00:55 - 00:01:00] 1981年成为全国首批具有博士硕士学位数据权的搞笑
[00:01:00 - 00:01:04] 所以说江苏大学半学的起点高实力是相当强劲
[00:01:04 - 00:01:05] 给大家几个数据参考一下
[00:01:05 - 00:01:07] 就知道这个学校强不强了
[00:01:07 - 00:01:10] 咱们先说国际上公认的ESI
[00:01:10 - 00:01:13] 江大有14个学科进入到了全球前1%
[00:01:13 - 00:01:16] 还有三个全球前1,000
[00:01:16 - 00:01:17] 这一点你别说21了
[00:01:17 - 00:01:19] 那有些98补特都做不到
[00:01:19 - 00:01:23] 还有江大的软科世界大学学术排名
[00:01:23 - 00:01:24] 在国内排第40位
[00:01:24 - 00:01:27] 他也不是高等教育世界大学排名在国内呢
[00:01:27 - 00:01:29] 是在41位
[00:01:29 - 00:01:32] 2024中国大学评价排名也是全国第40位
[00:01:32 - 00:01:35] 有15个一级学科博士点
[00:01:35 - 00:01:37] 40个国家一流本科专业
[00:01:37 - 00:01:40] 还有26个专业通过了工程教育认证
[00:01:40 - 00:01:41] 总数是全国第二
[00:01:41 - 00:01:43] 这些专业的毕业生啊
[00:01:43 - 00:01:46] 学位在很多国家都是户人的
[00:01:46 - 00:01:48] 同学们数据他不会说谎
[00:01:48 - 00:01:49] 大家你去比较一下
[00:01:49 - 00:01:51] 强不强就不用我多说了
[00:01:51 - 00:01:53] 再说点大家都不知道的
[00:01:53 - 00:01:55] 江大轉專業政策是非常人性化的
[00:01:55 - 00:01:57] 堪稱是業界良心
[00:01:57 - 00:01:59] 它的大一新生在第一學年末
[00:01:59 - 00:02:01] 都可以來申請轉專業
[00:02:01 - 00:02:06] 各專業接受比例可達本專業人數的20%到30%
[00:02:06 - 00:02:07] 成功率很高
[00:02:07 - 00:02:09] 差不多80% 90%
[00:02:09 - 00:02:12] 而且它是宗可縣大學熱門專業分散
[00:02:12 - 00:02:14] 除了自身特色的功課專業以外
[00:02:14 - 00:02:16] 像計算機壓電器車輛的機械
[00:02:16 - 00:02:18] 還有醫學師範類專業
[00:02:18 - 00:02:20] 把大家的火力都給分散了
[00:02:20 - 00:02:21] 不會說從現幾百個人
[00:02:21 - 00:02:23] 往一个专业里边挤的局面
[00:02:23 - 00:02:25] 所以他转专业成功率才高
[00:02:25 - 00:02:27] 曲线救国大家都懂的
[00:02:27 - 00:02:29] 还有一点就是非常重要的
[00:02:29 - 00:02:31] 就是江苏大学本部今年
[00:02:31 - 00:02:33] 扩招了800多人
[00:02:33 - 00:02:34] 社会趋序大
[00:02:34 - 00:02:35] 就业前进好多专业
[00:02:35 - 00:02:37] 增加了大量的计划
[00:02:37 - 00:02:39] 这里江苏的考生要注意
[00:02:39 - 00:02:42] 扩招的计划大部分都放在了审内
[00:02:42 - 00:02:43] 针对立科考生
[00:02:43 - 00:02:45] 他还有细分专业组
[00:02:45 - 00:02:46] 热门专业单独成组
[00:02:46 - 00:02:49] 进党保证专业等政策
[00:02:49 - 00:02:50] 非常贴心
[00:02:50 - 00:02:51] 最后再强调一下
[00:02:51 - 00:02:52] 江苏大学啊
[00:02:52 - 00:02:53] 他虽然不是二一
[00:02:53 - 00:02:54] 但是胜四二一
[00:02:54 - 00:02:56] 这么一所低调有实力的好大学
[00:02:56 - 00:02:58] 有意想的考生和家长吗
[00:02:58 - 00:02:59] 千万别错过了
