BV号：BV1xb411p7zs
标题：BV1xb411p7zs
链接：https://www.bilibili.com/video/BV1xb411p7zs
识别语言：zh
语言置信度：1
分段数：185
生成时间：2026-04-04 08:31:56

[00:00:00 - 00:00:03] 大家好,我是让学习变得更快乐的张雪峰老师
[00:00:03 - 00:00:06] 在2002年初,北京动物园的四眼园就发现
[00:00:06 - 00:00:08] 动物园里边有这么五只熊
[00:00:08 - 00:00:10] 哎呀,这吃不下也喝不下
[00:00:10 - 00:00:13] 按理来说,这个熊是一个很能吃的一个动物
[00:00:13 - 00:00:15] 它怎么吃不下,喝不下呢?
[00:00:15 - 00:00:17] 结果经过身体检查发现
[00:00:17 - 00:00:21] 这个熊从口腔到肛门都有着伤的痕迹
[00:00:21 - 00:00:25] 通过肩后路向就发现
[00:00:25 - 00:00:28] 在1月底和2月份都有这么一个人
[00:00:28 - 00:00:32] 往这个狗熊的这个栏子里面去投地饮料
[00:00:32 - 00:00:34] 明顯是狗熊在喝了這個飲料以後
[00:00:34 - 00:00:37] 才發生吃不下喝不下的這麼一個現象的
[00:00:37 - 00:00:39] 把這個人抓到以後一看
[00:00:39 - 00:00:39] 呵
[00:00:39 - 00:00:43] 這還是一個清華大學大四的學生叫劉某某
[00:00:43 - 00:00:44] 就問這個劉某某說
[00:00:44 - 00:00:47] 你為什麼給狗熊頭地下的飲料
[00:00:47 - 00:00:49] 這兩類的裝在到底是什麼呀
[00:00:49 - 00:00:51] 劉某某也如實的故述了
[00:00:51 - 00:00:51] 他說
[00:00:51 - 00:00:53] 我第一次給他頭的呢
[00:00:53 - 00:00:54] 是火箭和飲料的混合物
[00:00:54 - 00:00:55] 第二次頭的呢
[00:00:55 - 00:00:57] 是劉酸和飲料的混合物
[00:00:57 - 00:00:59] 我就想知道
[00:00:59 - 00:01:00] 我們小時候有種說法
[00:01:00 - 00:01:02] 叫做笨狗熊
[00:01:02 - 00:01:04] 这狗熊是不是真笨呢
[00:01:04 - 00:01:06] 他喝到这个有流酸的饮料
[00:01:06 - 00:01:08] 他还会继续喝吗
[00:01:08 - 00:01:09] 我就纳闷的
[00:01:09 - 00:01:11] 这哥们怎么口上情华的呀
[00:01:11 - 00:01:12] 但是说归说
[00:01:12 - 00:01:14] 这个人他毕竟是犯了罪的
[00:01:14 - 00:01:27] 那刘某到底犯的是哪一条罪呢
[00:01:27 - 00:01:27] 大家好
[00:01:27 - 00:01:29] 我是让学习变得更快乐的张雪峰老师
[00:01:29 - 00:01:32] 欢迎大家收看咱们法律气势很好玩
[00:01:32 - 00:01:33] 那坐在我身边的
[00:01:33 - 00:01:34] 是我们的法学专家
[00:01:34 - 00:01:35] 我们研途教育的千月老师
[00:01:35 - 00:01:36] 颜亚显老师
[00:01:36 - 00:01:38] 袁老师给大家打个招呼
[00:01:38 - 00:01:38] 大家好
[00:01:39 - 00:01:40] 哎呀 老师 我们刚才说到这个
[00:01:40 - 00:01:41] 清华大学的学生啊
[00:01:41 - 00:01:42] 刘某某
[00:01:42 - 00:01:44] 他去伤害那个黑熊
[00:01:44 - 00:01:45] 这个对吧
[00:01:45 - 00:01:47] 这个该怎么判
[00:01:48 - 00:01:49] 你觉得呢
[00:01:49 - 00:01:51] 我觉得在高材上
[00:01:51 - 00:01:51] 对吧
[00:01:51 - 00:01:52] 还还清华大学的学生
[00:01:52 - 00:01:53] 对吧
[00:01:53 - 00:01:54] 还还想验那种狗熊
[00:01:54 - 00:01:55] 问不问
[00:01:55 - 00:01:56] 我就这个笨人
[00:01:56 - 00:01:57] 笨人
[00:01:58 - 00:01:59] 你知道这种笨那么笨的人
[00:01:59 - 00:02:00] 你不得判个三五年呐
[00:02:00 - 00:02:01] 行
[00:02:01 - 00:02:02] 你拿什么罪判
[00:02:02 - 00:02:02] 啊
[00:02:03 - 00:02:04] 我拿什么罪判
[00:02:04 - 00:02:04] 对
[00:02:05 - 00:02:07] 啊那赶成我我判台几年
[00:02:07 - 00:02:09] 我还得看他到底犯了什么罪
[00:02:09 - 00:02:10] 我才能依到这个罪
[00:02:10 - 00:02:11] 然后判他多少年
[00:02:11 - 00:02:11] 对吧
[00:02:11 - 00:02:12] 对
[00:02:12 - 00:02:13] 任何一个行为
[00:02:13 - 00:02:16] 你要给人家认定为犯罪
[00:02:16 - 00:02:20] 必须先在刑法上找到相应的条款
[00:02:20 - 00:02:21] 才能定罪
[00:02:21 - 00:02:23] 这个就是刑法最重要的一个原则
[00:02:23 - 00:02:25] 罪刑法定
[00:02:25 - 00:02:25] 罪刑法定
[00:02:25 - 00:02:28] 就不能说杀了他就不行了
[00:02:28 - 00:02:31] 就是你得因为什么去判了罪
[00:02:31 - 00:02:32] 是吧
[00:02:32 - 00:02:33] 你就判了这个刑
[00:02:33 - 00:02:34] 对吧
[00:02:34 - 00:02:38] 那他这个行为叫有一个岁数叫什么叫
[00:02:38 - 00:02:40] 叫猎捕杀害野生动物
[00:02:40 - 00:02:41] 对吧
[00:02:41 - 00:02:42] 这熊野生动物
[00:02:42 - 00:02:44] 他虽然是被鸣阳写来了
[00:02:44 - 00:02:44] 但才是动物
[00:02:44 - 00:02:45] 对吧
[00:02:45 - 00:02:46] 这个这个岁数
[00:02:47 - 00:02:48] 行吗
[00:02:48 - 00:02:49] 嗯
[00:02:49 - 00:02:50] 猎捕了没有
[00:02:50 - 00:02:52] 不是他猎捕的
[00:02:52 - 00:02:53] 杀害了没有
[00:02:53 - 00:02:55] 他都没死
[00:02:55 - 00:02:56] 没死
[00:02:56 - 00:02:57] 他给他倒饮料的行为
[00:02:57 - 00:02:59] 是不是一个杀害
[00:02:59 - 00:02:59] 不是
[00:02:59 - 00:03:01] 那那那我们看我们这个案子啊
[00:03:01 - 00:03:02] 这个熊没死
[00:03:02 - 00:03:04] 他死了是不是就杀害了
[00:03:04 - 00:03:07] 我就问你他倒饮料的行为能不能杀害这个熊
[00:03:08 - 00:03:09] 他
[00:03:09 - 00:03:12] 反正一般弄狗熊好像是没有说
[00:03:12 - 00:03:15] 就让他喝饮料喝死的
[00:03:15 - 00:03:16] 所以
[00:03:16 - 00:03:18] 猎布用不了吧
[00:03:18 - 00:03:19] 杀害用不了吧
[00:03:19 - 00:03:23] 就只要他主观行为可能不一定要导致这个
[00:03:23 - 00:03:26] 事情 那就不算是这个杀害
[00:03:26 - 00:03:29] 对 你不能证明他有杀害的故意
[00:03:29 - 00:03:30] 那就不能认定为
[00:03:30 - 00:03:32] 那不是猎布杀害
[00:03:32 - 00:03:33] 就不能认定为伤害
[00:03:33 - 00:03:36] 那好,傷害動物,那有沒有傷害動物罪?
[00:03:36 - 00:03:37] 沒有,我們國家沒有
[00:03:38 - 00:03:41] 那,你看啊,動物園它賣票吧
[00:03:41 - 00:03:43] 對吧,它這個把拱修給傷害了以後的話
[00:03:43 - 00:03:46] 大家都沒法看拱修了,這破壞生產經營了這是
[00:03:46 - 00:03:48] 這破壞生產經營罪
[00:03:48 - 00:03:50] 呃,沾點邊了
[00:03:50 - 00:03:53] 但是呢,後來法官們發現呢
[00:03:53 - 00:03:56] 這個國家的動物園啊,它是公益性質的
[00:03:56 - 00:03:59] 它那個門票不是它的生產經營數
[00:03:59 - 00:04:02] 那假如說我們現在它弄傷的這個動物
[00:04:02 - 00:04:03] 他不是动物园的
[00:04:03 - 00:04:04] 假如说是马戚团的
[00:04:04 - 00:04:06] 这个就是破坏圣上进入罪
[00:04:07 - 00:04:08] 看来我这
[00:04:08 - 00:04:09] 那你看这动物
[00:04:09 - 00:04:11] 它是动物园的财物吧
[00:04:11 - 00:04:11] 对吧
[00:04:11 - 00:04:12] 这属于动物园嘛
[00:04:12 - 00:04:13] 对吧
[00:04:13 - 00:04:14] 那属于破坏财物罪
[00:04:15 - 00:04:16] 这个对吗
[00:04:17 - 00:04:18] 恭喜你下场
[00:04:18 - 00:04:19] 终于说对了
[00:04:19 - 00:04:19] 对吧
[00:04:19 - 00:04:20] 你看这财物罪
[00:04:20 - 00:04:21] 那这个
[00:04:21 - 00:04:23] 这个是个犯罪行为
[00:04:23 - 00:04:23] 对吧
[00:04:23 - 00:04:26] 罪叫故意毁坏财物罪
[00:04:26 - 00:04:27] 故意毁坏财物罪
[00:04:27 - 00:04:27] 对吧
[00:04:27 - 00:04:29] 那假如说我现在
[00:04:29 - 00:04:30] 我毁坏这个财物以后
[00:04:30 - 00:04:33] 我对这个财务实施了补偿,赔偿
[00:04:33 - 00:04:35] 那我这个还盼行吗?
[00:04:35 - 00:04:35] 盼
[00:04:35 - 00:04:36] 还盼行
[00:04:36 - 00:04:37] 对
[00:04:37 - 00:04:38] 还盼行
[00:04:38 - 00:04:39] Yes
[00:04:39 - 00:04:41] 因为犯罪已经计罪了
[00:04:41 - 00:04:44] 那假如我举个例子,比如说
[00:04:44 - 00:04:45] 我有钱
[00:04:45 - 00:04:46] 我特别有钱
[00:04:46 - 00:04:48] 哈哈哈,这是我的梦想
[00:04:48 - 00:04:49] 有一天我在大街上走
[00:04:50 - 00:04:51] 然后有个车就差点没撞着我
[00:04:52 - 00:04:54] 一个破车,我说你开车破车你
[00:04:54 - 00:04:55] 你有什么牛,对吧
[00:04:55 - 00:04:56] 我就把这车给砸了
[00:04:56 - 00:04:58] 你卸我心痛之分,对吧
[00:04:58 - 00:05:02] 他得撒30万,我给他40万,我用钱对吧
[00:05:02 - 00:05:05] 我不断点他赔了钱,我还多给了他10万
[00:05:05 - 00:05:07] 这个也犯罪
[00:05:07 - 00:05:10] 我赔了也犯罪
[00:05:10 - 00:05:12] 敦尖玉
[00:05:12 - 00:05:14] 那这敦几年了
[00:05:14 - 00:05:16] 我们以后再讲
[00:05:16 - 00:05:18] 我们下期再说
[00:05:18 - 00:05:21] 好吧,那我先把我敦几年这个事先留到以后再说
[00:05:21 - 00:05:25] 总之不管你给人判什么刑,要一罪定刑
[00:05:25 - 00:05:26] 对吧
[00:05:26 - 00:05:29] 好,那这就是我们本期法律,其实很好玩
[00:05:29 - 00:05:31] 我们下期再说,我要蹲几年
[00:05:31 - 00:05:32] 怎么那么乖呢
