BV号：BV1xt411Y7W8
标题：BV1xt411Y7W8
链接：https://www.bilibili.com/video/BV1xt411Y7W8
识别语言：zh
语言置信度：1
分段数：143
生成时间：2026-04-04 08:56:26

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:21 - 00:00:21] 大家好
[00:00:21 - 00:00:24] 我是让学习面的更快乐的张雪峰老师
[00:00:24 - 00:00:26] 欢迎大家走进本期的张老师课堂
[00:00:26 - 00:00:28] 那么这个视频在播出的时候是在周五
[00:00:28 - 00:00:31] 那么也就是明天和后天这两天时间
[00:00:31 - 00:00:33] 大家将走进考场
[00:00:33 - 00:00:36] 参加我们2019年入学年的全国研究生
[00:00:36 - 00:00:37] 赵无生的一个考试
[00:00:37 - 00:00:38] 那么大家的考试之前
[00:00:38 - 00:00:39] 都可能都听说了
[00:00:39 - 00:00:41] 说今年的考验人数比较多
[00:00:41 - 00:00:43] 达到了历史的最高点
[00:00:43 - 00:00:44] 将近290万
[00:00:44 - 00:00:46] 我希望大家能够放下这个包袱
[00:00:46 - 00:00:50] 因为我相信你们已经通过一年多的努力去复习考验
[00:00:50 - 00:00:53] 那么最终一定会收到一个比较好的结果
[00:00:53 - 00:00:56] 那么咱们本期张老师课堂的主要是想提醒大家一些
[00:00:56 - 00:00:59] 我们考验期间的注意事项
[00:00:59 - 00:01:03] 首先大家就是千万不要忘记带自己的各种各样的证明
[00:01:03 - 00:01:05] 比如像身份证 像总考证
[00:01:05 - 00:01:07] 这两个证大家千万不要忘记带
[00:01:07 - 00:01:09] 再要就是我们每年的考试时间
[00:01:09 - 00:01:11] 大家一定要去注意一下
[00:01:11 - 00:01:13] 是在我们的上午8点半和下午的两点
[00:01:13 - 00:01:16] 中间有五岁习惯的同学一定要记住
[00:01:16 - 00:01:18] 千万别睡过头
[00:01:18 - 00:01:20] 因为每年都有这样的同学
[00:01:20 - 00:01:21] 本来考得挺不错
[00:01:21 - 00:01:22] 结果睡过五觉
[00:01:22 - 00:01:24] 这一个五觉就毁所有
[00:01:24 - 00:01:25] 所以说大家你要知道
[00:01:25 - 00:01:27] 在我们考研期间
[00:01:27 - 00:01:28] 你要能睡着着
[00:01:28 - 00:01:30] 我也是真挺能佩服你的
[00:01:30 - 00:01:33] 那么上午第一课考完政治以后的话
[00:01:33 - 00:01:35] 希望大家在下午考英语之前
[00:01:35 - 00:01:36] 如果我是你的话
[00:01:36 - 00:01:38] 我一定不过去睡五觉
[00:01:38 - 00:01:39] 而是要好好看一看
[00:01:39 - 00:01:41] 我们英语的一些作文模板
[00:01:41 - 00:01:42] 而且的话
[00:01:42 - 00:01:45] 大家你要知道我們是連續兩天就考完了
[00:01:45 - 00:01:46] 所以說第一天晚上的時候
[00:01:46 - 00:01:49] 我建議大家真的在把專一課的真題
[00:01:49 - 00:01:50] 再好好的看一看
[00:01:50 - 00:01:52] 如果說你想看個數學的話
[00:01:52 - 00:01:53] 那你就翻一翻錯題本
[00:01:53 - 00:01:56] 盡量不要建議大家去所謂的作題
[00:01:56 - 00:01:58] 因為你一旦作題的話
[00:01:58 - 00:01:59] 萬一有那麼兩個題
[00:01:59 - 00:02:01] 你可能是不會做了
[00:02:01 - 00:02:03] 或者是忘了它具體的解題方法了
[00:02:03 - 00:02:06] 這個會影響到你整個的考驗心情
[00:02:06 - 00:02:08] 而且大家在考完第一天以後的話
[00:02:08 - 00:02:10] 個人建議就是不要去對英語
[00:02:10 - 00:02:12] 还有这个政治的这个答案
[00:02:12 - 00:02:14] 因为你对问答案以后的话
[00:02:14 - 00:02:15] 说实话那个答案
[00:02:15 - 00:02:16] 他准确不准确都很难说
[00:02:16 - 00:02:18] 你对问答案以后的话
[00:02:18 - 00:02:19] 会影响你整个的心情
[00:02:19 - 00:02:21] 那么考试结束以后的话
[00:02:21 - 00:02:24] 大家可以先对稍微先放松一下
[00:02:24 - 00:02:26] 因为有很多同学可能是先考研
[00:02:26 - 00:02:27] 考完研以后的话马上就要参加
[00:02:27 - 00:02:30] 这个大四上学期的这个期末考试了
[00:02:30 - 00:02:33] 那么如果说你要是期末考试当中
[00:02:33 - 00:02:33] 考不好的话
