BV号：BV1yE411879E
标题：BV1yE411879E
链接：https://www.bilibili.com/video/BV1yE411879E
识别语言：zh
语言置信度：1
分段数：346
生成时间：2026-04-04 05:51:28

[00:00:02 - 00:00:04] 他们说要找一个设施品的见证人家
[00:00:05 - 00:00:06] 我以为啊
[00:00:07 - 00:00:08] 应该是个美女
[00:00:09 - 00:00:10] 你们作为这种设施品见证师
[00:00:10 - 00:00:12] 你们怎么看待这种设施品呢
[00:00:12 - 00:00:14] 就是买的人才是
[00:00:14 - 00:00:15] 这是面子呀
[00:00:15 - 00:00:18] 我觉得这个其实是一件很正常的事情
[00:00:18 - 00:00:19] 你要是当小偷
[00:00:19 - 00:00:20] 你也得提高一下这个
[00:00:20 - 00:00:23] 哎 你说你要当小偷冲为镜头所
[00:00:23 - 00:00:23] 不要冲着我
[00:00:24 - 00:00:26] 我这点不能当小偷
[00:00:39 - 00:00:40] 大家好
[00:00:40 - 00:00:42] 欢迎收看小星独逼脱口秀大开眼界
[00:00:42 - 00:00:44] 我是让学习变得更快乐的张雪冯老师
[00:00:44 - 00:00:47] 我们今天请到的嘉宾的比较牛
[00:00:47 - 00:00:48] 而且有点特殊
[00:00:48 - 00:00:52] 他是咱们国内的一个知名的奢侈品鉴定专家
[00:00:52 - 00:00:53] 张生老师
[00:00:53 - 00:00:54] 张老师给大家打个招呼
[00:00:54 - 00:00:55] 哈喽大家好
[00:00:55 - 00:00:55] 哎
[00:00:55 - 00:00:56] 张老师说实话
[00:00:56 - 00:00:58] 我在录这个节目之前啊
[00:00:58 - 00:01:01] 就是他们说要找一个奢侈品的鉴定专家
[00:01:01 - 00:01:01] 嗯
[00:01:01 - 00:01:02] 我以为啊
[00:01:02 - 00:01:03] 嗯
[00:01:03 - 00:01:04] 应该是个美女
[00:01:04 - 00:01:05] 哈哈哈
[00:01:05 - 00:01:07] 我觉得好像是就是喜欢奢侈品
[00:01:07 - 00:01:09] 然后对这个东西很感兴趣的
[00:01:09 - 00:01:11] 好像大多数是女生比较多
[00:01:11 - 00:01:13] 你像男生一般你话说
[00:01:13 - 00:01:15] 什么包包啊烂什么包包的
[00:01:15 - 00:01:16] 女生的包包就特别多
[00:01:16 - 00:01:19] 你怎么想起来做摄影店建订这个行业
[00:01:19 - 00:01:21] 这个一说就说来话长了
[00:01:21 - 00:01:24] 其实我最开始是在日本的时候
[00:01:24 - 00:01:26] 开始对这个摄影店慢慢的有兴趣
[00:01:26 - 00:01:27] 是因为买到假货了吗
[00:01:27 - 00:01:28] 也不是
[00:01:28 - 00:01:32] 是因为那个时候大概在10年11年那时候
[00:01:32 - 00:01:35] 当时经常会从日本买一些东西
[00:01:35 - 00:01:37] 然后也做做代购的敷业
[00:01:37 - 00:01:39] 日本的假货虽然不多
[00:01:39 - 00:01:41] 但是它是你在货品流通中的一个
[00:01:41 - 00:01:43] 算是一个必备的能力吧
[00:01:43 - 00:01:47] 所以当时我也是在日本抱了很多的班去上了
[00:01:47 - 00:01:49] 一晚上有这样的班
[00:01:49 - 00:01:49] 对
[00:01:49 - 00:01:51] 他那个时候是有鉴定的能力的培训班的
[00:01:51 - 00:01:52] 哎呦
[00:01:52 - 00:01:55] 那你平时就是你们的主要工作就是
[00:01:55 - 00:01:58] 别人给你拿个包或者说拿一个什么名牌
[00:01:58 - 00:02:00] 然后让你看一下这个真尾
[00:02:00 - 00:02:01] 对
[00:02:01 - 00:02:01] 对
[00:02:01 - 00:02:02] 主要就是这个工作
[00:02:02 - 00:02:02] 对
[00:02:02 - 00:02:03] 主要一个是真尾
[00:02:03 - 00:02:05] 还有一个就是价值
[00:02:05 - 00:02:05] 价值
[00:02:05 - 00:02:06] 对
