BV号：BV1zf4y1a7p1
标题：BV1zf4y1a7p1
链接：https://www.bilibili.com/video/BV1zf4y1a7p1
识别语言：zh
语言置信度：1
分段数：87
生成时间：2026-04-04 00:15:51

[00:00:00 - 00:00:01] 就知道大家在清海
[00:00:02 - 00:00:03] 他可能在清海
[00:00:03 - 00:00:04] 我问大家这两个学校
[00:00:04 - 00:00:06] 一个是航空部阵历这大学
[00:00:06 - 00:00:07] 一个是清海大学
[00:00:08 - 00:00:10] 航空部阵历这大学不是双一楼
[00:00:10 - 00:00:12] 清海大学是双一楼
[00:00:12 - 00:00:13] 还是一楼学科
[00:00:13 - 00:00:14] 问大家一个问题
[00:00:14 - 00:00:16] 你那儿还得去航空部还是还得去清海
[00:00:18 - 00:00:20] 哎为什么没有选清海呢
[00:00:21 - 00:00:22] 太远了
[00:00:22 - 00:00:22] 太高了
[00:00:22 - 00:00:23] 太冷了
[00:00:23 - 00:00:23] 对吧
[00:00:23 - 00:00:24] 但是各位家长
[00:00:24 - 00:00:25] 各位保证你记录
[00:00:25 - 00:00:27] 这种二二一九八五双一楼的时候
[00:00:27 - 00:00:29] 在你考虑一些问题的时候
[00:00:29 - 00:00:29] 你要考虑进去
[00:00:29 - 00:00:31] 他可能会是你更好的选择
[00:00:32 - 00:00:33] 首先第一大家你要知道
[00:00:33 - 00:00:36] R-1985双叶楼这种高校在有一个事上
[00:00:36 - 00:00:37] 是比例很高的
[00:00:37 - 00:00:39] 这个事叫做保研
[00:00:40 - 00:00:41] 推免研究生
[00:00:41 - 00:00:44] 一个学生推免研究生的资格
[00:00:44 - 00:00:45] 怎么认定的
[00:00:45 - 00:00:47] 是根据这个学校的板子认定的
[00:00:47 - 00:00:49] 不是根据这个学校这个专业好坏认定的
[00:00:49 - 00:00:50] 大家能理解吗
[00:00:51 - 00:00:52] 你比如说中国石油大学华工
[00:00:52 - 00:00:53] 这是R-21
[00:00:54 - 00:00:56] 山东海国学校叫山东石分大学
[00:00:56 - 00:00:57] 我问大家一个问题
[00:00:57 - 00:00:58] 中文这个专业中国石油大学好
[00:00:58 - 00:00:59] 还是山东石分大学好
[00:00:59 - 00:01:01] 肯定是山中西藍嘛
[00:01:01 - 00:01:03] 你那把石油的怎么中文专言的好点去
[00:01:03 - 00:01:04] 对不对
[00:01:04 - 00:01:05] 但是我告诉你
[00:01:05 - 00:01:07] 最后在保研这个阶段
[00:01:07 - 00:01:09] 中国石油大学保研率就高
[00:01:09 - 00:01:12] 他就有几个学校的学生就有资格
[00:01:12 - 00:01:14] 去保证到北大这样的学校
[00:01:14 - 00:01:16] 而山中村大学就没有这样的资格
[00:01:16 - 00:01:17] 为什么
[00:01:17 - 00:01:18] 因为他不是二二一
[00:01:18 - 00:01:19] 也不是说一流
[00:01:19 - 00:01:20] 大家能理解吗
[00:01:20 - 00:01:21] 第二
[00:01:21 - 00:01:22] 你们有兴趣的话
[00:01:22 - 00:01:23] 随便在网上搜一个东西
[00:01:23 - 00:01:24] 叫做什么
[00:01:24 - 00:01:25] 叫做人才引进
[00:01:25 - 00:01:26] 大家要知道
[00:01:26 - 00:01:28] 现在各个城市都在做一个叫人才引进计划
[00:01:28 - 00:01:31] 这个人才引进的话是谁引进
[00:01:31 - 00:01:32] 政府引进人才能明白吗
[00:01:32 - 00:01:35] 政府引进怎么判定这个人是不是人才
[00:01:35 - 00:01:38] 你的本科院校是不是221和双一楼
[00:01:38 - 00:01:39] 所以说各位都加点
[00:01:39 - 00:01:41] 如果说你的讨生将来
[00:01:41 - 00:01:46] 你压到海的将来有想法说我想走公园
[00:01:46 - 00:01:48] 但我又不太想讨
[00:01:48 - 00:01:50] 那你本科是221和双一楼
[00:01:50 - 00:01:51] 这个东西在引进人才上
[00:01:51 - 00:01:53] 这个好使
[00:01:53 - 00:01:54] 你本科不是221不是双一楼
[00:01:54 - 00:01:55] 这就不好使
[00:01:55 - 00:01:56] 大家能理解吗
[00:01:56 - 00:01:57] 第三点各位家长
[00:01:57 - 00:01:58] 各位好生
[00:01:58 - 00:01:59] 如果说将来你有出国的想法
[00:01:59 - 00:02:01] 你想去什么样的学校
[00:02:01 - 00:02:02] 如果说将来大家在出国的时候
[00:02:02 - 00:02:05] 会想去那种超一流的名校
[00:02:06 - 00:02:09] 那么超一流名校在任何咱们国家本盘面校的时候
[00:02:09 - 00:02:11] 会看中这个学校
[00:02:11 - 00:02:11] 是不是要212
[00:02:11 - 00:02:12] 是不是成一个
[00:02:13 - 00:02:14] 所以说你在这三点考练上
[00:02:14 - 00:02:15] 有考练的话
[00:02:15 - 00:02:17] 你最好选一个212或成一个
[00:02:17 - 00:02:19] 如果你这三点考练上没有的话
[00:02:19 - 00:02:20] 你在小小的那里可就打结了
[00:02:20 - 00:02:21] 大家一定意见了
