BV号：BV1zu411v7c2
标题：BV1zu411v7c2
链接：https://www.bilibili.com/video/BV1zu411v7c2
识别语言：zh
语言置信度：1
分段数：54
生成时间：2026-04-03 19:56:58

[00:00:00 - 00:00:03] 让张老师之呼也请回离名场面
[00:00:03 - 00:00:04] 你都见过几个
[00:00:04 - 00:00:06] 看看当年我张老师的成名作
[00:00:06 - 00:00:08] 你们有多少人看过
[00:00:08 - 00:00:10] 七分钟解读34所自主发现的笑
[00:00:10 - 00:00:12] 大家看过这段视频吗
[00:00:12 - 00:00:15] 我说在中国有34个学校可以自主发现
[00:00:15 - 00:00:17] 这34个学校分别是北京的
[00:00:17 - 00:00:18] 千花百代人大
[00:00:18 - 00:00:18] 北市大
[00:00:18 - 00:00:18] 北上北林工
[00:00:18 - 00:00:19] 中文的文学大学
[00:00:19 - 00:00:20] 天津的天大
[00:00:20 - 00:00:21] 南开山东的山东大学
[00:00:21 - 00:00:22] 南京的南京大学
[00:00:22 - 00:00:23] 东南大学
[00:00:23 - 00:00:24] 上海的上交道同学和负担
[00:00:24 - 00:00:26] 浙江的浙江大学
[00:00:26 - 00:00:27] 福建的下面大学
[00:00:27 - 00:00:28] 广东的中山大学
[00:00:28 - 00:00:28] 黄南的
[00:00:28 - 00:00:29] 湖南的湖南大学 中南大学
[00:00:29 - 00:00:31] 黑东京的韩国大 吉林的吉大
[00:00:31 - 00:00:32] 大连的大连领工 咸的东北大学
[00:00:32 - 00:00:33] 安徽的中国科技大
[00:00:33 - 00:00:35] 咸的咸教大学 北宫大
[00:00:35 - 00:00:36] 四川的四川川大
[00:00:36 - 00:00:37] 电子科技大
[00:00:37 - 00:00:38] 重庆大学
[00:00:38 - 00:00:39] 还有一个被称为中国最委屈的大学
[00:00:39 - 00:00:41] 它的名字叫做篮球大学
[00:00:41 - 00:00:41] 对不对
[00:00:41 - 00:00:41] 来
[00:00:41 - 00:00:42] 我就可以有点
[00:00:42 - 00:00:43] 对
[00:00:43 - 00:00:45] 重庆我在恒某中讲过
[00:00:45 - 00:00:45] 对吧
[00:00:45 - 00:00:45] 其实就是
[00:00:45 - 00:00:46] 对
[00:00:46 - 00:00:48] 然后讲个一个事情
[00:00:48 - 00:00:49] 各位家长
[00:00:49 - 00:00:50] 如果孩子不好学习的话
[00:00:50 - 00:00:53] 你带他到四个地方看一看
[00:00:53 - 00:00:53] 就是刚才我已经说的
[00:00:53 - 00:00:55] 你带孩子到四个地方看一看
[00:00:58 - 00:01:00] 三高铁站四飞机场
[00:01:00 - 00:01:01] 来看过这个的
[00:01:01 - 00:01:02] 扣过二
[00:01:02 - 00:01:03] 爷亲回
[00:01:03 - 00:01:05] 哈哈哈哈是吧
[00:01:05 - 00:01:08] 张老师令营印象审课的名场面
[00:01:08 - 00:01:09] 你还记得几个
[00:01:09 - 00:01:11] 来评问区留下你
[00:01:11 - 00:01:12] 你爷亲回
