BV号：BV1zuCMBhET2
标题：BV1zuCMBhET2
链接：https://www.bilibili.com/video/BV1zuCMBhET2
识别语言：zh
语言置信度：1
分段数：136
生成时间：2026-04-03 03:40:40

[00:00:00 - 00:00:01] 法学这个专业他是这样子的
[00:00:01 - 00:00:02] 他就业的是这样子的
[00:00:02 - 00:00:03] 家的
[00:00:03 - 00:00:04] 正常来讲的话是要口工
[00:00:04 - 00:00:05] 口工的话
[00:00:05 - 00:00:07] 就是你要首先第一呢
[00:00:07 - 00:00:08] 就是要过历史职业资格证
[00:00:08 - 00:00:10] 法学这个专业所谓的年年就业率
[00:00:10 - 00:00:11] 被调查
[00:00:11 - 00:00:12] 而是因为法学这个专业
[00:00:12 - 00:00:14] 他在就业的时候有一个前提条件
[00:00:14 - 00:00:16] 不是你学法学就能当律师
[00:00:16 - 00:00:18] 而是你得过律师职业资格证
[00:00:18 - 00:00:19] 才能当律师
[00:00:19 - 00:00:20] 但是不学法学
[00:00:20 - 00:00:22] 你就没有资格考律师职业资格证
[00:00:22 - 00:00:25] 这是考律师职业资格证的前提
[00:00:25 - 00:00:26] 除非说你不学法学
[00:00:26 - 00:00:27] 还想同时法律力工作
[00:00:27 - 00:00:30] 研究方阶段考一个中期叫法朔
[00:00:30 - 00:00:30] 也可以
[00:00:30 - 00:00:32] 但是的话你就考研就必须考法朔
[00:00:32 - 00:00:33] 这个叫做非
[00:00:33 - 00:00:35] 我们法学研究方分成三种
[00:00:35 - 00:00:38] 叫做法学法朔
[00:00:38 - 00:00:41] 非法学法朔和法学朔识
[00:00:41 - 00:00:43] 可能说到这大家有的时候就当招呼认定了
[00:00:43 - 00:00:44] 叫法学法朔
[00:00:44 - 00:00:46] 非法学法朔和法学朔识
[00:00:46 - 00:00:49] 法学法朔和法学朔识的前提条件是
[00:00:49 - 00:00:50] 你本科必须为法律
[00:00:50 - 00:00:53] 非法学法朔是你本科学的专业不是法学
[00:00:53 - 00:00:55] 所以说它叫非法学法朔
[00:00:55 - 00:00:56] 然后的话
[00:00:56 - 00:00:59] 因为律师职业职业资格证这个玩意本身不是说
[00:00:59 - 00:01:00] 所有学法学的同学都能过呢
[00:01:00 - 00:01:02] 他过关率就20%
[00:01:02 - 00:01:03] 所以说你学法学
[00:01:03 - 00:01:06] 所谓的就业率跟你过律师职业职业资格证的比例
[00:01:06 - 00:01:07] 几乎是相等的
[00:01:07 - 00:01:09] 这是第一点 第二点
[00:01:09 - 00:01:10] 然后口供
[00:01:10 - 00:01:11] 你要想口供的话
[00:01:11 - 00:01:13] 基层法检系统是年年招人的
[00:01:13 - 00:01:15] 家长 基层法检系统是年年招人的
[00:01:15 - 00:01:16] 但是法检系统的话
[00:01:16 - 00:01:18] 工作相对比较辛苦
[00:01:18 - 00:01:19] 但是工作还不够
[00:01:19 - 00:01:20] 因为你在体制内的话
[00:01:20 - 00:01:21] 这工资数上限的
[00:01:21 - 00:01:23] 但是工作辛苦程度呢
[00:01:23 - 00:01:27] 你得为我们人民提供满意的法律服务
[00:01:27 - 00:01:27] 然后的话
[00:01:27 - 00:01:28] 你抽手说我到体之外
[00:01:28 - 00:01:30] 你到体之外你干什么工作呢
[00:01:30 - 00:01:31] 你抽手说我要当律师
[00:01:31 - 00:01:32] 当律师的前提条件是
[00:01:32 - 00:01:33] 你都有律师失误所
[00:01:33 - 00:01:34] 律师失误所的话
[00:01:34 - 00:01:37] 加上你要知道各个地方律师失误所招人
[00:01:37 - 00:01:38] 基本上都是个位数
[00:01:38 - 00:01:39] 红圈所
[00:01:39 - 00:01:40] 红圈所就是大所
[00:01:40 - 00:01:42] 就是很大很大的律师失误所
[00:01:42 - 00:01:45] 它在一个红圈所招人招的全是个位数
[00:01:45 - 00:01:46] 尤其是招应接生
[00:01:46 - 00:01:48] 基本上招的都是个位数
[00:01:48 - 00:01:49] 就基本上比如说
[00:01:49 - 00:01:49] 我一个红圈所
[00:01:49 - 00:01:51] 我今年我可能就招三个人
[00:01:51 - 00:01:52] 可能招两个人
[00:01:52 - 00:01:54] 就基本上招的全是个位数
[00:01:54 - 00:01:56] 然后招的三个人招的两个人的话
[00:01:56 - 00:01:57] 那你就
[00:01:57 - 00:01:58] 你就看命吧
[00:01:58 - 00:02:00] 你你的能力特别强
[00:02:00 - 00:02:02] 要么就是说你家里边有一些资源
[00:02:02 - 00:02:03] 能给你送到今天会去
[00:02:03 - 00:02:04] 然后的话
[00:02:04 - 00:02:05] 刚才我家长大言不财能说
[00:02:05 - 00:02:06] 张老师
[00:02:06 - 00:02:08] 我可以去公司当法务
[00:02:08 - 00:02:09] 企业当中确决
[00:02:09 - 00:02:11] 是谁有专门的法律类的岗位
[00:02:11 - 00:02:11] 叫做法务
[00:02:11 - 00:02:12] 叫做法务
[00:02:12 - 00:02:14] 但是家长法务从来不着意
[00:02:14 - 00:02:16] 法务从来不着意
[00:02:16 - 00:02:18] 你建哪个单位招法务
[00:02:18 - 00:02:19] 正常来讲的话
[00:02:19 - 00:02:21] 如果说是央国企的话
[00:02:21 - 00:02:24] 他为了完成上面给的就业的指标任务
[00:02:24 - 00:02:27] 他很可能会去招一个或者招两个
[00:02:27 - 00:02:29] 但是招一个招两个家长这个事
[00:02:29 - 00:02:31] 对吧这个东西你就很难说
[00:02:31 - 00:02:32] 招一个招两个
[00:02:32 - 00:02:33] 他招的是不是你呢
[00:02:33 - 00:02:34] 就另外一个问题了
[00:02:34 - 00:02:35] 好吧
[00:02:35 - 00:02:37] 如果说正常企业当中
[00:02:37 - 00:02:38] 你比如拿我们公司的举例子
[00:02:38 - 00:02:40] 因为我们公司现在也很大
[00:02:40 - 00:02:42] 然后的话我们下个月
[00:02:42 - 00:02:43] 可能还要成立两家新的公司
[00:02:43 - 00:02:45] 我们公司肯定会需要房子
[00:02:45 - 00:02:47] 因为我们现在我们集团
[00:02:47 - 00:02:49] 十体以下的公司就已经七八个了
[00:02:49 - 00:02:50] 然后再成立两个
[00:02:50 - 00:02:52] 可能我们要管的公司就十几个
[00:02:52 - 00:02:54] 那每一个公司有各个公司的法律合同
[00:02:54 - 00:02:56] 各种干专业务
[00:02:56 - 00:02:57] 但是我们招法务
[00:02:57 - 00:02:59] 你觉得我会招一个应接生吗
[00:02:59 - 00:03:01] 我肯定会招一个有经验的人
[00:03:01 - 00:03:02] 我干嘛招一个应接生呢
[00:03:02 - 00:03:04] 律师搜索你不想干律师的
[00:03:04 - 00:03:06] 你想稳稳当当上班的来我们公司
[00:03:06 - 00:03:09] 你原来在法检系统比较累的
