BV号：BV1zw4m1e79y
标题：BV1zw4m1e79y
链接：https://www.bilibili.com/video/BV1zw4m1e79y
识别语言：zh
语言置信度：1
分段数：109
生成时间：2026-04-03 09:45:18

[00:00:00 - 00:00:02] 今天要给大家介绍的高校有很多光环
[00:00:02 - 00:00:05] 985、221、双一流、国防、棋子等等
[00:00:05 - 00:00:08] 这所高校就是北京航空航天大学
[00:00:08 - 00:00:09] 顾名思义
[00:00:09 - 00:00:12] 北航的航空航天转眼那是全国第一
[00:00:12 - 00:00:13] 这是全球第一
[00:00:13 - 00:00:13] 这个呢
[00:00:13 - 00:00:15] 毋庸置疑也当之无愧
[00:00:15 - 00:00:16] 同时呢
[00:00:16 - 00:00:17] 当下的北航啊
[00:00:17 - 00:00:19] 也成为了顶尖工科、医留理科、
[00:00:19 - 00:00:23] 精品文科、优势医工的综合性高校
[00:00:23 - 00:00:25] 航空航天、信息、理科、文科
[00:00:25 - 00:00:29] 医工交叉五大学科学院建设成效
[00:00:29 - 00:00:30] 那是非常显著的
[00:00:30 - 00:00:33] 在这方面相信大家通过各种新闻和各种报道
[00:00:33 - 00:00:35] 也都能够切实的感受得到
[00:00:35 - 00:00:36] 举个例子
[00:00:36 - 00:00:37] 从学科来看
[00:00:37 - 00:00:39] 北航共有7个A加学科
[00:00:39 - 00:00:40] 8个双一流学科
[00:00:40 - 00:00:42] 北航在航空与航
[00:00:42 - 00:00:43] 仪器 材料 软件
[00:00:43 - 00:00:46] 控制 计算机 力学 交通 管理
[00:00:46 - 00:00:47] 生医等学科领域
[00:00:47 - 00:00:49] 都具有引领优势
[00:00:49 - 00:00:50] 国防科技主干学科
[00:00:50 - 00:00:52] 稳居国内一流学评
[00:00:52 - 00:00:55] 同时北航的外国语言文学科
[00:00:55 - 00:00:57] 公共管理也都是A力学科
[00:00:57 - 00:01:00] 这个官方认证的韩金亮应该是不用我多说的
[00:01:00 - 00:01:02] 可谓是专业无短版
[00:01:02 - 00:01:05] 同时人家的人才培养的也很有自己的一套
[00:01:05 - 00:01:09] 了解的家长应该都知道北行以学访好而出名
[00:01:09 - 00:01:14] 从高考开始大类招生分社航空航天信息理科和文科
[00:01:14 - 00:01:15] 四个大类专业
[00:01:15 - 00:01:16] 第一年大类培养
[00:01:16 - 00:01:17] 一年级结束
[00:01:17 - 00:01:21] 学生在大类内进一步选择自己心仪的专业进行学习
[00:01:21 - 00:01:25] 这给了很多不知道该学什么的学生很大的自主性
[00:01:25 - 00:01:27] 融措率是相当高
[00:01:27 - 00:01:28] 大二上学期结束后
[00:01:28 - 00:01:31] 每个学期都可以自由申请
[00:01:31 - 00:01:32] 跨大类传专业
[00:01:32 - 00:01:35] 但是如果你有特别明确
[00:01:35 - 00:01:36] 想学的网牌专业
[00:01:36 - 00:01:38] 北航也为你量身定制了
[00:01:38 - 00:01:40] 10个本博惯通实验班
[00:01:40 - 00:01:41] 敲黑板
[00:01:41 - 00:01:43] 本博一体10个
[00:01:43 - 00:01:44] 据我所知
[00:01:44 - 00:01:45] 这里边就包含了
[00:01:45 - 00:01:47] 2024年新增的飞行器
[00:01:47 - 00:01:47] 动力工程
[00:01:47 - 00:01:49] 网络空间安全
[00:01:49 - 00:01:50] 微电子科学与工程
[00:01:50 - 00:01:52] 人工智能这4个实验班
[00:01:52 - 00:01:54] 迷人都能看得出来
[00:01:54 - 00:01:55] 那可是唯道恰不自技术
[00:01:55 - 00:01:58] 适应国家紧缺人才专业领域建设需求
[00:01:58 - 00:02:01] 并且针对关键战略而开设的
[00:02:01 - 00:02:04] 毕业之后的前景那就不用我多说了
[00:02:04 - 00:02:05] 除了这四个班以外
[00:02:05 - 00:02:09] 北航还有未来空天领军计划和八点计划
[00:02:09 - 00:02:11] 同样也是本国贯通八年制的培养
[00:02:11 - 00:02:13] 完全省去了中间的升学压力
[00:02:13 - 00:02:15] 现在考验压力多大
[00:02:15 - 00:02:17] 简直是一通百通
[00:02:17 - 00:02:18] 说到升学压力
[00:02:18 - 00:02:21] 这也是考生和家长最为关心的一点
[00:02:21 - 00:02:23] 北航的升学率一直高位稳定
