BV号：BV1zx411y7Dh
标题：BV1zx411y7Dh
链接：https://www.bilibili.com/video/BV1zx411y7Dh
识别语言：zh
语言置信度：1
分段数：266
生成时间：2026-04-04 13:25:24

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:10 - 00:00:12] 好 欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:15 - 00:00:17] 女的读
[00:00:17 - 00:00:19] 男的一般都不读博士
[00:00:19 - 00:00:21] 知道吗 说为什么呀
[00:00:21 - 00:00:22] 不说是个世界三个性别的人吗
[00:00:22 - 00:00:24] 男人女人 女博士是吧
[00:00:24 - 00:00:26] 那为什么还有那么多人去读博士啊
[00:00:26 - 00:00:28] 这个大家解释一下 同学
[00:00:28 - 00:00:29] 男生一般在考研完以后
[00:00:29 - 00:00:31] 一般是不读博士的 为什么呀
[00:00:31 - 00:00:32] 同学你自己去想啊
[00:00:32 - 00:00:33] 你做一个男人 对吧
[00:00:33 - 00:00:34] 你做一个男人
[00:00:34 - 00:00:35] 你做一个大老爷们
[00:00:35 - 00:00:37] 你他们快算实在不挣钱
[00:00:37 - 00:00:37] 还去上学
[00:00:38 - 00:00:39] 哪女人跟你讲
[00:00:39 - 00:00:40] 你还找女朋友呢你
[00:00:40 - 00:00:41] 你找个男朋友算了你知道吗
[00:00:41 - 00:00:43] 但是女同学就不一样了
[00:00:43 - 00:00:45] 因为女同学考了博士以后
[00:00:45 - 00:00:47] 你们就走向了另外一个非常非常的问题
[00:00:47 - 00:00:48] 跟着公博岗位
[00:00:48 - 00:00:49] 干嘛回老
[00:00:49 - 00:00:50] 大学老师
[00:00:50 - 00:00:52] 大家发现大学老师的功能感
[00:00:52 - 00:00:53] 问题不问题
[00:00:53 - 00:00:54] 和问题吧
[00:00:54 - 00:00:56] 一周上不了季节课对吧
[00:00:56 - 00:00:58] 上次和夏克跑的比女孩困
[00:00:58 - 00:01:00] 你也能点不放
[00:01:00 - 00:01:01] 对不对
