BV号：BV1aE411k7oh
标题：BV1aE411k7oh
链接：https://www.bilibili.com/video/BV1aE411k7oh
识别语言：zh
语言置信度：1
分段数：425
生成时间：2026-04-04 06:09:02

[00:00:00 - 00:00:02] 大家好 我上學習變得更快樂的張雪鋒老師
[00:00:02 - 00:00:06] 在2019年10月10號的晚上6點10分左右
[00:00:06 - 00:00:09] 在無期發生了一起重大的一個交通事故
[00:00:09 - 00:00:13] 那麼一個滿載著貨物的一個大貨車
[00:00:13 - 00:00:15] 在無期的某高架橋上行駛的時候
[00:00:15 - 00:00:18] 居然將這個高架橋給壓塌了
[00:00:18 - 00:00:21] 造成了橋下三輛轎車被砸
[00:00:21 - 00:00:24] 也造成了三人死亡兩人重傷的一個後果
[00:00:24 - 00:00:27] 那麼像這種重大的責任安全事故的話
[00:00:27 - 00:00:30] 那么相应的司机和政府的监管部门
[00:00:30 - 00:00:32] 要承担怎样的责任呢
[00:00:32 - 00:00:34] 这就是我们本期要跟大家讨论的话题
[00:00:43 - 00:00:43] 大家好
[00:00:43 - 00:00:45] 我是要学习变得更快乐的张雪宏老师
[00:00:45 - 00:00:47] 欢迎大家收看本期的法律其实很好玩
[00:00:47 - 00:00:51] 那么我们本期请到的嘉宾依然是我们研途教育的千月老师
[00:00:51 - 00:00:52] 我们的袁亚侠老师
[00:00:52 - 00:00:53] 袁老师跟大家打个招呼
[00:00:53 - 00:00:54] 好 大家好
[00:00:55 - 00:00:55] 袁老师
[00:00:55 - 00:00:57] 我们本期讨论的这个案子
[00:00:57 - 00:01:00] 说实话跟我们的主题不太相符
[00:01:00 - 00:01:01] 这确实没有那么很沉重的
[00:01:01 - 00:01:03] 很沉重的一部话题
[00:01:03 - 00:01:05] 当时这个案子出来以后的话
[00:01:05 - 00:01:07] 当今晚上我看了一下微博热搜前几名
[00:01:07 - 00:01:09] 都是跟这个案子是有关系的
[00:01:09 - 00:01:12] 而且它造成了三人死亡两人受伤的一个严重后果
[00:01:12 - 00:01:15] 而且其中的一个死者我看了一下新闻
[00:01:15 - 00:01:16] 还是一个担心的爸爸
[00:01:16 - 00:01:17] 担心爸爸
[00:01:17 - 00:01:18] 对
[00:01:18 - 00:01:19] 他女儿上出三
[00:01:19 - 00:01:23] 就是在中考的一个非常非常关键的阶段遇到这个事情
[00:01:23 - 00:01:25] 那像这样的一个事情的话
[00:01:25 - 00:01:27] 那相关的责任方都有谁
[00:01:27 - 00:01:29] 那他们又承担怎样的责任呢
[00:01:30 - 00:01:30] 好
[00:01:30 - 00:01:31] 这个案子是这样
[00:01:31 - 00:01:36] 首先大家一開始在橋塌了之後
[00:01:36 - 00:01:38] 大家都認為是橋的問題
[00:01:38 - 00:01:40] 是豆腐渣工程
[00:01:40 - 00:01:44] 那麼後來經過初步調查發現什麼呢
[00:01:44 - 00:01:46] 這個橋問題還不大
[00:01:46 - 00:01:48] 問題大的是這個車
[00:01:48 - 00:01:50] 這個是一輛大貨車
[00:01:50 - 00:01:53] 在高架橋附近有兩個鋼材市場
[00:01:53 - 00:01:54] 然後有一個大貨車
[00:01:54 - 00:01:56] 是個家常的大貨車
[00:01:56 - 00:01:57] 它拉著鋼卷
[00:01:57 - 00:01:59] 就是那種薄皮的一卷卷的鋼卷
[00:01:59 - 00:02:01] 然后这个钢卷呢
[00:02:01 - 00:02:04] 它的车呢是应载65吨
[00:02:04 - 00:02:06] 它实在187吨
[00:02:06 - 00:02:07] 300%的超载
[00:02:07 - 00:02:10] 然后呢你知道那个高架桥它的那个造型是这样
[00:02:10 - 00:02:12] 就这是桥面 底下是桥吨
[00:02:12 - 00:02:15] 然后大货车都是靠侧面形式
[00:02:15 - 00:02:17] 结果它呢就是这么太狠
[00:02:17 - 00:02:19] 就等于把桥板压翻了
[00:02:19 - 00:02:21] 对 它是这样压翻来翻到下面去的
[00:02:21 - 00:02:23] 所以翻下去以后就说
[00:02:23 - 00:02:26] 从这样来看就这次事故的主要原因
[00:02:26 - 00:02:27] 是这个司机
[00:02:27 - 00:02:28] 它的超载行为
[00:02:28 - 00:02:31] 对 超载行为 有的时候我们在高速上行驶时候
[00:02:31 - 00:02:34] 判断了大货都挺吓人的 对对对
[00:02:34 - 00:02:36] 这个大家经常讲一个话就说
[00:02:36 - 00:02:38] 你在高速上要远离大货车
[00:02:38 - 00:02:41] 但其实我觉得现在很难
[00:02:41 - 00:02:44] 因为它一路就在你旁边要那么多大货车
[00:02:44 - 00:02:45] 我就感觉你叫我远离大货车
[00:02:45 - 00:02:46] 我根本不可能远离
[00:02:46 - 00:02:48] 它就一直在我旁边开着的
[00:02:48 - 00:02:50] 只不过是不同的大货车而已
[00:02:50 - 00:02:51] 那么这个第一个首先就说
[00:02:51 - 00:02:54] 很多人以为说交通道士罪
[00:02:54 - 00:02:57] 是不是只有撞死了人
[00:02:57 - 00:03:00] 像咱們小汽車大火的撞死人才叫交通照是罪
[00:03:00 - 00:03:01] 其實不是的
[00:03:01 - 00:03:02] 像這個把橋壓翻了
[00:03:02 - 00:03:04] 即使那天運氣特別好
[00:03:04 - 00:03:06] 沒有一個人被壓死
[00:03:06 - 00:03:07] 他也是一個交通照是罪
[00:03:07 - 00:03:08] 因為咱們交通照是罪
[00:03:08 - 00:03:10] 就是這個東西它其實是一個
[00:03:10 - 00:03:12] 這個事情是一個形式犯罪
[00:03:12 - 00:03:14] 對
[00:03:14 - 00:03:15] 交通照是罪是說
[00:03:15 - 00:03:17] 違反交通運輸管理法規
[00:03:17 - 00:03:19] 然後發生重大事故
[00:03:19 - 00:03:23] 造成人員財產的損失
[00:03:23 - 00:03:24] 那麼就是說
[00:03:24 - 00:03:25] 如果沒有人員損失
[00:03:25 - 00:03:29] 有非常嚴重的財產損失的也是一個交通師
[00:03:29 - 00:03:30] 那假如說像這個案子
[00:03:30 - 00:03:31] 就是當天恰好
[00:03:31 - 00:03:34] 就是如果一個人都沒有
[00:03:34 - 00:03:36] 一個人沒有跌一個車沒有的話
[00:03:36 - 00:03:38] 那你把這個橋給壓塌了
[00:03:38 - 00:03:40] 即使沒有通通人員傷亡
[00:03:40 - 00:03:40] 首先第一
[00:03:40 - 00:03:42] 你這司機也是犯罪的
[00:03:42 - 00:03:42] 對
[00:03:42 - 00:03:45] 因為你這個橋重修得花多少錢啊
[00:03:45 - 00:03:46] 就是這個
[00:03:46 - 00:03:47] 從頭花多少錢
[00:03:47 - 00:03:48] 那是相關賠償的問題
[00:03:48 - 00:03:51] 就是它造成了重大的損失
[00:03:51 - 00:03:52] 就是它財產損失
[00:03:52 - 00:03:53] 財產損失你要賠
[00:03:53 - 00:03:54] 然後你也要犯罪
[00:03:54 - 00:03:56] 你该蹲监狱也要去蹲监狱
[00:03:56 - 00:03:56] 对
[00:03:56 - 00:03:58] 就说不光是这个
[00:03:58 - 00:03:59] 不光是人身的损失
[00:03:59 - 00:04:00] 算是一个损失
[00:04:00 - 00:04:01] 财产损失
[00:04:01 - 00:04:02] 也是损失
[00:04:02 - 00:04:04] 然后他违反的什么法规呢
[00:04:04 - 00:04:05] 就咱们规定呢
[00:04:05 - 00:04:07] 车辆不得超原
[00:04:07 - 00:04:10] 就是不得将这拉扣拉扣拉扣的
[00:04:10 - 00:04:11] 不得超原
[00:04:11 - 00:04:12] 货车呢
[00:04:12 - 00:04:13] 这个重量不许超载
[00:04:13 - 00:04:15] 还有大家都不许超速
[00:04:15 - 00:04:15] 对
[00:04:15 - 00:04:16] 那么他是超载
[00:04:16 - 00:04:17] 严重的超载
[00:04:17 - 00:04:19] 那么公安部有个规定的就说
[00:04:19 - 00:04:21] 如果超载到30%以上
[00:04:21 - 00:04:23] 就算达到了
[00:04:23 - 00:04:25] 交通肇事罪的严重朝载
[00:04:25 - 00:04:26] 那他是300啊
[00:04:26 - 00:04:28] 所以说他是300%的朝载
[00:04:28 - 00:04:31] 真的希望就是如果说
[00:04:31 - 00:04:32] 有很多货车司机
[00:04:32 - 00:04:33] 平时你可能刷视频的时候
[00:04:33 - 00:04:35] 刷到我们这个节目的时候
[00:04:35 - 00:04:37] 你要记录一下那样子是告诉你的话
[00:04:37 - 00:04:38] 就是如果说你是
[00:04:38 - 00:04:41] 超载到了30%以上
[00:04:41 - 00:04:44] 就已经是交通肇事罪的那种严重的程度了
[00:04:44 - 00:04:45] 对严重朝载
[00:04:45 - 00:04:46] 对严重朝载了
[00:04:46 - 00:04:50] 这个理论上是可以给你定交通肇事罪大
[00:04:50 - 00:04:52] 这是刑法的罪
[00:04:52 - 00:04:56] 各位大货司机可得要听清楚听明白
[00:04:56 - 00:04:59] 像这个案子他肯定是要
[00:04:59 - 00:05:01] 受到刑罚的这个
[00:05:01 - 00:05:02] 对 承罚的
[00:05:02 - 00:05:03] 承罚的
[00:05:03 - 00:05:08] 除了这个司机以外还有什么其他相关责任方向负责人吗?
[00:05:08 - 00:05:11] 有啊 你看这个司机现在是他自己也重伤了
[00:05:11 - 00:05:13] 当时建议院应该神志不清
[00:05:14 - 00:05:16] 如果他神志清的话他很可能会说这么一个话
[00:05:17 - 00:05:18] 据说现在热搜也已经有这个话了
[00:05:19 - 00:05:21] 就说司机的亲属说可能司机以前就跟家里说过
[00:05:21 - 00:05:23] 就是老板每次都让他抄载
[00:05:23 - 00:05:25] 让他很严重的抄载
[00:05:25 - 00:05:28] 他有些时候就是说他这个老板啊很有可能什么呢
[00:05:28 - 00:05:30] 就是说你必须得给我拉这么多
[00:05:30 - 00:05:33] 你要不拉这么多我就找别的私家
[00:05:33 - 00:05:34] 有这种情况呢
[00:05:34 - 00:05:35] 然后你就没有活干
[00:05:35 - 00:05:36] 对
[00:05:36 - 00:05:37] 那他也得养家糊口
[00:05:37 - 00:05:38] 对
[00:05:38 - 00:05:39] 他也是被迫的
[00:05:39 - 00:05:40] 那这个时候的话
[00:05:40 - 00:05:44] 就是可能他的老板也要复先的责任
[00:05:44 - 00:05:45] 对对对
[00:05:45 - 00:05:46] 这个呢我们国家呀
[00:05:46 - 00:05:47] 在2000年的时候
[00:05:47 - 00:05:49] 在交通照事罪里面
[00:05:49 - 00:05:52] 給他英交通教師生活非常多嘛
[00:05:52 - 00:05:54] 就專門做了個司法解釋
[00:05:54 - 00:05:55] 這個司法解第七條
[00:05:55 - 00:05:58] 他規定說單位的主管人員
[00:05:58 - 00:05:59] 機動車輛的所有人
[00:05:59 - 00:06:01] 或者機動車輛承包人
[00:06:01 - 00:06:02] 首先單位
[00:06:02 - 00:06:04] 那麼像那種國有企業
[00:06:04 - 00:06:05] 那種大單位
[00:06:05 - 00:06:06] 單位的主管人員
[00:06:06 - 00:06:07] 然後呢
[00:06:07 - 00:06:08] 機動車輛的所有人
[00:06:08 - 00:06:11] 有的人他不是自己買一輛車跑馬
[00:06:11 - 00:06:13] 所有人或者承包人
[00:06:13 - 00:06:16] 指使強令他人為張駕駛
[00:06:16 - 00:06:18] 造成重大交通事故
[00:06:18 - 00:06:20] 具有本解是第二條規定情形之一的
[00:06:20 - 00:06:22] 以交通照是最定罪處罰
[00:06:22 - 00:06:24] 那像如果現在這種情況的話
[00:06:24 - 00:06:26] 像本案當中如果說司機醒過來以後的話
[00:06:26 - 00:06:28] 他說我確實是不想拉這麼多
