BV号：BV184411379G
标题：BV184411379G
链接：https://www.bilibili.com/video/BV184411379G
识别语言：zh
语言置信度：1
分段数：230
生成时间：2026-04-04 07:53:02

[00:00:00 - 00:00:02] 大家好 我是让学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:04] 欢迎大家收看本期的《法律其实》很好玩
[00:00:04 - 00:00:08] 2008年 王某就为自己买了一份高额的
[00:00:08 - 00:00:13] 人心意外伤害鞋 为期十年金额200万
[00:00:13 - 00:00:18] 他在保险的受益人当中写下了名字叫妻子李某娟
[00:00:18 - 00:00:21] 但是不幸的是 2010年
[00:00:21 - 00:00:24] 两个人就因为感情关系破裂就离婚了
[00:00:24 - 00:00:26] 离婚了以后 2012年
[00:00:26 - 00:00:30] 王某跟另外一位女子林某结婚
[00:00:30 - 00:00:31] 2013年
[00:00:31 - 00:00:34] 王某很不幸因为车祸当场去世
[00:00:34 - 00:00:40] 他那个保妻为10年的200万的一个所谓的保险金
[00:00:40 - 00:00:42] 就得有一个人来继承
[00:00:42 - 00:00:45] 这个时候他的现任妻子林某
[00:00:45 - 00:00:48] 和原来那个保险受益当中写的妻子李某娟
[00:00:48 - 00:00:50] 两个人都跳出来说
[00:00:50 - 00:00:52] 这200万应该归我
[00:00:52 - 00:00:55] 那这200万到底是该归前期
[00:00:55 - 00:00:59] 那个保险受益人还是归为现任妻子林某呢
[00:00:59 - 00:01:02] 这就是我们本期要讨论的案子和话题
[00:01:11 - 00:01:11] 大家好
[00:01:11 - 00:01:13] 我上学习变得更快乐的张雪芳老师
[00:01:13 - 00:01:15] 欢迎大家收看本期的法律其实很好玩
[00:01:15 - 00:01:18] 那么我们今天请到的专家依然是我们研途教育的千月老师
[00:01:18 - 00:01:20] 我们的法学专家
[00:01:20 - 00:01:20] 颜颜小老师
[00:01:20 - 00:01:22] 颜老师跟大家打个招呼吧
[00:01:22 - 00:01:23] 嗨 大家好
[00:01:23 - 00:01:23] 颜小老师
[00:01:23 - 00:01:25] 你看我们这个案子当中
[00:01:25 - 00:01:29] 就是他这个头宝人写的是妻子林某娟
[00:01:29 - 00:01:31] 但是他实际上发生死亡的时候
[00:01:31 - 00:01:34] 就是他亲自已经不是这个礼幕去了
[00:01:34 - 00:01:34] 对对对
[00:01:34 - 00:01:37] 那这个我们说的保险的这个腐蟀金
[00:01:37 - 00:01:38] 应该是
[00:01:38 - 00:01:39] 就是他原来那个妻子
[00:01:39 - 00:01:40] 还是说
[00:01:40 - 00:01:42] 他现在的这个老婆礼幕呢
[00:01:43 - 00:01:44] 这个
[00:01:44 - 00:01:46] 实际上发生了很多
[00:01:46 - 00:01:48] 后来咱们最高人民法院
[00:01:48 - 00:01:50] 在2015年还比较新的
[00:01:50 - 00:01:52] 2015年最高人民法院
[00:01:52 - 00:01:53] 就颁布了一个
[00:01:53 - 00:01:54] 关于保险法的
[00:01:54 - 00:01:56] 若干问题解释的3
[00:01:56 - 00:01:57] 我们把它叫
[00:01:57 - 00:01:59] 保险法的司法解释3
[00:01:59 - 00:02:01] 里面特别规定说什么呢
[00:02:01 - 00:02:07] 就是如果当事人对保险合同约定的受益人存在正义
[00:02:07 - 00:02:11] 那么除投保人被保险在保险合同之外
[00:02:11 - 00:02:13] 另有约定的怎么处理呢
[00:02:13 - 00:02:14] 像他这种情况叫什么呢
[00:02:14 - 00:02:16] 姓名加身份的
[00:02:16 - 00:02:19] 那么这个时候主要是看身份
[00:02:19 - 00:02:19] 身份
[00:02:19 - 00:02:23] 身份如果身份这个已经变了
[00:02:23 - 00:02:27] 比如说妻子这个李某娟已经变成前妻了
[00:02:27 - 00:02:32] 这个时候就视为这一条就等于无效了
[00:02:32 - 00:02:35] 无效叫做未指定受益人
[00:02:35 - 00:02:37] 那就肯定相当于就是说
[00:02:37 - 00:02:41] 他前期李某娟他肯定是拿不到这个钱了
[00:02:41 - 00:02:42] 他肯定拿不到了
[00:02:42 - 00:02:45] 那么他现任的期程能不能直接拿到呢
[00:02:45 - 00:02:47] 也不能
[00:02:47 - 00:02:49] 他是说未指定受益人
[00:02:49 - 00:02:51] 不是说就直接可以拿到了
[00:02:51 - 00:02:53] 那么这笔钱就进入到那个
[00:02:53 - 00:02:54] 正常的这个继承留什么
[00:02:54 - 00:02:57] 死者的父母配偶子女
[00:02:57 - 00:03:03] 也就说现在的妻子只能作为父母配偶子女的这个系列里面分一部分
