BV号：BV1Hb411p77w
标题：BV1Hb411p77w
链接：https://www.bilibili.com/video/BV1Hb411p77w
识别语言：zh
语言置信度：1
分段数：243
生成时间：2026-04-04 08:29:19

[00:00:00 - 00:00:03] 大家好 我是让学习变得更快乐的张雪风老师
[00:00:03 - 00:00:06] 在2012年呢 在咱们中国的大陆上映了一个电影
[00:00:06 - 00:00:11] 非常的好看 就是李安导演所导演的少年派的奇幻漂流
[00:00:11 - 00:00:14] 在这个电影当中呢 有这么一个角色是一只老虎
[00:00:14 - 00:00:17] 而且这个老虎呢 还有一个名字叫做李查德帕克
[00:00:19 - 00:00:21] 大家可能会有一个小奇怪的事情
[00:00:21 - 00:00:24] 就是为什么这个老虎的名字 它叫的这么具体呢
[00:00:24 - 00:00:28] 你看我们以前看那个外国电影 要么就杰克 要么就洛斯 对吧
[00:00:28 - 00:00:31] 阿里来说你就算给他起个名叫个 Park不就完了吗
[00:00:31 - 00:00:33] 为什么叫李查德 Park
[00:00:33 - 00:00:35] 这个是有故事的
[00:00:35 - 00:00:37] 就是我们今天要讲的叫木西草号
[00:00:37 - 00:00:39] 世人世界
[00:00:39 - 00:00:42] 1884年有这么一艘英国互轮叫做木西草号
[00:00:42 - 00:00:44] 这艘互轮上一共有四个人
[00:00:44 - 00:00:47] 是一个船长带着三个船员就出海了
[00:00:47 - 00:00:50] 出去以后很不幸时遇到了暴风雨
[00:00:50 - 00:00:52] 船就沉了
[00:00:52 - 00:00:55] 幸好的是这四个人眼睛手坏找了一个救生艇
[00:00:55 - 00:00:57] 可是你登上的救生艇以后的话
[00:00:57 - 00:00:58] 麻烦是又来了
[00:00:58 - 00:00:58] 为什么
[00:00:58 - 00:00:59] 你在海上活命
[00:00:59 - 00:01:00] 你等在救援
[00:01:00 - 00:01:01] 你得有吃有喝
[00:01:01 - 00:01:03] 结果就有这么一个船员
[00:01:03 - 00:01:04] 一个时期的船员
[00:01:04 - 00:01:06] 叫做李查德帕克
[00:01:06 - 00:01:08] 就是我们今天要讲的17岁的少年
[00:01:08 - 00:01:10] 因为他第一次出海没什么经验
[00:01:10 - 00:01:12] 实在是渴得不行
[00:01:12 - 00:01:12] 怎么样
[00:01:12 - 00:01:14] 喝海水
[00:01:14 - 00:01:15] 没想到喝了海水以后的话
[00:01:15 - 00:01:17] 身体是越来越絮络
[00:01:17 - 00:01:18] 越来越絮络
[00:01:18 - 00:01:20] 正好几个人也没什么吃的了
[00:01:20 - 00:01:21] 也没什么喝的了
[00:01:21 - 00:01:24] 几个人就决定咱们抽签
[00:01:24 - 00:01:25] 谁抽到死签
[00:01:25 - 00:01:26] 咱们剩下的三个人
[00:01:26 - 00:01:29] 就把这个抽到死圈的人给弄死
[00:01:29 - 00:01:32] 咱们吃他的肉喝他的血等待救援
[00:01:32 - 00:01:34] 这个时候有一个传员就不同意了
[00:01:34 - 00:01:36] 说我们为什么要抽圈啊
[00:01:36 - 00:01:38] 你看看这个李查德帕克啊
[00:01:38 - 00:01:40] 他是一个孤儿
[00:01:40 - 00:01:41] 他不像我们都有家有业
[00:01:41 - 00:01:43] 我们上有老下有小的
[00:01:43 - 00:01:44] 有老婆有孩子
[00:01:44 - 00:01:45] 咱们都有家庭
[00:01:45 - 00:01:46] 他没家庭
[00:01:46 - 00:01:48] 他就孤身一人
[00:01:48 - 00:01:50] 而且照他现在这种状况
[00:01:50 - 00:01:51] 就算他抽到活圈
[00:01:51 - 00:01:53] 你给他吃给他喝
[00:01:53 - 00:01:54] 他能撑几天
[00:01:54 - 00:01:56] 咱们还不如把他给杀掉
[00:01:56 - 00:01:58] 咱们三个等待救援
[00:01:58 - 00:02:00] 船长一听也表示同意
[00:02:00 - 00:02:01] 第二天早上
[00:02:01 - 00:02:04] 一个船员按住李查德帕克
[00:02:04 - 00:02:05] 船长一刀
[00:02:05 - 00:02:07] 刺到李查德帕克的脖子这
[00:02:07 - 00:02:08] 直接就把他给杀了
[00:02:08 - 00:02:09] 获救以后
[00:02:09 - 00:02:10] 这三个人上岸也没有隐瞒
[00:02:10 - 00:02:13] 杀害李查德帕克的事实
[00:02:13 - 00:02:17] 这几个人到底该不该判刑
[00:02:17 - 00:02:20] 这就是我们今天要给大家讲的
[00:02:29 - 00:02:29] 大家好
[00:02:29 - 00:02:32] 我是上学习编的更快乐的张雪峰老师
[00:02:32 - 00:02:34] 那么坐在我旁边的是我们的法学专家
[00:02:34 - 00:02:36] 我们研途教育的千围老师
[00:02:36 - 00:02:37] 我们的杨阳侠
[00:02:37 - 00:02:39] 杨老师给大家打个招呼
[00:02:39 - 00:02:39] 大家好
[00:02:39 - 00:02:41] 那杨老师就是刚才我们说到
[00:02:41 - 00:02:43] 这个穆希草号的时任事件
[00:02:43 - 00:02:46] 就是这个事在当时在英国
[00:02:46 - 00:02:48] 包括在整个欧洲是引起了特别大争议的
[00:02:48 - 00:02:50] 就是法官应该怎么判是合理的呢
[00:02:51 - 00:02:54] 您的意见是呢
[00:02:54 - 00:02:55] 如果我是法官
[00:02:56 - 00:02:57] 如果我是法官的话
[00:02:57 - 00:02:59] 我觉得这个就是可判可不判
[00:02:59 - 00:03:00] 对吧
[00:03:00 - 00:03:03] 就是他他判我判的道理不判我判的道理
[00:03:03 - 00:03:05] 你看比如我们先说補判
[00:03:05 - 00:03:09] 毕竟是说牺牲了一个可能快要死亡的人
[00:03:09 - 00:03:11] 但如果说我觉得李莎拉帕克如果当时在这健康的
[00:03:11 - 00:03:13] 可能也不会做出这个决定
[00:03:13 - 00:03:16] 就是牺牲掉一个可能快要死亡的人
[00:03:16 - 00:03:18] 然后去挽救三条人命
[00:03:18 - 00:03:19] 尤其是三个家庭
[00:03:19 - 00:03:21] 我觉得这是值得的
[00:03:21 - 00:03:24] 然后如果说你要是说判的话呢也是对的
[00:03:24 - 00:03:26] 为什么他毕竟是一条人命
[00:03:26 - 00:03:27] 他再怎么要死了
[00:03:27 - 00:03:29] 他不也没死吗
[00:03:29 - 00:03:30] 他是活的呀,对吧
[00:03:30 - 00:03:34] 他如果说他自然死亡了,你再吃掉他,那是你们撒的事对吧,但是他毕竟是
[00:03:35 - 00:03:38] 没死啊,对吧,你把他杀了,这肯定是不对的
[00:03:38 - 00:03:41] 那这个东西你该怎么弄的?这个
[00:03:41 - 00:03:43] 这个案子当时之所以轰动就是说
[00:03:44 - 00:03:45] 因为大家都觉得
[00:03:45 - 00:03:48] 很纠结,跟你的纠结一样
[00:03:48 - 00:03:52] 那么最后法官他的判决是什么呢?他说
[00:03:52 - 00:03:53] 我们是
[00:03:53 - 00:03:54] 人类社会
[00:03:55 - 00:03:56] 我们是人
[00:03:56 - 00:03:57] 我们不是动物
[00:03:58 - 00:03:58] 所以呢
[00:03:59 - 00:04:01] 我们不能遵守丛林法则
[00:04:01 - 00:04:01] 我们不能
[00:04:01 - 00:04:03] 我们三个强壮
[00:04:03 - 00:04:04] 我们就把它吃掉
[00:04:04 - 00:04:06] 让我们三个活下来
[00:04:06 - 00:04:07] 人和人的生命
