BV号：BV1ak4y1w7og
标题：BV1ak4y1w7og
链接：https://www.bilibili.com/video/BV1ak4y1w7og
识别语言：zh
语言置信度：1
分段数：49
生成时间：2026-04-03 13:47:55

[00:00:00 - 00:00:03] 因为我和他爸爸就是教师嘛
[00:00:03 - 00:00:05] 我们本身是当老师的
[00:00:05 - 00:00:08] 其实我不太希望我的孩子当中小学老师
[00:00:08 - 00:00:10] 因为我自己就是当老师的
[00:00:10 - 00:00:13] 家长我特别想问你一个问题
[00:00:13 - 00:00:15] 我特别想问你一个问题啊
[00:00:15 - 00:00:17] 你是现成的老师吗
[00:00:17 - 00:00:20] 我是现成的老师
[00:00:20 - 00:00:22] 不过我是小学老师
[00:00:22 - 00:00:23] 家长我问一个问题
[00:00:23 - 00:00:25] 你们小学今年招生
[00:00:25 - 00:00:27] 跟往年招生人数有没有减少
[00:00:27 - 00:00:31] 人数没有减少
[00:00:31 - 00:00:33] 现在学生孩子还是很多
[00:00:33 - 00:00:35] 在你们那边现在学生还是很多
[00:00:35 - 00:00:37] 对吧 现成的还是很多对吧
[00:00:38 - 00:00:39] 对 现成的
[00:00:39 - 00:00:42] 那你了解过下面的那个乡镇吗
[00:00:42 - 00:00:44] 下面乡镇的小学招生还像以前那么多吗
[00:00:44 - 00:00:47] 乡镇的小学学生已经非常少了
[00:00:48 - 00:00:50] 乡镇的小学学生非常少对吧
[00:00:50 - 00:00:55] 乡镇的小学不管师姿还是学生已经非常的少了
[00:00:55 - 00:00:59] 也就是说乡镇的师姿编制
[00:00:59 - 00:01:01] 我感觉都已经基本上不是太多了
[00:01:01 - 00:01:01] 太多了
[00:01:01 - 00:01:02] 因为学生可少
[00:01:02 - 00:01:04] 有的一个学校就几个学生
[00:01:04 - 00:01:05] 加上我问一下
[00:01:05 - 00:01:07] 你怎么看待就是有的地方
[00:01:07 - 00:01:10] 现代还有的那种所谓的地方公废
[00:01:10 - 00:01:10] 示范生
[00:01:10 - 00:01:12] 然后的话定向到下面的线证这种
[00:01:12 - 00:01:15] 你觉得他上了四年大学毕业以后
[00:01:15 - 00:01:20] 他定向的那个线相证的学校还会有吗
[00:01:20 - 00:01:22] 那目前我们这边还有很多
[00:01:22 - 00:01:26] 为了这个编制而去做定向示范生的
[00:01:26 - 00:01:29] 我主要考虑当你当时没有让我的孩子做
[00:01:29 - 00:01:31] 定向是吧 人是因为
[00:01:31 - 00:01:33] 我对他要去农村
[00:01:33 - 00:01:34] 或者县城以下的学校
[00:01:34 - 00:01:35] 我不看好
[00:01:35 - 00:01:37] 所以我不让他做这个
[00:01:37 - 00:01:39] 我让他再上其他的学校
[00:01:39 - 00:01:40] 然后未来呢
[00:01:40 - 00:01:41] 不管是考边还是创业
[00:01:41 - 00:01:42] 找工作
[00:01:42 - 00:01:44] 我就这样的一个方向
[00:01:45 - 00:01:46] 所以说大家你知道
[00:01:46 - 00:01:48] 为什么我特别想问他这个问题了吗
